Category,Name,Address,ID
محلات جزارة,مزارع بلدينا,"البنفسج 9 - مركز خدمات البنفسج 2, التجمع الاول, القاهرة الجديدة, القاهرة.",581325
محلات جزارة,ابناء اللحيمى,"113 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",678196
محلات جزارة,ابو على,"27 ش الجيش, الزاوية الحمراء, القاهرة.",403021
محلات جزارة,ابو قدرى,"ش زين الدين, حلوان, القاهرة.",391855
محلات جزارة,ارياف لتجارة اللحوم,"84 ش الشيخ طه الدينارى, مدينة نصر, القاهرة.",668365
محلات جزارة,التوحيد,"57 ش الزهراء - زهراء عين شمس, عين شمس الشرقية, القاهرة.",275653
محلات جزارة,التوحيد للجزارة واللحوم,"ش خليل المغربى متفرع من ش عبد الحليم محمود - ش وهران سابقا, المندرة البحرية, الاسكندرية.",253443
محلات جزارة,الجزار,"37 ش ابو الخير ميدان المؤسسة , شبرا الخيمة, القليوبية.",248596
محلات جزارة,الجزارة الاسلامية,"ش الجمهورية, السنطة, الغربية.",349618
محلات جزارة,الجزارة الحديثة,"5 ش 153, المعادى, القاهرة.",384052
محلات جزارة,الجزارة الحديثة,"ش الجيش, حى الاربعين, السويس.",294865
محلات جزارة,الحاج انور مسعود,"90 ش العطارين, العطارين, الاسكندرية.",58365
محلات جزارة,الشيف الجزار,"6 ابراج صفوة الميثاق ش الميثاق, زهراء مدينة نصر, مدينة نصر, القاهرة.",676345
محلات جزارة,العائلات,"13 مساكن ايجيكو -, مدينة السلام, القاهرة.",388948
محلات جزارة,العربى للجزارة,"37 ش حماد حسنى, مدينة ركن الياسمين, حلوان, القاهرة.",645646
محلات جزارة,ام كيه ماركت,"القطعة السادسة, الحى السابع, مدينة الشروق, القاهرة.",678057
محلات جزارة,اولاد صقر للحوم,"547 ش العيادة, زهراء مدينة نصر, مدينة نصر, القاهرة.",676695
محلات جزارة,اولاد منصور,"43 ش حسنى احمد الصاوى, مدينة نصر, القاهرة.",617625
محلات جزارة,بافلو ميت,"ش شكرى القواتلى, المحلة الكبرى, الغربية.",679808
محلات جزارة,بروتين ابو العلا,"40 سور نادى النصر - ش حسن منصور متفرع من ش ابو بكر الصديق, مصر الجديدة, القاهرة.",235451
محلات جزارة,بروتين ابو الوفا,"13 أ ش عثمان ذو الفقار, حلوان, القاهرة.",194533
محلات جزارة,بروتين ابو على,"ش الشهيد فارس, فيصل, الجيزة.",357476
محلات جزارة,بروتين ابو يوسف,"ش الشباب - حى الشباب, مدينة العبور, القليوبية.",522221
محلات جزارة,بروتين الباشا,"49 ش الوحدة العربية متفرع من ش مصطفى حافظ, جسر السويس, القاهرة.",275049
محلات جزارة,بروتين البركة,"بلوك 198 - مساكن الجمهورية - ميدان الاسكندرية, مدينة السلام, القاهرة.",283627
محلات جزارة,بروتين البركة,"1 ش النيل الابيض متفرع من ش الغريب, المهندسين, الجيزة.",383819
محلات جزارة,بروتين البطل,"ش البصراوى, امبابة, الجيزة.",382768
محلات جزارة,بروتين البطل والعجايبى,"ش مدرسة النصر تقاطع ش ترعة الخشاب , حدائق حلوان, القاهرة.",243732
محلات جزارة,بروتين التركى,"5 ميدان باب الشعرية, باب الشعرية, القاهرة.",471956
محلات جزارة,بروتين الجرن,"92 ش المنيل, المنيل, القاهرة.",682162
محلات جزارة,بروتين الرحمن,"ش ترعة الجلاد, الزاوية الحمراء, القاهرة.",402859
محلات جزارة,بروتين الرضا,"ش الحبيبى متفرع من ش 15 مايو, شبرا الخيمة, القليوبية.",283018
محلات جزارة,بروتين الزعيم,"ش مكة المكرمة, طره, القاهرة.",402591
