Category,Name,Address,ID
ابراج تبريد وتهوية,المصرية الاوروبية لتوريد معدات التبريد الصناعى,"قطعة 12 S, التوسعات الشمالية, مجمع بولاريس الزامل للمناطق الصناعية - منطقة المطورين, السادس من اكتوبر, الجيزة.",310840
ابراج تبريد وتهوية,انفوتك للمشروعات البيئية والتهوية,"10 د/1 ش احمد عبد العظيم, تقسيم اللاسلكى - متفرع من طريق النصر, المعادى الجديدة, المعادى, القاهرة.",466479
ابراج تبريد وتهوية,شركة صناعات معدات التبريد والتكييف المتطورة ش.م.م - دريك,"11 أ عمارات المروة ش الميرغنى, مصر الجديدة, القاهرة.",55238
ابراج تبريد وتهوية,هيدروتك لتكنولوجيا معالجة المياه,"18 ش عماد الدين كامل, مدينة نصر, القاهرة.",693173
ابراج تبريد وتهوية,اتش فاك للمشروعات الهندسية والتهوية الصناعية,"الطريق الصحراوى, السوق التجارى - عمارة 6, النوبارية, البحيرة.",685666
ابراج تبريد وتهوية,مصنع المجد لتشغيل المعادن,"1 ش اولاد سعيد, عزبة رستم, القناطر الخيرية, القليوبية.",694382
ابراج تبريد وتهوية,الكرنك للخدمات الصناعية والتوريدات,", حوض خارج الزمام - بساتين الاسماعيلية - انشاص, بلبيس, الشرقية.",147088
ابراج تبريد وتهوية,اليكس فان للمشروعات الهندسية والتهوية,", مدينة النوبارية الجديدة, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",670713
ابراج تبريد وتهوية,الجندى للصناعات الهندسية,"ش مسجد راغب ضيف الله, مرغم, الاسكندرية.",311080
ابراج تبريد وتهوية,كونفيرجن للاعمال الكهروميكانيكية,"52 ش مكرم عبيد, مدينة نصر, القاهرة.",687487
ابراج تبريد وتهوية,كيرومينا للصناعات الهندسية وانظمة التهوية,"ش مطار النزهة, الدريسة, محرم بك, الاسكندرية.",218907
ابراج تبريد وتهوية,المروة لتشكيل المعادن وابراج التبريد,", منطقة الصناعات الصغيرة ب/ج - الشباب, مدينة العبور, القليوبية.",581521
ابراج تبريد وتهوية,المصنع الفنى للمعدات الهندسية,"5 ش عثمان بن عفان قطاع د - المنطقة الصناعية الاولى, الصالحية الجديدة, الشرقية.",44496
ابراج تبريد وتهوية,ايجيبت فيبر,"القطعة 227 - ش 39 متفرع من ش8 - المنطقة الصناعية الثانية , السادس من اكتوبر, الجيزة.",149
ابراج تبريد وتهوية,صناعات همام وشركاه,"القطعة 315 - ش 36 متفرع من ش 3 - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",44746
ابراج تبريد وتهوية,كوول تك,"القطعة 171 ش 17, المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",4805
ابراج تبريد وتهوية,ابسى للمبردات الصناعية,"189 ش العروبة, مساكن شيراتون, مصر الجديدة, القاهرة.",60888
ابراج تبريد وتهوية,اكسبرت ميدل ايست,"القطعة 7, التوسعات الشمالية - المنطقة الصناعية الاولى - مجمع بولاريس, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",506217
ابراج تبريد وتهوية,الاسراء لمقاولات التكييف والتبريد,"18 ش احمد حلمى, شبرا, القاهرة.",382305
ابراج تبريد وتهوية,الاقصى لغرف التبريد,"طريق صفط اللبن, كرداسة, الجيزة.",680968
ابراج تبريد وتهوية,الأقصى لغرف التبريد,"ش المعتمدية - نزلة دائرى المعتمدية, ارض اللواء, الجيزة.",655161
ابراج تبريد وتهوية,الشركة المصرية لانظمة الطاقة الشمسية,"11 ش جامعة القاهرة, ميدان الجيزة, الجيزة, الجيزة.",12520
