Category,Name,Address,ID
اسمدة,تارجت لصناعة وتجارة الكيماويات - أباظة جروب,"القطعة الرابعة - بلوك 27, المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",664472
اسمدة,جرين ماجيك للإنتاج الصناعى,", المنطقة السكنية الخامسة, مدينة السادات, المنوفية.",597259
اسمدة,شركة الواحة لاستيراد وتصدير الاسمدة والمبيدات الزراعية,"42 مول ديزيرت روز, النوبارية, البحيرة.",689706
اسمدة,نانوكيم للأسمدة والمخصبات الزراعية,"الشارع الرئيسى, النوبارية, البحيرة.",689263
اسمدة,اوركيدا للاسمدة العضوية والكمبوست - كمبوست اللوتس,"23 عمارات صقر قريش, المعادى, القاهرة.",680822
اسمدة,جولد بلانت لاستيراد وتصديرالاسمدة والكيماويات,"1069 ش رنا مول, الحى الثانى, السادس من اكتوبر, الجيزة.",689137
اسمدة,جرين ماتريكس انترناشيونال للاسمدة والمخصبات الزراعية,", المنطقة السكنية الخامسة, مدينة السادات, المنوفية.",689420
اسمدة,كانسون لاستيراد وتصديرالاسمدة والكيماويات,"برج العدالة امتداد شارع النادي, الدور 2, طنطا, الغربية.",693713
اسمدة,آم لانظمة الرى والاسمدة والمبيدات الزراعية,"23 عمارات صقر قريش, المعادى, القاهرة.",689898
اسمدة,شركة بنى سويف للاسمدة العضوية,"300 ش الهرم, 8 عمارات الاتحادية - الدور 5, الطالبية, الهرم, الجيزة.",459094
اسمدة,ترانس فريدج انترناشيونال,"6 ش دار الشفاء, الدور 5, جاردن سيتى, القاهرة.",58745
اسمدة,اجرى بلانتس للتنمية الزراعية,"21 ش الاندلس, مصر الجديدة, القاهرة.",694755
اسمدة,تكنو فالى للتنمية الزراعية,", المنطقة الصناعية الخامسة, مدينة السادات, المنوفية.",667511
اسمدة,كيان كيم للاسمدة المتخصصة,", المنطقة الصناعية 3 - مصنع 21, وادى النطرون, البحيرة.",693933
اسمدة,المصرية للبذور والكيماويات الزراعية والصناعية,"ك 120, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",693186
اسمدة,ماك للاسمدة والمخصبات الزراعية,"برج الشهاب 3-4 طريق مصر الاسماعيلية الزراعى, بلبيس, الشرقية.",673216
اسمدة,الشركة الزراعية للمبيدات الحديثة,"القطعة 152 طريق الكلية الجوية, متفرع من ميدان الطيارة, بلبيس, الشرقية.",185828
اسمدة,برجن تريد للاستيراد والتصدير,"10072 ش كارفور, الشقة 13, الدور 4, المجاورة العاشرة, زهراء المعادى, المعادى, القاهرة.",690983
اسمدة,جرين جولد للمشروعات الزراعية,"القطعة 76, المجاورة 37, العاشر من رمضان, الشرقية.",583527
اسمدة,جرين كوست للتنمية الزراعية,"202 أبراج سموحة ستارت - برج A الطريق الزراعى, ابيس, الاسكندرية.",587362
اسمدة,جرين ارجى للاسمدة والكيماويات,"449 برج كوين هاوس ش مصطفى كامل, الرأس السوداء, الاسكندرية.",634529
اسمدة,رويال للتنمية الزراعية,"قطعة 123 / 124, مركز خدمات الحى السادس, مدينة العبور, القليوبية.",690643
اسمدة,ساينتفك ايجيبت للتنمية الزراعية,"طريق جيهان, قويسنا, المنوفية.",579212
اسمدة,الخليجية المصرية الاولى للتوريدات العمومية - إف إى جى,"18 ش الفراعنة, العطارين, الاسكندرية.",688605
اسمدة,كرافتو للطباعة وتصنيع الكرتون والاكياس الورقية,", جنوب المنطقة الصناعية الثالثة - قطعة 7 - بلوك 9, برج العرب, الاسكندرية.",687871
اسمدة,مصنع السنهورى للكيماويات والمنظفات الصناعية,"بلوك 10 - القطعة 9,10,17, جنوب المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",58264
اسمدة,الريف للتجارة والتصدير,"347 ش فيصل - محطة حسن محمد, حسن محمد, فيصل, الجيزة.",396184
اسمدة,الشركة الاسبانية للاسمدة والمبيدات الطبيعية - اورجانيك,"3 ش مسجد سلوع - الغفارية, مشتول السوق, الشرقية.",416707
اسمدة,اللوتس العالمية للكيماويات اند الافريقية للتصنيع والتجارة,"53 عمارات صقر قريش - طريق الاوتوستراد, المعادى, القاهرة.",150370
اسمدة,شركة الفتح للاستيراد والتوزيع,"برج اعمار الدلتا - الطريق الزراعى تقاطع ش كلية الزراعة - الدور 3, طنطا, الغربية.",609215
اسمدة,شركة اورانج للاسمدة الزراعية والكيماويات,"كم 5 طريق بلبيس العاشر من رمضان, العاشر من رمضان, الشرقية.",571848
اسمدة,ابناء الديب,"طريق قطور الزراعى - العامرية, المحلة الكبرى, الغربية.",390814
اسمدة,ابناء السيد عبد الوهاب,"ش عز الدين الموجى ميدان مجلس المدينة, طوخ, القليوبية.",332442
