Category,Name,Address,ID
وسائل تعليمية,ابجد للتصميم,"18 ش 162 أ - حدائق المعادى, حدائق المعادى, المعادى, القاهرة.",65817
وسائل تعليمية,اجنايت فيرتوال,"4 ش عماد الدين كامل, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",634479
وسائل تعليمية,ادراك لتطوير المشروعات التعليمية والترفيهية,"214 المبنى الادارى - قطاع 2 - مركز المدينة - الدور 6, التجمع الخامس, القاهرة الجديدة, القاهرة.",290200
وسائل تعليمية,اديو فن,"47 ش مصطفى كامل, بولكلى, الاسكندرية.",673852
وسائل تعليمية,اديو فن للمستلزمات التعليمية,"27 ش محمد توفيق دياب, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",135102
وسائل تعليمية,اديودام لخدمات التعليم والتدريب,"7 م, حدائق الاهرام, الهرم, الجيزة.",682335
وسائل تعليمية,اريك,"13 ش حلمى عبد العاطى, الحى الثامن, مدينة نصر, القاهرة.",142576
وسائل تعليمية,استاذ اون لاين,"33 ش المقريزى, منشية البكرى, مصر الجديدة, القاهرة.",128362
وسائل تعليمية,افروسينا للغرف الحسية,"6 ش محمد فارس متفرع من ش العبادى, عين شمس الغربية, القاهرة.",387260
وسائل تعليمية,اكاديمية تنمية التعليم,"20 أ ش 10, المعادى, القاهرة.",150449
وسائل تعليمية,الايمان لتجهيزات الحضانات,"طريق مصر اسكندرية الزراعى, قليوب, القليوبية.",674198
وسائل تعليمية,التكنولوجيا اللامحدودة للتدريب - يو تى يو,"34 ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",154400
وسائل تعليمية,الجمعية المصرية لمصادر التعليم,"23 ش نزيه خليفة - الدور 3, المريلاند, مصر الجديدة, القاهرة.",137808
وسائل تعليمية,الرواد,"4 ش عثمان بن عفان متفرع من ش جيهان, المنصورة, الدقهلية.",541290
وسائل تعليمية,الشركة الهندسية للالكترونيات والكهرباء,"18 ش البستان, باب اللوق, القاهرة.",166606
وسائل تعليمية,العبقرى المصرى للبرامج التعليمية,"ش فيصل, الدور 6, برج الاطباء, فيصل, الجيزة.",451517
وسائل تعليمية,الفاروق للخدمات التعليمية,"ش فايدة كامل, البساتين, القاهرة.",637856
وسائل تعليمية,المتحدة,"4 ش عبده القصاص, متفرع من ش 15 مايو, شبرا الخيمة, القليوبية.",693450
وسائل تعليمية,المجرة للنشر والتوزيع,"4 ش المدينة المنورة - عمارة جوهر, ارض اللواء, الجيزة.",146220
وسائل تعليمية,النور للانتاج التعليمى,"برج التطبيقيين - - المؤسسة - الدور 3 شقة 1, شبرا الخيمة, القليوبية.",129395
وسائل تعليمية,ام دى اى - المؤسسة الحديثة لتنمية وتطوير التعليم,"29 ش القدس الشريف, المهندسين, الجيزة.",635342
وسائل تعليمية,انوفاشنز هاوس للتسويق,"25 ش وادى النيل, المهندسين, الجيزة.",104338
وسائل تعليمية,اوماكسون ايجيبت,"44 ش محمد فريدبرج الضحى, بولكلى, الاسكندرية.",625148
وسائل تعليمية,اى اكاديمى,"6 ش جورج ابيض, كامب شيزار, الاسكندرية.",527406
وسائل تعليمية,اى كير كيدز ايجيبت,"20 ش 10, الحى الخامس, التجمع الخامس, القاهرة الجديدة, القاهرة.",393975
وسائل تعليمية,ايدو فيجن للمستلزمات التعليمية,"فيلا 8 ش مصطفى مشرفة, المجاورة التاسعة, التجمع الاول, القاهرة الجديدة, القاهرة.",333723
وسائل تعليمية,باراديس للوسائل تعليمية,"ش نافع, دمياط, دمياط.",589737
وسائل تعليمية,باور تكنولوجى,"59 ش سعد زغلول, البر الشرقى, شبين الكوم, المنوفية.",635798
وسائل تعليمية,بذور الامل للخدمات التنماوية,"23 مشروع كلية البنات - شقة 43, ارض الجولف, مصر الجديدة, القاهرة.",200576
وسائل تعليمية,برنامج تطوير التعليم,"14 ش القبة, روكسى, مصر الجديدة, القاهرة.",145511
