Category,Name,Address,ID
شركات ادارة فنادق ومطاعم,كيرمينا للمنتجات الورقية,", المجاورة 27, المنطقة الصناعية الاولى, مدينة 15 مايو, القاهرة.",327881
شركات ادارة فنادق ومطاعم,شركة ميرميد للقرى السياحية,"110 ش الميرغنى تقاطع ش الثورة, مصر الجديدة, القاهرة.",232649
شركات ادارة فنادق ومطاعم,ابراج مصر العالمية,"29 كورنيش النيل - الدور 18, كورنيش المعادى, المعادى, القاهرة.",63830
شركات ادارة فنادق ومطاعم,ابرايزينج,"2 ش الاسراء, المهندسين, الجيزة.",152543
شركات ادارة فنادق ومطاعم,ابكوت للتنمية والسياحة,"273 ش جسر السويس - الدور 5, الالف مسكن, مصر الجديدة, القاهرة.",61482
شركات ادارة فنادق ومطاعم,ابن سينا للفنادق والقرى السياحية,"1158 /2 مربع الوزراء - ش منير ثابت, مساكن شيراتون, مصر الجديدة, القاهرة.",407918
شركات ادارة فنادق ومطاعم,ابو دباب,"127 ش الشيراتون, فيلا جلباية, سقالة, الغردقة.",559461
شركات ادارة فنادق ومطاعم,ابو زيد جروب,"5 طريق القاهرة اسكندرية الصحرواى, الهرم, الجيزة.",216211
شركات ادارة فنادق ومطاعم,ابو سومة للتنمية السياحية,"4 ش حسن صبرى, الدور 5, الزمالك, القاهرة.",61842
شركات ادارة فنادق ومطاعم,اتيك - العلمين للاستثمار السياحى,"67 طريق الحرية, محطة الرمل, الاسكندرية.",50754
شركات ادارة فنادق ومطاعم,اختصاص للاستثمار السياحى,"7 ابراج عثمان - , كورنيش المعادى, المعادى, القاهرة.",172009
شركات ادارة فنادق ومطاعم,ارابياتا للاغذية والمشروبات,"ش عطية الصوالحى, ابراج السراج - برج 3 - مدخل 5 - الدور العاشر, الحى الثامن, مدينة نصر, القاهرة.",675553
شركات ادارة فنادق ومطاعم,ازور للفنادق والمنتجعات السياحية,"4 أ ش محمد مظهر, الزمالك, القاهرة.",167044
شركات ادارة فنادق ومطاعم,اس اس بى ايجيبت,"., منطقة المطار, مصر الجديدة, القاهرة.",131839
شركات ادارة فنادق ومطاعم,اس اس بى ايجيبت,"., الاقصر, الاقصر.",142941
شركات ادارة فنادق ومطاعم,اسكانور ريزورت,"5 ابراج عثمان - كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",457470
شركات ادارة فنادق ومطاعم,اشيان هاوس,"84 ش 9, الدور 1, المعادى, القاهرة.",625830
شركات ادارة فنادق ومطاعم,اف ار دى للاستثمارات السياحية,"20 ش احمد حشمت - الدور 3 شقة 5, الزمالك, القاهرة.",296853
شركات ادارة فنادق ومطاعم,اكا جروب,"4 ش الاشجار متفرع من ش البطل احمد عبد العزيز - الدور 2, المهندسين, الجيزة.",19225
شركات ادارة فنادق ومطاعم,اكاسيا,"1229 ش الشيخ على جاد الحق, مساكن شيراتون, مصر الجديدة, القاهرة.",68281
شركات ادارة فنادق ومطاعم,اكتيم - الشركة العربية لادارة المشروعات السياحية,"11 ش الثمار, المهندسين, الجيزة.",237139
شركات ادارة فنادق ومطاعم,اكوا مارينا للاستثمارات السياحية والتنمية,"3 ش الشهيد صبحى نصر, الماظة, مصر الجديدة, القاهرة.",4107
شركات ادارة فنادق ومطاعم,الاتحاد العربى للاستثمار والتنمية,"8 ش احمد نسيم - الدور 6 شقة 601, الجيزة, الجيزة.",63827
شركات ادارة فنادق ومطاعم,الاتحاد المصرى للاستثمارات,"12 ش حسن صادق, مصر الجديدة, القاهرة.",63857
شركات ادارة فنادق ومطاعم,الاخوة للاستثمار,"103 ش الهرم, الكوم الاخضر, الهرم, الجيزة.",174065
شركات ادارة فنادق ومطاعم,الاستثمارات السياحية - تيكو,"17 ش المنصور محمد, الزمالك, القاهرة.",61809
شركات ادارة فنادق ومطاعم,الاسراء فوودز,"ش عطية الصوالحى, ابراج السراج - برج 1 - مدخل 2 - الدور الثالث, الحى الثامن, مدينة نصر, القاهرة.",675469
شركات ادارة فنادق ومطاعم,الاسكندنافية للاستثمارات والتنمية السياحية,"القطعة 9 - ش محمد نجيب - منطقة المستثمرين الشمالية, التجمع الاول, القاهرة الجديدة, القاهرة.",389573
شركات ادارة فنادق ومطاعم,الاسماعيلية الجديدة للاستثمار والسياحة,"37 عمارات ميلسا - ش حسن افلاطون, ارض الجولف, مصر الجديدة, القاهرة.",211596
شركات ادارة فنادق ومطاعم,الالمانية المصرية للمنتجعات السياحية,"71 طريق النصر - الدور 1, مدينة نصر, القاهرة.",156191
شركات ادارة فنادق ومطاعم,الامار الغذائية,"51 ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",454813
شركات ادارة فنادق ومطاعم,الانصار للفنادق,"5 ش الشواربى, وسط البلد, القاهرة.",59848
شركات ادارة فنادق ومطاعم,البتول لادارة المطاعم,"ش جمال عبد الناصر, الحى 11, السادس من اكتوبر, الجيزة.",670147
شركات ادارة فنادق ومطاعم,البنا جروب,"171 ش الهرم, الهرم, الجيزة.",401613
شركات ادارة فنادق ومطاعم,البوسيت للفنادق,"6 عمارات عثمان - ش السعادة, روكسى, مصر الجديدة, القاهرة.",109204
شركات ادارة فنادق ومطاعم,البيك,"5 ش عبد العظيم الغلمى, متفرع من ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",124018
شركات ادارة فنادق ومطاعم,التعمير السياحى - تى يو سى,"33 ش عبد الخالق ثروت - الدور 3, 4, وسط البلد, القاهرة.",8663
شركات ادارة فنادق ومطاعم,التمساح للاستثمار السياحى,"95 ج ش الميرغنى, مصر الجديدة, القاهرة.",63978
شركات ادارة فنادق ومطاعم,التمساح للمشروعات السياحية,"26 ش رشدى متفرع من ش العروبة, ميدان سفير, مصر الجديدة, القاهرة.",99796
شركات ادارة فنادق ومطاعم,التموين العربى للاطعمة,"29 ش لطفى حسونة, الدور 1, متفرع من ش نوال, العجوزة, الجيزة.",99854
شركات ادارة فنادق ومطاعم,الجيزة للتنمية السياحية,"32 ش حسن المأمون, الحى الثامن, مدينة نصر, القاهرة.",347716
شركات ادارة فنادق ومطاعم,الخليج مصر للفنادق والسياحة,"ش كمال الدين حسين متفرع من ش الشهيد سيد زكريا - البرج الادارى - الدور 3, مساكن شيراتون, مصر الجديدة, القاهرة.",63787
شركات ادارة فنادق ومطاعم,الدلتا للسياحة والفنادق,"42 ش الحجاز, المهندسين, الجيزة.",63985
شركات ادارة فنادق ومطاعم,الدولية للاستثمار السياحى,"150 ش النيل, العجوزة, الجيزة.",45411
شركات ادارة فنادق ومطاعم,الرواد,"18 ش طنطا, حدائق القبة, القاهرة.",401211
شركات ادارة فنادق ومطاعم,السد العالى للبواخر,"15 عمارات العبور - ش احسان عبد القدوس - الدور 2 شقة 5, مدينة نصر, القاهرة.",127003
شركات ادارة فنادق ومطاعم,السرايا دريم لادارة الفنادق,"3 ش البكباش العسوى, ميامى, الاسكندرية.",636802
شركات ادارة فنادق ومطاعم,السويسرية الدولية لادارة الفنادق,"27 ش 9, ثكنات المعادى, المعادى, القاهرة.",684460
شركات ادارة فنادق ومطاعم,الشركة الاستثمارية العربية للمشروعات السياحية,"76 ش النيل, الدقى, الجيزة.",129163
