Category,Name,Address,ID
موبايلات واكسسوارات,السويدى للادوات والكابلات الكهربائية - احمد صادق,"14 ش سراى الازبكية, متفرع من ش عماد الدين, وسط البلد, القاهرة.",62830
موبايلات واكسسوارات,الشناوى للكاميرا والموبايل,"41 ش النبى دانيال, محطة الرمل, الاسكندرية.",33700
موبايلات واكسسوارات,010,"ش ابراهيم المغازى, وسط البلد, كفر الشيخ.",342560
موبايلات واكسسوارات,010 لخدمات المحمول,"ش التحرير, قليوب, القليوبية.",303057
موبايلات واكسسوارات,010 للمحمول,"21 ش سعد زغلول, بنها, القليوبية.",524085
موبايلات واكسسوارات,0100 للمحمول,"31 ش سعد زغلول, بنها, القليوبية.",522737
موبايلات واكسسوارات,0100 للموبايل,"40 ش بورسعيد, منوف, المنوفية.",573801
موبايلات واكسسوارات,011,"ش عبد الهادى خطاب, عين شمس الشرقية, القاهرة.",320444
موبايلات واكسسوارات,011,"ش الجمهورية, زفتى, الغربية.",336262
موبايلات واكسسوارات,011,"ش الزهراء, مدينة بدر, البحيرة.",370580
موبايلات واكسسوارات,011 لخدمات المحمول,"69 ش عبد الهادى خطاب, عين شمس الشرقية, القاهرة.",319193
موبايلات واكسسوارات,011 للمحمول,"3 ش محمود منطاوى, المطرية, القاهرة.",448569
موبايلات واكسسوارات,011 للمحمول,"الاردنية, العاشر من رمضان, الشرقية.",208538
موبايلات واكسسوارات,012,"ش الجمهورية, زفتى, الغربية.",336233
موبايلات واكسسوارات,012,"ش سعد زغلول, زفتى, الغربية.",336481
موبايلات واكسسوارات,012 لخدمات المحمول,"برج المكاوى - ش الجلاء ميدان طلعت حرب, الزقازيق, الشرقية.",286177
موبايلات واكسسوارات,015 للمحمول,"406 ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",676931
موبايلات واكسسوارات,050 للمحمول,", الحى السويسرى ب - عمارة 57, الحى العاشر, مدينة نصر, القاهرة.",677336
موبايلات واكسسوارات,2 اتش لخدمات المحمول,"حارة عيسوى - متفرع من ش الجيش, حى الاربعين, السويس.",294855
موبايلات واكسسوارات,2 ام,"ش الداير الشرقى - حلوان البلد, حلوان, القاهرة.",326926
موبايلات واكسسوارات,2 ام ايه,"., الحى السابع, السادس من اكتوبر, الجيزة.",438558
موبايلات واكسسوارات,2 ام لخدمات المحمول,"ش الجيش, حى الاربعين, السويس.",295021
موبايلات واكسسوارات,25 يناير,"18 ش داير الناحية, المنيب, الجيزة.",412294
موبايلات واكسسوارات,25 يناير,"ش الملكة, فيصل, الجيزة.",342871
موبايلات واكسسوارات,25 يناير,"ش سعد زغلول, كفر الزيات, الغربية.",343159
موبايلات واكسسوارات,25 يناير,"ش البحر, منية النصر, الدقهلية.",354846
موبايلات واكسسوارات,25 يناير,"6 ش 7, بهتيم, القليوبية.",281276
موبايلات واكسسوارات,25 يناير لخدمات المحمول,"ش فتحى الموان, فيصل, الجيزة.",418111
موبايلات واكسسوارات,25 يناير لخدمات المحمول,"36 ش المنصورية, الهرم, الجيزة.",275437
موبايلات واكسسوارات,25 يناير للمحمول,"69 ش المطبعة الاهلية, السبتية, القاهرة.",422268
موبايلات واكسسوارات,27 ستريت,"., وسط البلد, القاهرة.",310206
موبايلات واكسسوارات,3 ستار فون,"1 ش نوبار, السيدة زينب, القاهرة.",125027
موبايلات واكسسوارات,3 كينج للمحمول,"45 ش عبد الله باشا, عين شمس الغربية, القاهرة.",534989
موبايلات واكسسوارات,4 جى لخدمات المحمول,"الاردنية, العاشر من رمضان, الشرقية.",622750
موبايلات واكسسوارات,4 جى للمحمول,"13 ش العشرين - صفط اللبن, بولاق الدكرور, الجيزة.",579224
موبايلات واكسسوارات,512 للمحمول,"84 /22 ش حسب الله الكفراوى المجاورة الرابعة - الحى الثانى, دمياط الجديدة, دمياط.",530230
موبايلات واكسسوارات,7 ستارز للمحمول,"ش عطية الصوالحى, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",599593
موبايلات واكسسوارات,77 ايفين للموبايل,"ش عطية الصوالحى, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",599769
موبايلات واكسسوارات,777 للمحمول,"35 ش عبد المحسن الوسيمى, جسر السويس, القاهرة.",622847
موبايلات واكسسوارات,8 جيجا للمحمول,"بلوك 3 - مساكن اطلس -, المقطم, القاهرة.",441456
موبايلات واكسسوارات,888 لخدمات المحمول,"9 عمارات القوات المسلحة ش جسر السويس, عين شمس الشرقية, القاهرة.",662930
موبايلات واكسسوارات,888 لخدمات المحمول,"7 ش طلعت حرب, شبين الكوم, المنوفية.",320778
موبايلات واكسسوارات,888 لخدمات المحمول,"., المحلة الكبرى, الغربية.",304446
موبايلات واكسسوارات,888 للموبايل,"118 ش العشرين, زهراء عين شمس, عين شمس الشرقية, القاهرة.",318367
موبايلات واكسسوارات,90 دقيقة,"ش العدلى, بنها, القليوبية.",304206
موبايلات واكسسوارات,911,"479 ش فيصل, فيصل, الجيزة.",240884
موبايلات واكسسوارات,اب تو ديت,"ش صلاح سالم, وسط البلد, كفر الشيخ.",360183
موبايلات واكسسوارات,اب تو يو,"ش بورسعيد, السنطة, الغربية.",349489
موبايلات واكسسوارات,اب ستور,"ش عطية الصوالحى امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",474589
موبايلات واكسسوارات,اب ستور,"المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",623760
موبايلات واكسسوارات,اب ستور اند مور,"113 ش النزهة, تريومف, مصر الجديدة, القاهرة.",679623
موبايلات واكسسوارات,ابتسامة,"ش صبرى ابو علم, السنبلاوين, الدقهلية.",351080
موبايلات واكسسوارات,ابجريد ايجيبت,", ., الدقى, الجيزة.",692230
موبايلات واكسسوارات,ابديت للمحمول,"2 ش عبد الرؤوف امبابى متفرع من الطريق الابيض, ارض اللواء, الجيزة.",548493
موبايلات واكسسوارات,ابديت للموبايل,"11 ش الاقبال, لوران, الاسكندرية.",651381
موبايلات واكسسوارات,ابراهيم,"ش سكة عبد الرازق, البساتين, القاهرة.",372537
موبايلات واكسسوارات,ابراهيم سرور,"ش الجيش, حى الاربعين, السويس.",295023
موبايلات واكسسوارات,ابراهيم فرج,"47 ش اسماعيل على, حدائق المعادى, المعادى, القاهرة.",414602
موبايلات واكسسوارات,ابريم ستورز,"41 ش مصطفى كامل, سموحة, الاسكندرية.",105120
موبايلات واكسسوارات,ابل,"11 ش محمود سلامة, الزاوية الحمراء, القاهرة.",402753
موبايلات واكسسوارات,ابل,"163 ش التحرير, باب اللوق, القاهرة.",616939
موبايلات واكسسوارات,ابل,"1 ش جدة متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",458560
موبايلات واكسسوارات,ابل,"., جناكليس, الاسكندرية.",442282
موبايلات واكسسوارات,ابل,"ش 23 يوليو, المحلة الكبرى, الغربية.",304273
موبايلات واكسسوارات,ابل ام ام للمحمول,"3, ميدان سفنكس, المهندسين, الجيزة.",620840
موبايلات واكسسوارات,ابل تك,"3, ميدان سفنكس, المهندسين, الجيزة.",259386
موبايلات واكسسوارات,ابل جروب للموبايل,"ش عطية الصوالحى, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",619436
موبايلات واكسسوارات,ابل زون لخدمات المحمول,"9 مساكن اطلس ش 9, المقطم, القاهرة.",682657
موبايلات واكسسوارات,ابل ستور,"48 ش 9, المقطم, القاهرة.",682469
موبايلات واكسسوارات,ابل ستور,"53 ش نصوح, الزيتون, القاهرة.",512319
موبايلات واكسسوارات,ابل ستور,"ش عطية الصوالحى, امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",599704
موبايلات واكسسوارات,ابل ستور,"1 ش سوريا, رشدى, الاسكندرية.",470897
موبايلات واكسسوارات,ابل ستور لخدمات المحمول,"6 ش الرياضة, مدينة نصر, القاهرة.",678586
موبايلات واكسسوارات,ابل ستور لخدمات المحمول,"24 ش ترعة عبد العال, فيصل, الجيزة.",684013
موبايلات واكسسوارات,ابل ستور لخدمات الموبايل,"20 ش منصور, حلوان, القاهرة.",639992
موبايلات واكسسوارات,ابل سنتر,"خدمة الدعم الفنى, وسط البلد, القاهرة.",577385
موبايلات واكسسوارات,ابل فون,"25 ش الجيش, قليوب, القليوبية.",477413
