Category,Name,Address,ID
كهرباء قوى حماية ووحدات تحكم وعوازل,نبراس للتوريدات الكهربائية والاضاءة الحديثة,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",619520
كهرباء قوى حماية ووحدات تحكم وعوازل,يونيتك مصر لمواد البناء,"القطعة 235 أ, المحور الخدمى الثانى, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",44916
كهرباء قوى حماية ووحدات تحكم وعوازل,الكتروميكانيك,", الدور 2, السوق التجارى, سموحة, الاسكندرية.",581184
كهرباء قوى حماية ووحدات تحكم وعوازل,ايتال للصناعات الكهربائية والميكانيكية ش. م. م,", المنطقة الصناعية ب, كوم اوشيم, الفيوم.",147256
كهرباء قوى حماية ووحدات تحكم وعوازل,شركة اتوميشن تكنولوجى,"مكتب 215 - 216 مبنى ج, نهاية المحور المركزى, مجمع على الدين, السادس من اكتوبر, الجيزة.",579552
كهرباء قوى حماية ووحدات تحكم وعوازل,اى ام للتحكم فى الطاقة الكهربائية,"5 ش الجامع, المنطقة الرابعة, مساكن شيراتون, مصر الجديدة, القاهرة.",2904
كهرباء قوى حماية ووحدات تحكم وعوازل,اتكس لانظمة التحكم,"18 ش سعد ظلام - المشتل سابقا, كورنيش المعادى, المعادى, القاهرة.",533774
كهرباء قوى حماية ووحدات تحكم وعوازل,مودرن للخدمات الصناعية والتوريدات الكهربائية والميكانيكية والسقالات,"عمارات الثغر - عمارة C, مطار النزهة, النزهة, الاسكندرية.",662670
كهرباء قوى حماية ووحدات تحكم وعوازل,شركة ميكاسول - الحلول الميكاترونية للتحكم الالى ش. م. م.,"55 ش مصدق, الدور 8, الدقى, الجيزة.",328027
كهرباء قوى حماية ووحدات تحكم وعوازل,ايجكس,"6058, المجاورة السادسة, المعادى, القاهرة.",603949
كهرباء قوى حماية ووحدات تحكم وعوازل,تراست بلس للخدمات الهندسية,"428 طريق الحرية, رشدى, الاسكندرية.",461413
كهرباء قوى حماية ووحدات تحكم وعوازل,المقاولون للاعمال الكهروميكانيكية - ايميك,"عمارات تبارك وحدات 15، 16 و17, زهراء المعادى, المعادى, القاهرة.",55929
كهرباء قوى حماية ووحدات تحكم وعوازل,سيناميكس,", الشقة 2, الاردنيه - سنتر عمان - بلوك 1 - مدخل ب, العاشر من رمضان, الشرقية.",693272
كهرباء قوى حماية ووحدات تحكم وعوازل,جولدن تك للتوريدات الكهربائية,", الاردنية, العاشر من رمضان, الشرقية.",639191
كهرباء قوى حماية ووحدات تحكم وعوازل,الراعى لتجارة الادوات والكابلات الكهربائية,"عمارة د, الاردنية, العاشر من رمضان, الشرقية.",692100
كهرباء قوى حماية ووحدات تحكم وعوازل,باور اليكتريك للتوريدات الكهربائية والميكانيكية - م. محمد راضى,"مساكن عثمان الطريق الرئيسى, سوق الخير, برج العرب, الاسكندرية.",322591
كهرباء قوى حماية ووحدات تحكم وعوازل,المتحدة للكهرباء,"13 ش بستان الدكة, متفرع من ش عماد الدين, الازبكية, وسط البلد, القاهرة.",14991
كهرباء قوى حماية ووحدات تحكم وعوازل,اخوان رزق للتبريد والتكييف والتجارة والاستيراد,"ش عبد السلام عارف, ميدان الساعة, المنصورة, الدقهلية.",115282
كهرباء قوى حماية ووحدات تحكم وعوازل,اعمار للهندسة الكهربائية ش. م. م,"13 ش عماد الدين, وسط البلد, القاهرة.",53903
كهرباء قوى حماية ووحدات تحكم وعوازل,هنديكو للاعمال الكهربائية,"54 ش اسماعيل سرى, سموحة, الاسكندرية.",20629
كهرباء قوى حماية ووحدات تحكم وعوازل,الكتروباور للانشاءات والتركيبات الكهربائية والميكانيكية,"طريق اسكندرية القاهرة الصحراوى, ابو المطامير, البحيرة.",690149
كهرباء قوى حماية ووحدات تحكم وعوازل,امبكس ايجيبت للمقاولات الكهربائية,"4 ش اسماعيل مظهر, الشقة 1, منشية البكرى, مصر الجديدة, القاهرة.",153768
كهرباء قوى حماية ووحدات تحكم وعوازل,ميمكو - المصرية للاعمال الكهروميكانيكية والهندسية,"2 ش التسعين الشمالى, ووتر واى, التجمع الخامس, القاهرة الجديدة, القاهرة.",694386
كهرباء قوى حماية ووحدات تحكم وعوازل,اليكس اتوميشن للتحكم الآلي والتوريدات الكهربائية,"ابراج الثغر الطريق السريع, محرم بك, الاسكندرية.",694181
كهرباء قوى حماية ووحدات تحكم وعوازل,الامير للتوريدات الكهربائية,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",213582
كهرباء قوى حماية ووحدات تحكم وعوازل,الملكة للكهرباء,"22 ش عماد الدين, تقاطع نجيب الريحانى, وسط البلد, القاهرة.",624160
كهرباء قوى حماية ووحدات تحكم وعوازل,فرست جروب - فيجيكو,"القطعة الخامسة - كم 32 طريق القاهرة اسكندرية الصحراوى, المنطقة الصناعية - منطقة ال124 فدان, ابو رواش, الجيزة.",153458
كهرباء قوى حماية ووحدات تحكم وعوازل,العالمية للهندسة والتجارة - ايه اى تى,"9 ش الشيخ على محمود, الدور 4, ميدان المحكمة, مصر الجديدة, القاهرة.",502993
كهرباء قوى حماية ووحدات تحكم وعوازل,العربية للاعمال الهندسية,"12 ش خليل كامل متفرع من ش جسر السويس, مصر الجديدة, القاهرة.",61785
كهرباء قوى حماية ووحدات تحكم وعوازل,المستقبل للتكنولوجيا المتقدمة,"231 ش ابو بكر الصديق متفرع من ش 18 - تقسيم عمر بن الخطاب - الدور 4, جسر السويس, القاهرة.",117120
كهرباء قوى حماية ووحدات تحكم وعوازل,شركة سبائك,", المنطقة الصناعية الثالثة A5, العاشر من رمضان, الشرقية.",567749
كهرباء قوى حماية ووحدات تحكم وعوازل,مدى القابضة,"55 ش الاشجار - القطعة 8058, المقطم, القاهرة.",515906
كهرباء قوى حماية ووحدات تحكم وعوازل,مسار للصناعات الهندسية,"7 ش فؤاد محمد عويس, الشقة 5, الدور 2, مصطفى كامل, الاسكندرية.",612968
كهرباء قوى حماية ووحدات تحكم وعوازل,ابو سيف للتوريدات الكهربائية,"41 ش نجيب الريحانى, وسط البلد, القاهرة.",154401
كهرباء قوى حماية ووحدات تحكم وعوازل,اتكون,"12 ش دار الشفاء, جاردن سيتى, القاهرة.",19626
كهرباء قوى حماية ووحدات تحكم وعوازل,اجاركو,"10 ش زكريا احمد - التوفيقية, وسط البلد, القاهرة.",154157
كهرباء قوى حماية ووحدات تحكم وعوازل,اجيسكو - الشركة المصرية الاردنية,"157 ش الهرم, الكوم الاخضر, الهرم, الجيزة.",50580
كهرباء قوى حماية ووحدات تحكم وعوازل,اجيماك - الشركة المصرية الالمانية لصناعة المنتجات الكهربائية,"1 ش الكابلات - المنطقة الصناعية, المطرية, القاهرة.",251383
كهرباء قوى حماية ووحدات تحكم وعوازل,اخوان رزق للتبريد والتكييف,"1 ش الاسراء، متفرع من ش عبد السلام عارف, المنصورة, الدقهلية.",397683
كهرباء قوى حماية ووحدات تحكم وعوازل,ادرا,"17 ش الاهرام, الكوربة, مصر الجديدة, القاهرة.",182204
كهرباء قوى حماية ووحدات تحكم وعوازل,اديك,"حى الاردنية - الدور 2, العاشر من رمضان, الشرقية.",58475
كهرباء قوى حماية ووحدات تحكم وعوازل,اراب تك للصناعات الكهربائية,"القطعة الثالثة, المنطقة الصناعية C5, العاشر من رمضان, الشرقية.",397982
كهرباء قوى حماية ووحدات تحكم وعوازل,ارت هاوس للدعاية والاعلان,"21 ش البصرة متفرع من ش العراق, المهندسين, الجيزة.",385868
كهرباء قوى حماية ووحدات تحكم وعوازل,ارتين جروب,"كم 26 - ش عادل والى - المنطقة الصناعية, ابو رواش, الجيزة.",140209
كهرباء قوى حماية ووحدات تحكم وعوازل,ارشى للتوريدات العامة,"18 ش فخر الدين, شبرا, القاهرة.",585176
كهرباء قوى حماية ووحدات تحكم وعوازل,ارك تكنولوجيس,"ش محمد يوسف موسى, متفرع من ش الطيران, مدينة نصر, القاهرة.",684430
كهرباء قوى حماية ووحدات تحكم وعوازل,اركو للهندسة والتجارة,"38 ش رمسيس, وسط البلد, القاهرة.",137222
كهرباء قوى حماية ووحدات تحكم وعوازل,اس اى للصناعات الكهربائية,"القطعة 560,585, شمال طريق القطامية العين السخنة, المنطقة الصناعية, التجمع الثالث, القاهرة الجديدة, القاهرة.",663496
كهرباء قوى حماية ووحدات تحكم وعوازل,اسبكترام للهندسة والتجارة,"28 عمارات المهندسين ش محمد سيد احمد, تقاطع ش خسرو, حلوان, القاهرة.",665073
كهرباء قوى حماية ووحدات تحكم وعوازل,اسيا للالكترونيات والتوريدات الكهربائية,"3 ش الالفى, وسط البلد, القاهرة.",152313
كهرباء قوى حماية ووحدات تحكم وعوازل,اسيتو الصناعية,"فيلا 1 - القطعة 13/15, المجاورة 11, غرب سوميد, السادس من اكتوبر, الجيزة.",18069
كهرباء قوى حماية ووحدات تحكم وعوازل,افا كاراس,"., الدهار, الغردقة.",485082
كهرباء قوى حماية ووحدات تحكم وعوازل,افو للتجارة والتوريدات الكهربية,"الاردنية – مركز المدينة, العاشر من رمضان, الشرقية.",211162
كهرباء قوى حماية ووحدات تحكم وعوازل,اكس دى اجى ماك,", منطقة التنمية الاقتصادية والصناعية, العين السخنة, العين السخنة.",649585
كهرباء قوى حماية ووحدات تحكم وعوازل,اكسترا لايت,"18 ش زكريا احمد متفرع من ش عماد الدين - التوفيقية, وسط البلد, القاهرة.",570880
كهرباء قوى حماية ووحدات تحكم وعوازل,اكما الهندسية,"3 ش صلاح سالم, مدينة نصر, القاهرة.",567821
كهرباء قوى حماية ووحدات تحكم وعوازل,اكمى - الشركة المصرية لصناعة العازلات الكهربائية,"القطعة 4/1, المجاورة التاسعة, المنطقة الصناعية الثالثة, العاشر من رمضان, الشرقية.",46420
كهرباء قوى حماية ووحدات تحكم وعوازل,ال نوار للتوريدات والمقاولات الكهربائية,"المحور المركزى, السادس من اكتوبر, الجيزة.",193946
كهرباء قوى حماية ووحدات تحكم وعوازل,الابتكارية للتوريدات,"31 ش عماد الدين كامل, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",666796
كهرباء قوى حماية ووحدات تحكم وعوازل,الاخلاص لمواد العزل,", الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619788
كهرباء قوى حماية ووحدات تحكم وعوازل,الاخوة,"2 ش عبود الزمر متفرع من ش احمد ماهر, الجيزة, الجيزة.",456346
كهرباء قوى حماية ووحدات تحكم وعوازل,الاسراء لاعمال الكهرباء,"كم 26 - طريق اسكندرية القاهرة الزراعى - منشية النصر, كفر الدوار, البحيرة.",166535
كهرباء قوى حماية ووحدات تحكم وعوازل,الاعتماد لتجارة الادوات الكهربائية,"اسواق الاردنية, العاشر من رمضان, الشرقية.",208402
كهرباء قوى حماية ووحدات تحكم وعوازل,الافق للحلول الكهربائية,"ش البحربرج الرفاق, الصوالحة, كفر الشيخ.",623960
كهرباء قوى حماية ووحدات تحكم وعوازل,الاقتصادية للتوريدات الكهربائية,"44 ش نجيب الريحانى, وسط البلد, القاهرة.",147480
كهرباء قوى حماية ووحدات تحكم وعوازل,الاقتصادية للكهرباء,"40 ش نجيب الريحانى, وسط البلد, القاهرة.",47744
كهرباء قوى حماية ووحدات تحكم وعوازل,الانظمة الكهربائية المتكاملة,"برج مكة - ش العشرينى تقاطع ش المنصورة, حى السلام, الاسماعيلية.",276599
كهرباء قوى حماية ووحدات تحكم وعوازل,الايمان للتجارة والتوريدات,"ش محمد حافظ, الاردنية - مشروع العزم الاستثمارى - مبنى أ - مكتب 1, العاشر من رمضان, الشرقية.",150562
