Category,Name,Address,ID
مسبوكات,المحبة لسبك المعادن,"ش المصرف, منطقة الخانكة - منطقة العكرشة, ابو زعبل, القليوبية.",689417
مسبوكات,كيان للمسبوكات المعدنية,", منطقة ابو زعبل الصناعية - منطقة العكرشة, ابو زعبل, القليوبية.",688784
مسبوكات,احمد مصطفى احمد سويلم,"5 ش الطامبوكشى, الجمالية, القاهرة.",139733
مسبوكات,اكمى - الشركة العالمية للمسبوكات والصناعات المتطورة,"1369 ابراج اغاخان - كورنيش النيل, شبرا, القاهرة.",120109
مسبوكات,الاخلاص لسبك المعادن,"الطريق البطىء, ميت حلفا, قليوب, القليوبية.",172745
مسبوكات,الاسكندرية لمسبوكات السيارات,"كم 21 طريق القاهرة اسكندرية الصحراوى, مرغم, الاسكندرية.",193440
مسبوكات,البطل لتشغيل المعادن,"98 ش نفق السبتية, السبتية, القاهرة.",406485
مسبوكات,التعاون للمسبوكات وتشغيل المعادن,"ش ترعة الاسماعيلية - حى شرق, شبرا الخيمة, القليوبية.",262882
مسبوكات,التقى للتوريدات والمقاولات العمومية,"14 ش البيضاوى, اللبان, الاسكندرية.",172799
مسبوكات,الحياة للتجارة والتوريدات,"55 ش شريف، متفرع من ش رمضان, الزقازيق, الشرقية.",408068
مسبوكات,السقارى,"1 ش وفاء الدين, المعادى, القاهرة.",168426
مسبوكات,الشركة المصرية للصناعات الهندسية,"كم 22 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",182655
مسبوكات,العماد لتصدير خامات المسابك,"93 ش الميثاق, زهراء مدينة نصر, مدينة نصر, القاهرة.",106983
مسبوكات,القدس للمسبوكات,"طريق الخانكة, المنطقة الصناعية, ابو زعبل, القليوبية.",688042
مسبوكات,المتحدة للمسبوكات,"بلوك2, 6/4 - طريق مصر اسماعيلية الصحراوى - المنطقة الصناعية A1, العاشر من رمضان, الشرقية.",896
مسبوكات,المدينة المنورة للمسبوكات المعدنية,"13 ش سيدى الوسطى, اللبان, الاسكندرية.",176894
مسبوكات,المسبك الفنى الحديث,"5 ش عبد الفتاح بشير, شبرا الخيمة, القليوبية.",134749
مسبوكات,الملوانى للمسبوكات,"6 ش الدراويش متفرع من ش اسماعيل مهنا, اللبان, الاسكندرية.",23870
مسبوكات,تكنو ميكا,"16 ش ترعة اسكندر, متفرع من ش التروللى, مؤسسة الزكاة, القاهرة.",631468
مسبوكات,توكل للصناعات المعدنية,"38 ش الثورة, مصر الجديدة, القاهرة.",3946
مسبوكات,شاهين للمسبوكات والتوريدات,"طريق سقارة السياحى, المريوطية, الهرم, الجيزة.",206577
مسبوكات,شركة المسبوكات العالمية,"القطعة 312, 313 - - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",183156
مسبوكات,شركة النجمة للمنتجات المعدنية,"طريق كفور الرمل - المنطقة الصناعية, قويسنا, المنوفية.",289663
مسبوكات,شركة حلوان للمسبوكات,"ش المصانع - عين حلوان, حلوان, القاهرة.",128794
مسبوكات,كيمى كاست,"عمارة 162ط, حدائق الاهرام, الهرم, الجيزة.",559645
مسبوكات,مؤسسة المتوكل على الله,"47 ش الامام شعبان متفرع من ش شبرا, شبرا, القاهرة.",183873
مسبوكات,مسبك معادن الاسكندرية,"76 ش الجمهورية, وسط البلد, القاهرة.",262112
مسبوكات,مسبك معادن السعادة,"65 ش باحثة البادية متفرع من كورنيش النيل, شبرا, القاهرة.",156131
مسبوكات,ورشة الاسراء,"ش الصاغة, خان الخليلى, القاهرة.",139728
