Category,Name,Address,ID
اسمنت وخرسانة وجبس وطوب,شركة سنجر لصناعة الطوب الطفلى,"طريق الاوتوستراد - ش العمدة, المنطقة الصناعية -عرب ابو ساعد, الصف, الجيزة.",447188
اسمنت وخرسانة وجبس وطوب,الفاروق للخرسانة الجاهزة والمقاولات,"98 عمارات الضباط ش 22, مصطفى كامل, الاسكندرية.",162629
اسمنت وخرسانة وجبس وطوب,سفنكس للاعمال الهندسية,"القطعة 42, المنطقة الصناعية, بلبيس, الشرقية.",612220
اسمنت وخرسانة وجبس وطوب,تارجت أليكس لتجارة مواد البناء,", القطعة التاسعة - الورش الشرقية, برج العرب, الاسكندرية.",690682
اسمنت وخرسانة وجبس وطوب,البلتاجى للمقاولات والتجارة,"1 ش فاطمة الزهراء, متفرع من ش شكرى القوتلى, المحلة الكبرى, الغربية.",115592
اسمنت وخرسانة وجبس وطوب,العزايزى جروب,"فيلا 5 ش 291, متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",630019
اسمنت وخرسانة وجبس وطوب,القاهرة للصناعات الانشائية - كايرو تك,"31 ش د. محمد يوسف موسى, متفرع من ش الطيران, المنطقة الاولى, مدينة نصر, القاهرة.",429986
اسمنت وخرسانة وجبس وطوب,توب كريت للمنتجات الاسمنتية,"القطعة 55 - 57, الروبيكى - منطقة 800 فدان, مدينة بدر, القاهرة.",691606
اسمنت وخرسانة وجبس وطوب,الامل للخرسانة الجاهزة,"الوحدة 407, الدور 5, ايجيبت ميديكال سنتر, الحى العاشر, مدينة نصر, القاهرة.",338348
اسمنت وخرسانة وجبس وطوب,المتحدة للحديد والاسمنت,"القطعة التاسعة, برج العرب, الاسكندرية.",123692
اسمنت وخرسانة وجبس وطوب,مصنع ذا بلوك للمنتجات الاسمنتية,"ابراج معمار المرشدى برج ريحانة بلازا, زهراء المعادى, المعادى, القاهرة.",688686
اسمنت وخرسانة وجبس وطوب,يونى كريت - حلمى عبد الرؤوف,"127 ش البساتين العمومى, البساتين, القاهرة.",250074
