Category,Name,Address,ID
معدات مطاعم وفنادق,انترناشيونال كول سنتر,"447 ش الهرم, الدور 4, الهرم, الجيزة.",548194
معدات مطاعم وفنادق,جرانة جروب لتوريدات المطابخ والمغاسل,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",119025
معدات مطاعم وفنادق,فاين للتجارة - معدات المطابخ والمغاسل,"85 عمارات الشركة السعودية ش العروبة, الشطر السابع, المعادى الجديدة, المعادى, القاهرة.",58493
معدات مطاعم وفنادق,الصفوة للفحم النباتى,", عرب العليقات, الخانكة, القليوبية.",690184
معدات مطاعم وفنادق,تارجت للاستيراد والتصدير,", المنطقة الصناعية الاولى, القطامية, القاهرة.",685213
معدات مطاعم وفنادق,الفيروز للتجارة والهندسة ش. م. م,"33 ش احمد ابو العلا, الحى الثامن, مدينة نصر, القاهرة.",3436
معدات مطاعم وفنادق,ايجى ايطاليا لماكينات القهوة والمطاحن - عمر الدغار,", قرية التلين, منيا القمح, الشرقية.",690139
معدات مطاعم وفنادق,ايجى فوم لغرف التبريد,"1 عمارات الفيصلية, الشقة 102, الدور 1, المريوطية, فيصل, الجيزة.",402522
معدات مطاعم وفنادق,البارون للمعدات والتجهيزات الفندقية,"القطعة 10062 طريق كارفور, المجاورة العاشرة, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",573729
معدات مطاعم وفنادق,الكارمة جروب لصناعة الاثاث والرتان,"12 ش المدينة المنورة, النزهة الجديدة, القاهرة.",693113
معدات مطاعم وفنادق,سيكا للمغاسل والغلايات ومعدات تصنيع الملابس وكيماويات النسيج والتكييف الصحراوى,"139 ش التحرير, الدقى, الجيزة.",18185
معدات مطاعم وفنادق,المصرية للتوريدات والتجهيزات التجارية,"22 ش طلعت حرب, وسط البلد, القاهرة.",13448
معدات مطاعم وفنادق,الصفا للتجارة الدولية - حمدى سعيد وشركاه,"163 ش الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",50844
معدات مطاعم وفنادق,شركة بست وورك,"الطريق الدائرى, نزلة القومية, امبابة, الجيزة.",685214
معدات مطاعم وفنادق,الامين للبلاستيك,"63 برج الامين ش المقريزى, منشية البكرى, مصر الجديدة, القاهرة.",11226
معدات مطاعم وفنادق,البسيونى وشركاه - وكيل كارشر,"74 ش عبد المنعم رياض, متفرع من ش البطل احمد عبد العزيز, العجوزة, الجيزة.",65779
معدات مطاعم وفنادق,الشركة المصرية للموازين,"ش عمر بن عبد العزيز, حلوان, القاهرة.",441823
معدات مطاعم وفنادق,الكرمة للتوريدات,"7 أ ش تنفيذ الاحكام متفرع من ش الخمسين, زهراء المعادى, المعادى, القاهرة.",614437
معدات مطاعم وفنادق,مجموعة الكل فى واحد,"20 ش جمال سالم, متفرع من ش مصدق, الدقى, الجيزة.",1049
معدات مطاعم وفنادق,يونايتد للتجارة والهندسة والديكورات الاستانلس,"25 ش عمر بن الخطاب, الهرم, الجيزة.",320399
معدات مطاعم وفنادق,ابراهيم يوسف ومصطفى يوسف,"29 ش طلبة العلم, المنشية, الاسكندرية.",471223
معدات مطاعم وفنادق,ابناء الشيخ لمستلزمات المقاهى,"2 ش محمد عزو, زهراء عين شمس, عين شمس, القاهرة.",648535
معدات مطاعم وفنادق,ابو اسماعيل للتجارة,"1 ش امير الجيوش, باب الشعرية, القاهرة.",168607
معدات مطاعم وفنادق,ابو الوفا,"111 ش المعز, الجمالية, القاهرة.",362591
معدات مطاعم وفنادق,ابو رانيا لمستلزمات المقاهى,"13 حارة جامع الغمارى, اشمون, المنوفية.",566698
معدات مطاعم وفنادق,ابو ضيف لتجهيز معدات مطابخ الفنادق والمطاعم,"37 ش المطحن متفرع من محور احمد عرابى, امبابة, الجيزة.",5041
معدات مطاعم وفنادق,ابو طرية للتجهيزات الالية,"7 ش يسرى فهمى, ارض الجولف, مصر الجديدة, القاهرة.",10300
معدات مطاعم وفنادق,ابو على للوازم المقاهى,"5 ش ابراهيم جميل, بشتيل, اوسيم, الجيزة.",540676
معدات مطاعم وفنادق,ابو مرعى السوهاجى,"20 مساكن اطلس -, مدينة السلام, القاهرة.",389182
معدات مطاعم وفنادق,ابو يوسف لمستلزمات المقاهى,"17 ش بنها - القصيرين, الزاوية الحمراء, القاهرة.",567260
معدات مطاعم وفنادق,اتش سى وود للصناعات الخشبية والمعدنية,"القطعة 26 - كم 28 - طريق اسكندرية القاهرة الصحراوى, ابو رواش, الجيزة.",538284
معدات مطاعم وفنادق,احمد زكى للوازم المقاهى,"ش الجمهورية, القلج, القليوبية.",421602
معدات مطاعم وفنادق,اراب لتجهيزات الفنادق,"17 أ عمارات العبور - طريق صلاح سالم تقاطع ش الاستاد البحرى - الدور 9, مدينة نصر, القاهرة.",69281
معدات مطاعم وفنادق,ارابيا لتوريدات الفنادق,"15 ش 16, وادى حوف, القاهرة.",475411
معدات مطاعم وفنادق,ارابيسك الشام,", المجاورة السادسة, العاشر من رمضان, الشرقية.",665163
معدات مطاعم وفنادق,ارابيسك لمستلزمات المقاهى,"19 ش نجيب محفوظ, العجوزة, الجيزة.",674408
معدات مطاعم وفنادق,ارابيسك لمستلزمات المقاهى,"1 ش ابو اشرف الموان متفرع من ش الثورة - قرية بشتيل, اوسيم, الجيزة.",545203
معدات مطاعم وفنادق,ارايمس جروب,"36 طريق الشيراتون, الهضبة, الغردقة.",642757
معدات مطاعم وفنادق,ارت ستيل,"قطعة 124 - - المنطقة الصناعية C8, العاشر من رمضان, الشرقية.",61526
معدات مطاعم وفنادق,ارتكس للتوريدات الفندقية,"10 ش صقلية, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",455042
معدات مطاعم وفنادق,اس باك لمستلزمات المقاهى,"18 ش خالد بن الوليد, حدائق حلوان, القاهرة.",644355
معدات مطاعم وفنادق,اس تى اس للهندسة,"19 ش الحبايب متفرع من ش التروللى - الحرفيين, مدينة السلام, القاهرة.",439387
معدات مطاعم وفنادق,اسكندريه للتوريدات,"28 ش محمد متولى الشعرواى, امتداد ش مصطفى النحاس, الحى العاشر, مدينة نصر, القاهرة.",421720
معدات مطاعم وفنادق,اسكيمو للهندسة والتجارة الدولية,"43 ش نجيب الريحانى متفرع من ش الجمهورية, الازبكية, القاهرة.",14660
معدات مطاعم وفنادق,اسماعيل عبد الرازق لمستلزمات المطاعم,"53 ش امير الجيوش, باب الشعرية, القاهرة.",472849
