Category,Name,Address,ID
زجاج سيارات,"دوائر لاستشارات الزجاج المسطح, شركة ذات مسئولية محدودة","31 ش أحمد فهيم, متفرع من عبدالعزيز فهمي, صلاح سالم, مصر الجديدة, القاهرة.",552616
زجاج سيارات,مصنع اماس لصناعة زجاج,"القطعة 20 و21 - بلوك 15, امتداد المنطقة الصناعية, دمياط الجديدة, دمياط.",489600
زجاج سيارات,ابراهيم الاسمر,"ش الشركات, الزاوية الحمراء, القاهرة.",403313
زجاج سيارات,ابراهيم الثلاثى,"ش ترعة الهوارى - عزبة شلبى, المطرية, القاهرة.",378115
زجاج سيارات,ابراهيم سرور للزجاج,"طريق اسكندرية مطروح - ابو يوسف, العجمى, الاسكندرية.",226609
زجاج سيارات,ابناء زكى العسكرى وشركاه لزجاج السيارات,"4 ش القومية العربية , امبابة, الجيزة.",201266
زجاج سيارات,ابناء محمد خليفة,"بلوك 2 - مساكن الزاوية القديمة - ش الشركات, الزاوية الحمراء, القاهرة.",255394
زجاج سيارات,ابو احمد,"ش الدلتا, طوخ, القليوبية.",316167
زجاج سيارات,ابو الدهب,"ش ترعة الهوارى - عزبة شلبى, المطرية, القاهرة.",378105
زجاج سيارات,ابو الدهب,"132 ش مؤسسة الزكاة - بركة الحاج, المرج, القاهرة.",565456
زجاج سيارات,ابو الدهب لزجاج السيارات,"بلوك 22 ش صادق جوهر, الحى السادس, مدينة نصر, القاهرة.",681699
زجاج سيارات,ابو الدهب لزجاج السيارات,"5 عمارات الشرطة - ش جسر السويس, جسر السويس, القاهرة.",205932
زجاج سيارات,ابو الفتوح لزجاج السيارات,"2 ش يحيى زكريا, حدائق حلوان, القاهرة.",448504
زجاج سيارات,ابو اية,"طريق المنصورة, بنها, القليوبية.",311390
زجاج سيارات,ابو حازم لزجاج السيارات,"9 ش 6 اكتوبر, كرداسة, الجيزة.",553769
زجاج سيارات,ابو دنيا,"ش بورسعيد, الشهداء, المنوفية.",317658
زجاج سيارات,ابو عليوة لزجاج السيارات,"166 عمارات صقر قريش -, المعادى الجديدة, المعادى, القاهرة.",222906
زجاج سيارات,ابو عمرو لزجاج السيارات,"61 طريق مصر اسيوط السريع, الحوامدية, الجيزة.",617171
زجاج سيارات,ابو عويس لزجاج السيارات,"الحى السادس, السادس من اكتوبر, الجيزة.",213854
زجاج سيارات,ابو غالى لزجاج السيارات,"99 امتداد ش طلعت حرب, شبين الكوم, المنوفية.",535862
زجاج سيارات,ابو مازن,"2 ش العقبة, متفرع من ش هارون الرشيد, ميدان الجامع, مصر الجديدة, القاهرة.",220718
زجاج سيارات,ابو مجاهد لزجاج السيارات,"ش الانتاج, فاقوس, الشرقية.",641287
زجاج سيارات,ابو محمد,"10 ش القبة الفداوية, عباسية, القاهرة.",277629
زجاج سيارات,ابو ندى,"ش سيد شحاتة متفرع من ش بشتيل, امبابة, الجيزة.",265963
زجاج سيارات,ابو هانى لزجاج السيارات,"107 امتداد ش طلعت حرب, شبين الكوم, المنوفية.",535874
زجاج سيارات,ابو هانى للزجاج,"31 ش ترعة السواحل - قرية جزيرة محمد, الوراق, الجيزة.",598520
زجاج سيارات,ابو ياسين لزجاج السيارات,"77 طريق مصر اسيوط الزراعى, منيل شيحة, الجيزة.",616446
زجاج سيارات,ابو يوسف لزجاج السيارات,"90 ش فيصل, المريوطية, فيصل, الجيزة.",509059
زجاج سيارات,ابولو,"131 ش حسن الانور, مصر القديمة, القاهرة.",408583
زجاج سيارات,احمد العربى,"52 طريق مصر حلوان الزراعى, دار السلام, القاهرة.",329982
زجاج سيارات,احمد بدير لزجاج السيارات,"طريق ميت فارس, دكرنس, الدقهلية.",693589
زجاج سيارات,احمد فياضى لزجاج السيارات,"طريق اسكندرية مطروح, العجمى, الاسكندرية.",226268
زجاج سيارات,احمد لزجاج السيارات,"23 ش البوهى, امبابة, الجيزة.",201375
زجاج سيارات,ادهم ومريم لزجاج السيارات,"50 ش سعيد عبد الرحيم - ام بيومى, شبرا الخيمة, القليوبية.",473278
زجاج سيارات,ارزاق,"ش عبد المنعم رياض, فيصل, الجيزة.",402775
زجاج سيارات,ازاز لزجاج السيارات,"6 ش حسين كامل, الماظة, مصر الجديدة, القاهرة.",683176
زجاج سيارات,ازازكو لزجاج السيارات,"15 ش محمد مهدى عرفة, الحى العاشر, مدينة نصر, القاهرة.",673571
زجاج سيارات,اسلام,"., السادس من اكتوبر, الجيزة.",359770
زجاج سيارات,اسلام لزجاج السيارات,"1 ش نصر عاشور, المطرية, القاهرة.",481165
زجاج سيارات,اسلام لزجاج للسيارات,"117 ش مؤسسة الزكاة, المرج, القاهرة.",433109
زجاج سيارات,اسلامكو لزجاج السيارات,"101 ش جمال عبد الناصر, الحرفيين, القاهرة.",216671
زجاج سيارات,اشرف الطيب,"ش 15 مايو, شبرا الخيمة, القليوبية.",416474
زجاج سيارات,اشرف سكر لزجاج السيارات,"2 ش الخمراوية, شبرا, القاهرة.",432377
زجاج سيارات,اطباء الزجاج,"ش القبلى تقاطع ش رايل, حلوان, القاهرة.",388809
زجاج سيارات,اكرم الجزار للزجاج,"14 ش ال حمد, فيصل, الجيزة.",646458
زجاج سيارات,الاء,"14 ش سويلم, الطالبية, الهرم, الجيزة.",333266
زجاج سيارات,الاباصيرى لزجاج السيارات,"85 ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",576577
زجاج سيارات,الابيض للزجاج السيارات,"بلوك 30 - مساكن كفر طهرمس - متفرع من ش العشرين, فيصل, الجيزة.",216546
زجاج سيارات,الاتحاد للسيارات,"113 ش العباسية تقاطع ش صلاح ذو الفقار, عباسية, القاهرة.",217085
زجاج سيارات,الاحمد لزجاج السيارات,"33 ب ش ثابت, حلوان, القاهرة.",644754
زجاج سيارات,الاخوة لزجاج السيارات,"21 ش هشام لبيب, مدينة نصر, القاهرة.",461372
زجاج سيارات,الاخوة لزجاج السيارات,"21 ش امين عبد المجيد, المطبعة, الهرم, الجيزة.",149894
زجاج سيارات,الاخوة لزجاج السيارات,"104 ش الوحدة, امبابة, الجيزة.",196801
زجاج سيارات,الادهم لزجاج السيارات,", المجاورة الثانية, الحى السابع, السادس من اكتوبر, الجيزة.",346006
زجاج سيارات,الاصدقاء لزجاج السيارات,"3 ش رمضان الشيخ - المنيرة الغربية, امبابة, الجيزة.",536448
زجاج سيارات,الامل,"61 ش فيصل, المريوطية, فيصل, الجيزة.",321686
زجاج سيارات,الامير,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",298809
زجاج سيارات,الامير لزجاج السيارات,"99 عمارات اطلس ش الورش, الحى العاشر, مدينة نصر, القاهرة.",670043
زجاج سيارات,الاوربية,"مساكن ترعة الاسماعيلية -, شبرا الخيمة, القليوبية.",413501
زجاج سيارات,الايمان,"44 ش 18, امبابة, الجيزة.",264596
زجاج سيارات,الباز,"56 كورنيش النيل, المعصرة, القاهرة.",454724
زجاج سيارات,البدوى للزجاج,"., الحى 11, السادس من اكتوبر, الجيزة.",438012
زجاج سيارات,البرنس لزجاج السيارات,"24 كورنيش النيل - وراق الحضر, الوراق, الجيزة.",596433
زجاج سيارات,البرنس لزجاج السيارات,"1 ِش منار الاسلام، متفرع من ش جمال عبد الناصر, بولاق الدكرور, الجيزة.",626908
زجاج سيارات,البلاستيك الحديث,"ش د. كمال حسن كمال, شبرا, القاهرة.",378313
زجاج سيارات,البوطى,"142 ش مصر والسودان, حدائق القبة, القاهرة.",181677
زجاج سيارات,التيسير,"8 ش تحتمس كامل, سانت فاتيما, مصر الجديدة, القاهرة.",162184
زجاج سيارات,التيسير,"17 ش رشاح عبد اللاه, كرداسة, الجيزة.",301562
زجاج سيارات,الثلاثى,"ش الجمهورية, القلج, القليوبية.",419005
زجاج سيارات,الثلاثى لزجاج السيارات,"ش سوق القنال الدولى, جسر السويس, القاهرة.",441698
زجاج سيارات,الثلاثى لزجاج السيارات,"4 ش عبد الله العربى, مدينة نصر, القاهرة.",446023
