Category,Name,Address,ID
توريد عمالة وخدمات,شركة تلال للتوريدات العمومية وتوريد العمالة,"8 ابراج سيتى ستارز, الدور 5, الحى العاشر, السادس من اكتوبر, الجيزة.",673599
توريد عمالة وخدمات,مجموعة الحارثى الدولية,"162 ش شبرا, شبرا, القاهرة.",160170
توريد عمالة وخدمات,اتش ار جلوبال,"ش السنترال - الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619101
توريد عمالة وخدمات,الاتحاد الوطنية لتوريد العمالة,"15 ش لقاء, كفر الدوار, البحيرة.",635862
توريد عمالة وخدمات,الاتحاد لتوظيف والخدمات المنزلية,"المنطقة الخامسة, مدينة الشروق, القاهرة.",544965
توريد عمالة وخدمات,الاندلس سيرفيس,", مكتب 320 , مجمع على الدين مبنى ج , الدور 3 علوى, الحى 12, السادس من اكتوبر, الجيزة.",443397
توريد عمالة وخدمات,الايمان للاحاق عمالة بالخارج,"54 ش السودان, الدقى, الجيزة.",576439
توريد عمالة وخدمات,الحرمين لتوريد العمالة,"طريق سقارة السياحى, سقارة, الجيزة.",676790
توريد عمالة وخدمات,الحمد للتجارة والتوريدات,"64 ش ابى الدرداء, اللبان, الاسكندرية.",594744
توريد عمالة وخدمات,الخربوطلى لتوريد العمالة,", المحور المركزى, عمارة لؤلؤة اكتوبر, الحى الثانى, السادس من اكتوبر, الجيزة.",622733
توريد عمالة وخدمات,الخليجية لتوريد العمال,"300 ش الاهرام, الدور 8, ميدان الجيزة, عمارة النصر, الجيزة, الجيزة.",634152
توريد عمالة وخدمات,الخليفة لتوريد العمالة,", مدينة الرحاب - عمارة 53, عتاقة, السويس.",635437
توريد عمالة وخدمات,الدولية المصرية لتوريد العمالة,"6 ش مبروك مبارك, سهل حمزة, الهرم, الجيزة.",647498
توريد عمالة وخدمات,الشرق للاستشارات الهندسية و المقاولات العمومية,"203 - مدينة النوبارية الجديدة - الحى السكنى الاول, النوبارية, البحيرة.",606996
توريد عمالة وخدمات,الشرقاوى,"252 ش السودان, المهندسين, الجيزة.",579559
توريد عمالة وخدمات,الشركة الدولية لخدمات المصانع,", المحور الخدمى - عمارة 32, الحى 11, السادس من اكتوبر, الجيزة.",660106
توريد عمالة وخدمات,الشمس لتوريد العمالة,"1 ش صبحى النجارالمنيرة الغربية, امبابة, الجيزة.",538952
توريد عمالة وخدمات,الصفا للخدم,"6 ش المطبعة, المطبعة, فيصل, الجيزة.",456723
توريد عمالة وخدمات,الصفوة لتوريد العمالة,", الحى الثالث - عمارة 108, التجمع الخامس, القاهرة الجديدة, القاهرة.",549056
توريد عمالة وخدمات,العمر للتوريدات العامة,"ش 6 اكتوبر - المنايل, الخانكة, القليوبية.",544676
توريد عمالة وخدمات,الفرعونية للتجارة,"8 ِش طاهر, شبرا, القاهرة.",626535
توريد عمالة وخدمات,القدس للخدمات الفندقية,"446 ش الهرم الدور 10, نصر الدين, الهرم, الجيزة.",632132
توريد عمالة وخدمات,الكيان للتوريدات العمومية,"37 ش المنيل, المنيل, القاهرة.",542240
توريد عمالة وخدمات,المتحدة جروب لتوريدات العمالة,"7 ش المنشية متفرع من ميدان الساعة, الطالبية, فيصل, الجيزة.",573537
توريد عمالة وخدمات,المصرية للخدمات المنزلية,"49 ب ش سليم الاول, الدور 2, حلمية الزيتون, القاهرة.",653933
توريد عمالة وخدمات,الملكة للخدمات,"12 ش متحف المطرية ميدان النعام - برج الدفراوى, حلمية الزيتون, القاهرة.",560371
توريد عمالة وخدمات,النور للعمالة المنزلية,"13 كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",657634
توريد عمالة وخدمات,الوصيفة للعمالة والخدمات العامة,"43 ش اسماعيل سرى, سموحة, الاسكندرية.",573750
توريد عمالة وخدمات,الوفاء لتوريد العمالة,"ش الزهرة, عرب العيايدة, الخانكة, القليوبية.",638478
توريد عمالة وخدمات,الولاء للرحلات والمقاولات,"ش الصعيدى, دمياط الجديدة, دمياط.",528970
توريد عمالة وخدمات,ام جى جروب,"ش مؤسسة الزكاة, عزبة النخل, القاهرة.",667194
توريد عمالة وخدمات,امتياز هاوس كيبينج,"1 ش ابراهيم ابو النجا, الدور 7, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",680811
توريد عمالة وخدمات,ايجل ايجيبت,"12 ش 296, المعادى الجديدة, المعادى, القاهرة.",545726
توريد عمالة وخدمات,ايجى بزنس لتوريد العمالة,"13 ش بخيت, متفرع من ش احمد زكى, المعادى, القاهرة.",632512
توريد عمالة وخدمات,ايليت جروب,"12 ش امين الرافعى, ميدان المساحة, برج ابو الخير, الدقى, الجيزة.",642057
توريد عمالة وخدمات,بابل للتوريدات العمومية,"ش احمد منصور، متفرع من ش معهد الابحاث, الوراق, الجيزة.",627068
توريد عمالة وخدمات,باور سيرفيسز,"43 ش بورسعيد متفرع من ش خاتم المرسلين, الهرم, الجيزة.",546204
توريد عمالة وخدمات,بروفى مار,"10 ش علوى متفرع من ش قصر النيل - الدور 1, وسط البلد, القاهرة.",168572
توريد عمالة وخدمات,بست هاوس للخدمات اليدوية,", كمباوند الفيروز, منطقة الاحياء, الغردقة.",665263
توريد عمالة وخدمات,بسمارك جروب,"4 ش الفاروق، متفرع من ش فيصل, الطوابق, فيصل, الجيزة.",627719
توريد عمالة وخدمات,بولت لجميع اعمال الصيانة وتوفير العمالة المتخصصة,", سنتر المدينة التجارى, الحى الثالث, السادس من اكتوبر, الجيزة.",532423
توريد عمالة وخدمات,بيرسونال فو يو,"المحور المركزى, الحى الخامس, السادس من اكتوبر, الجيزة.",577043
توريد عمالة وخدمات,بيس ميدز,"40 عمارات بدر الدين, المجاورة الخامسة, الحى 16, الشيخ زايد, السادس من اكتوبر, الجيزة.",657845
توريد عمالة وخدمات,تايم هلب,"30 ش العرب, متفرع من ش 77, المعادى, القاهرة.",678758
توريد عمالة وخدمات,تصليحة,"فيلا 175 ش 53, متفرع من ش التسعين الجنوبى, الحى الاول - المنطقة السابعة, التجمع الخامس, القاهرة الجديدة, القاهرة.",668139
توريد عمالة وخدمات,جراند لتوريد العماله وتشغيل خطوط الانتاج,", مول المركز العالمى - الدور الاول - وحده رقم 82, العاشر من رمضان, الشرقية.",666508
توريد عمالة وخدمات,جروب سيرفيسز,"59 ش الجبل, الدور 1, مدينة الموظفين, حلوان, القاهرة.",357770
توريد عمالة وخدمات,جلوبل,"ش ارض ابو الدهب - المنشية, بلبيس, الشرقية.",563132
توريد عمالة وخدمات,جودة للتوظيف,"20 ش طلعت حرب, شبين الكوم, المنوفية.",540466
توريد عمالة وخدمات,د. هوم,"1 بلوك 10، ِش 9حى الواحة - برج الصديق, الحى العاشر, مدينة نصر, القاهرة.",626976
توريد عمالة وخدمات,دولار لتوريد العمالة,"كم 21 طريق اسكندرية مطروح, العجمى, الاسكندرية.",635684
توريد عمالة وخدمات,رؤية هوم,"446 ابراج نصر الدين ش الهرم, الدور 4, نصر الدين, الهرم, الجيزة.",636994
توريد عمالة وخدمات,رعاية هاوس,"21 أ عمارات السويسرى, الشقة 4, الدور 1, الحى العاشر, مدينة نصر, القاهرة.",636635
توريد عمالة وخدمات,سيتي سرفيس,"5 ش خاتم المرسلين, الهرم, الجيزة.",584903
توريد عمالة وخدمات,عيون الصقر الذهبى 2000,"4 ش جمال حمدان, متفرع من ش الشعراوى, الحى العاشر, مدينة نصر, القاهرة.",655631
توريد عمالة وخدمات,فالخدمة,"97 ش عمر بن الخطاب متفرع من ميدان السبع عمارات, الماظة, مصر الجديدة, القاهرة.",578005
توريد عمالة وخدمات,فالكون العميد,"5 درب شمس, السيدة زينب, القاهرة.",618857
توريد عمالة وخدمات,فييد,"178 ش سامح جادو - المنطقة السياحية السادسة, الحى المتميز, السادس من اكتوبر, الجيزة.",528526
توريد عمالة وخدمات,كابيتال ميدز سيرفس,", الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",670681
توريد عمالة وخدمات,ماسترز اوت سورس,"19 ش محمد عباس, امبابة, الجيزة.",563870
توريد عمالة وخدمات,مان باور سيرفيس,"القطعة 11 ش عباس العقاد, المنطقة الصناعية الاولى, مدينة السادات, المنوفية.",633837
توريد عمالة وخدمات,مايا للخدمات العامة,"15 ش الطيران, ميدان رابعة العدوية, المنطقة الاولى, مدينة نصر, القاهرة.",212634
توريد عمالة وخدمات,مدينتى لتشغيل العمالة,"ابراج عثمان - , المعادى, القاهرة.",553392
توريد عمالة وخدمات,مصر لتوريد العمالة,"الطريق الدولى امتداد ش 45, العصافرة, الاسكندرية.",545209
توريد عمالة وخدمات,معمل نانو,"31 ش احمد عصمت, عين شمس الشرقية, القاهرة.",662295
توريد عمالة وخدمات,نور الرحمن لتشغيل العمالة,"27 ش الحجاز, مصر الجديدة, القاهرة.",553162
توريد عمالة وخدمات,واب تك,"24 ش مدرسة التوفيقية, شبرا, القاهرة.",629391
توريد عمالة وخدمات,وان تو كلين,"1 ش ابو طالب, المريوطية, الهرم, الجيزة.",582989
توريد عمالة وخدمات,وايت للخدمات المنزلية,"عمارات المحافظة ش فريد ندا, بنها الجديدة, القليوبية.",694760
