Category,Name,Address,ID
كهرباء ميكانيكية,شركة الندى للتكييف والمقاولات,"24 ش عبد العزيز السيد, النزهة الجديدة, القاهرة.",630322
كهرباء ميكانيكية,اكسبرتك ادارة و تشغيل المنشآت و خدمات الصيانة,"15 / 5, محور 26 يوليو, السادس من اكتوبر, الجيزة.",584430
كهرباء ميكانيكية,يونيتك مصر لمواد البناء,"القطعة 235 أ, المحور الخدمى الثانى, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",44916
كهرباء ميكانيكية,شركة اتوميشن تكنولوجى,"مكتب 215 - 216 مبنى ج, نهاية المحور المركزى, مجمع على الدين, السادس من اكتوبر, الجيزة.",579552
كهرباء ميكانيكية,داتا لأنظمة الكهرباء والقوى,"21 ش حسين رمضان, الابراهيمية, الاسكندرية.",688112
كهرباء ميكانيكية,اس بى سى لصيانة وادارة المشروعات,"32 أ, الشيخ زايد, السادس من اكتوبر, الجيزة.",689095
كهرباء ميكانيكية,دلتا للخدمات الهندسية,"3 ش السلخانة, بيجام, شبرا الخيمة, القليوبية.",689661
كهرباء ميكانيكية,شركة ميكاسول - الحلول الميكاترونية للتحكم الالى ش. م. م.,"55 ش مصدق, الدور 8, الدقى, الجيزة.",328027
كهرباء ميكانيكية,زين اليكتريك للمقاولات الكهروميكانيكية والطاقة الشمسية,", دمنهور, البحيرة.",685381
كهرباء ميكانيكية,كايرو تكنيكال سنتر - سى تى سى,"قطعة 518, طريق الكلية الجوية الخلفى, المنطقة الصناعية, بلبيس, الشرقية.",619983
كهرباء ميكانيكية,الشركة الهندسية للطاقة الكهربائية,"3 ش عبد العزيز احمد, متفرع من ش محمد رفعت, النزهة الجديدة, القاهرة.",298209
كهرباء ميكانيكية,وورلد لايت للتوريدات الكهربائية ومستلزمات المصانع,"وحدة 56, الاردنية, العاشر من رمضان, الشرقية.",693607
كهرباء ميكانيكية,ال اس ايجيبت,"12 ش الربيع, المنطقة الاولى, مدينة نصر, القاهرة.",347888
كهرباء ميكانيكية,باور سينا للتوريدات الكهربائية,", الاردنية - المشروع الاستثمارى 2 - عمارة 2 - محل 12, العاشر من رمضان, الشرقية.",619748
كهرباء ميكانيكية,الرواد للانشاءات الصناعية ش.م.م,"146 برج اللؤلؤة ش المريوطية, المريوطية, الهرم, الجيزة.",46642
كهرباء ميكانيكية,هنديكو للاعمال الكهربائية,"54 ش اسماعيل سرى, سموحة, الاسكندرية.",20629
كهرباء ميكانيكية,شركة مينار الهندسية,"9 ش عبد العزيز خليل, متفرع من ش جسر السويس, الحى الثانى - النزهة, جسر السويس, القاهرة.",1603
كهرباء ميكانيكية,الباسم للمقاولات العمومية والتوريدات,"17 ش الهدى والنور, الشقة 3, الدور 1, تقسيم فريد زكى, حدائق حلوان, القاهرة.",605123
كهرباء ميكانيكية,الشركة الدولية للانشاءات والصيانة المتخصصة - انترمنت جروب,"28 ش توت عنخ امون, سموحة, الاسكندرية.",64345
كهرباء ميكانيكية,الفتح للمقاولات والاعمال الهندسية,"215 ش بورسعيد, سبورتنج, الاسكندرية.",604962
كهرباء ميكانيكية,الكتروميتال لمقاولات الكهرباء,"قطعة 28 - المنطقة الصناعية الثانية - الحرفيين, المنشية الجديدة, الاسكندرية.",145376
كهرباء ميكانيكية,المصنع الفنى للمعدات الهندسية,"5 ش عثمان بن عفان قطاع د - المنطقة الصناعية الاولى, الصالحية الجديدة, الشرقية.",44496
كهرباء ميكانيكية,الهندسية للتوريدات الكهربائية والحلول المتقدمة - اسيك,"10 ش جمال الدين عفيفى, المنطقة السادسة, مدينة نصر, القاهرة.",507652
كهرباء ميكانيكية,شركة الكتروميكانيك للتوريدات والتوكيلات الهندسية وتجهيزات مصانع الاعلاف,", تقاطع ش توت عنخ امون مع ش محمد فريد, طنطا, الغربية.",615326
كهرباء ميكانيكية,3 ايه كومشيننج للخدمات الهندسية,"10 ش الشرقاوى - المنطقة الصناعية, قليوب, القليوبية.",542120
كهرباء ميكانيكية,اباكون - ايه بى بى المقاولون العرب للانشاءات,"7 ش د. محمد كامل حسين, النزهة الجديدة, القاهرة.",136252
كهرباء ميكانيكية,ابكوم,"47 ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",467595
كهرباء ميكانيكية,اتش او ام ايجيبت,"1 ش رمضان بيومى متفرع من ش فيصل, المريوطية, فيصل, الجيزة.",577456
كهرباء ميكانيكية,ازورا جروب,"13 ش احمد حمدى, ميامى, الاسكندرية.",634533
كهرباء ميكانيكية,اس اتش جروب,"الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619719
كهرباء ميكانيكية,اسامة الغريب للمقاولات,"كفر حجازى, المحلة الكبرى, الغربية.",557441
كهرباء ميكانيكية,استريم لاين - الشركة الفنية للتوريدات الكهروميكانيكية,"25 ش الحرمين, الحوامدية, الجيزة.",267913
كهرباء ميكانيكية,اسكندرية للمقاولات الكهربائية والميكانيكية,"40 ش السلام, السيوف, الاسكندرية.",540691
كهرباء ميكانيكية,اسما للاعمال الهندسية,"42 ش 108, حدائق المعادى, المعادى, القاهرة.",55887
كهرباء ميكانيكية,اشيدا للتوريدات,"1 عمارات توب هاوس - ش النصر متفرع من طريق 14 مايو, سموحة, الاسكندرية.",583205
كهرباء ميكانيكية,اعمار للحلول المتكاملة,"103 - الحى الثالث - المنطقة الرابعة, التجمع الخامس, القاهرة الجديدة, القاهرة.",451545
كهرباء ميكانيكية,افاق,"11 و/5 ش منشاوى متفرع من ش النصر, المعادى الجديدة, المعادى, القاهرة.",457883
كهرباء ميكانيكية,افراكون,"25 ش كمال حجاب, مصر الجديدة, القاهرة.",673242
كهرباء ميكانيكية,افيكو,"5 ابراج الحلوانى - ش الحدائق - الدور 1, كفر الدوار, البحيرة.",607196
كهرباء ميكانيكية,افيكو للاعمال الكهروميكانيكية,"ش الترعة, حى الفلل - برج فارس - الزهور الجديدة, بنها الجديدة, القليوبية.",680302
كهرباء ميكانيكية,اكتيف للمقاولات والتوريدات العمومية,"1 ش عمار متفرع من ش معمل الالبان, شبرا, القاهرة.",387987
كهرباء ميكانيكية,اكسبريس,"37 ش احمد الصاوى متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",192513
كهرباء ميكانيكية,اكوا باور للتوريدات الكهروميكانيكية,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",634281
