Category,Name,Address,ID
مراكز تدريب مهني,المركز القومى لدراسات السلامة والصحة المهنية,"156 ش الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",148604
مراكز تدريب مهني,ايماجين للتدريب والتطوير,"ش الحصرية, امتداد ش احمد عرابى, المهندسين, الجيزة.",693635
مراكز تدريب مهني,كوستيلكس,"101 ش عبد المنعم رياض, المهندسين, الجيزة.",694772
مراكز تدريب مهني,مركز الرؤية الاستراتيجية للتدريب,"21 ش فيكتور عمانويل, سموحة, الاسكندرية.",693411
مراكز تدريب مهني,مركز تدريب مهنى - اجا,"ش فهمى, اجا, الدقهلية.",397257
مراكز تدريب مهني,مركز تدريب مهنى - اشمون,"26 ش الروضة متفرع من ش سعد زغلول, اشمون, المنوفية.",397163
مراكز تدريب مهني,مركز تدريب مهنى - الحضرة,"ش الحضرة بحرى متفرع من ش ابو قير, الحضرة بحرى, الاسكندرية.",397265
مراكز تدريب مهني,مركز تدريب مهنى - الخارجة,"طريق الداخلة, الخارجة, الوادى الجديد.",397261
مراكز تدريب مهني,مركز تدريب مهنى - الشرابية,"9 ش مهمشه, الشرابية, القاهرة.",397090
مراكز تدريب مهني,مركز تدريب مهنى - الطور,"., الطور, جنوب سيناء.",397183
مراكز تدريب مهني,مركز تدريب مهنى - العريش,"ش الفاتح, العريش, شمال سيناء.",397154
مراكز تدريب مهني,مركز تدريب مهنى - المنيا,"المنطقة الصناعية, المحطة, المنيا.",397169
مراكز تدريب مهني,مركز تدريب مهنى - بئر العبد,"., بئر العبد, شمال سيناء.",397159
مراكز تدريب مهني,مركز تدريب مهنى - بورسعيد,"., حى مبارك, بور سعيد.",397151
مراكز تدريب مهني,مركز تدريب مهنى - بولاق الدكرور,"ش ال عامر متفرع من ش همفرس, بولاق الدكرور, الجيزة.",397094
مراكز تدريب مهني,مركز تدريب مهنى - دمياط الجديدة,"المنطقة الصناعية, دمياط الجديدة, دمياط.",397176
مراكز تدريب مهني,مركز تدريب مهنى - سوهاج,"ش ترعة باجة, سوهاج, سوهاج.",397100
مراكز تدريب مهني,مركز تدريب مهنى - شرق النيل,"., بنى سويف, بنى سويف.",397254
مراكز تدريب مهني,مركز تدريب مهنى - فوة,"طريق فوة دسوق, فوه, كفر الشيخ.",397098
مراكز تدريب مهني,مركز تدريب مهنى - محرم بك,"100 ش محسن, محرم بك, الاسكندرية.",22902
