Category,Name,Address,ID
مبانى سابقة التجهيز وتركيبات,مصنع كرفان اوكس,"كم 28 طريق مصر اسكندرية الصحراوى, تقاطع محور الضبعة, المنطقة الصناعية, ابو رواش, الجيزة.",683497
مبانى سابقة التجهيز وتركيبات,الماسة للكرفانات والمبانى الجاهزة,"طريق القاهرة اسكندرية الزراعى - ش محمد عبد الرازق, متفرع من الطريق البطئ, قليوب, القليوبية.",620830
مبانى سابقة التجهيز وتركيبات,انجاز لتجهيزات المواقع والمقاولات,"القطعة 228, منطقة زهراء المعادى الصناعية, زهراء المعادى, المعادى, القاهرة.",586507
مبانى سابقة التجهيز وتركيبات,الهندسية للانشاءات المعدنية - امكون,"77 أ طريق النصر, مدينة نصر, القاهرة.",49947
مبانى سابقة التجهيز وتركيبات,المصرية لصناعة غرف التبريد و التجميد - فان بانل,"القطعة 137/55 الكيلو 72, قطاع 3, المنطقة الصناعية - منطقة الفتح, كوم اوشيم, الفيوم.",621280
مبانى سابقة التجهيز وتركيبات,ريدى فينس للاسوار الجاهزة والملاعب,"67, حى الاشجار, حى الاشجار, السادس من اكتوبر, الجيزة.",623329
مبانى سابقة التجهيز وتركيبات,العمار للاعمال والانشاءات المعدنية,"قطعة 92, منطقة ال75 فدان - المنطقة الصناعية, ابو رواش, الجيزة.",532732
مبانى سابقة التجهيز وتركيبات,باور جوب للصناعات الهندسية,"قطعة 272, امتداد المنطقة الصناعية السادسة, منطقة التلتميات, السادس من اكتوبر, الجيزة.",625967
مبانى سابقة التجهيز وتركيبات,بيرفكت للصناعات الهندسية,", قطعة 19 بلوك 15 جنوب المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",694233
مبانى سابقة التجهيز وتركيبات,ستيل كريت للانشاءات المعدنية,", المنطقة الحادية عشر - قطعه 427, مدينة السادات, المنوفية.",694410
مبانى سابقة التجهيز وتركيبات,الشركة الفنية للكرفانات,", محور 26 يوليو, ابو رواش, الجيزة.",691085
مبانى سابقة التجهيز وتركيبات,كرفان الشروق ستيل,"الطريق البطئ, ابو سنة, قليوب, القليوبية.",634444
مبانى سابقة التجهيز وتركيبات,ايجل للصناعات الهندسية والمعدنية,"قطعة رقم 3 بلوك م طريق العاشر من رمضان, المنطقة الصناعية, بلبيس, الشرقية.",694139
مبانى سابقة التجهيز وتركيبات,الوادى للفيبرجلاس,"كم 17، طريق مصر اسكندرية الزراعى, قليوب, القليوبية.",632758
مبانى سابقة التجهيز وتركيبات,ريدج للخدمات الهندسية,"16 ش كمال الدين صلاح, سموحة, الاسكندرية.",686782
مبانى سابقة التجهيز وتركيبات,المدينة للخرسانة الجاهزة,"برج النخلة ش قناة السويس, المنصورة, الدقهلية.",652133
مبانى سابقة التجهيز وتركيبات,كريتيماتك للهياكل الخرسانية والمعدنية سابقة التجهيز - ش.م.م,"18 ش ابن بطوطة, مدكور, الهرم, الجيزة.",504716
مبانى سابقة التجهيز وتركيبات,ام ام ايه لتشكيل وتشغيل المعادن,"ش مصرف اسكندر, الطریق البطيء, قليوب, القليوبية.",670980
مبانى سابقة التجهيز وتركيبات,ايميكو جروب للتجارة والمقاولات,"7 عمارات المصرية للاتصالات طريق الاوتوستراد, تقسيم اللاسلكى, مشروع 16 عمارة, المعادى الجديدة, المعادى, القاهرة.",263221
مبانى سابقة التجهيز وتركيبات,الرحمة لصناعة الكرفانات و المبانى الجاهزة,"محور 26 يوليو, السادس من اكتوبر, الجيزة.",466358
مبانى سابقة التجهيز وتركيبات,الشركة الفنية للمقاولات -تى سى سى,"1 ش اولاد الحاج عاشور, متفرع من ش فرع والى, المنيب, الجيزة.",597704
مبانى سابقة التجهيز وتركيبات,شركة الاشقر للكرافانات والمبانى الجاهزة والمقاولات,"طريق نكله المناشي, المناشى, الوراق, الجيزة.",608711
مبانى سابقة التجهيز وتركيبات,مجموعة جولدن ابل للتجارة والصناعة والانشاءات,"بلوك 23 - قطعة 8 - - المنطقة الصناعية الرابعة, برج العرب, الاسكندرية.",598751
مبانى سابقة التجهيز وتركيبات,ابو الدهب لتوريد الكرافانات,"كم 7 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",569196
مبانى سابقة التجهيز وتركيبات,ار بى ام للتجارة والمقاولات,"فيلا 199 - - حى البنفسج, التجمع الاول, القاهرة الجديدة, القاهرة.",502390
مبانى سابقة التجهيز وتركيبات,اسبيس بيلدرز اند ديزاينرز,"6 ش على الجندى, الشقة 9, الدور 4, متفرع من ش احمد فخرى, المنطقة السادسة, مدينة نصر, القاهرة.",3111
مبانى سابقة التجهيز وتركيبات,اطلس,"طريق ترعة المنصورية, ابو رواش, الجيزة.",553220
مبانى سابقة التجهيز وتركيبات,ال اى ام ايجيبت,"9 ش محمود حمدى خطاب متفرع من ش الجبرتى - الدور 7, الشلالات, الاسكندرية.",162950
مبانى سابقة التجهيز وتركيبات,الاتحاد ستيل لتصنيع و تركيب الجمالونات والمظلات المعدنية وتجارة الصاج,"القطعة الثامنة - بلوك ى, المنطقة الصناعية الثالثة, جمصة, الدقهلية.",463281
مبانى سابقة التجهيز وتركيبات,الاتحاد لتصنيع وصيانة الكرفانات,"طريق المنصورية, ابو رواش, الجيزة.",620568
