Category,Name,Address,ID
اوناش ورافعات,مودرن تريدينج,"ش محمد حافظ, الاردنية, العاشر من رمضان, الشرقية.",580579
اوناش ورافعات,هيدرو ميكانيكال للصناعات الهندسية,"القطعة 4/5/14, المنطقة الصناعية A2, العاشر من رمضان, الشرقية.",539615
اوناش ورافعات,فرست للتصنيع ونظم الاوناش,"القطعة 9 - بلوك 9, امتداد المنطقة الصناعية الرابعة, برج العرب الجديدة, الاسكندرية.",141925
اوناش ورافعات,بوش للاوناش,"., التجمع الخامس, القاهرة الجديدة, القاهرة.",687965
اوناش ورافعات,سمارت تولز لتجارة العدد وقطع الغيار وادوات اللحام,"14 ش عرابى, التوفيقية, وسط البلد, القاهرة.",490360
اوناش ورافعات,بتروبلاست,"عمارات الشمس, ميدان الرماية, الهرم, الجيزة.",688780
اوناش ورافعات,الدموكى لتأجير وصيانة المعدات الثقيلة,"كم 28, المنطقة الصناعية, ابو رواش, الجيزة.",685783
اوناش ورافعات,دلتا للخدمات الهندسية,"3 ش السلخانة, بيجام, شبرا الخيمة, القليوبية.",689661
اوناش ورافعات,نجاتى للاستيراد وتأجير الاوناش والمولدات الكهربائية,"كم 26, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",534528
اوناش ورافعات,الاسكندرية للمعدات وبيع وتأجير المولدات - م. محمد شاهين,"4 عمارات بيك اند جو شارع توت عنخ امون, الدور 3, سموحة, الاسكندرية.",687529
اوناش ورافعات,شركة المدير لتأجير المعدات الثقيلة,", الحى 12, السادس من اكتوبر, الجيزة.",691001
اوناش ورافعات,المصرية لمعدات الرصف والتجارة,"كم 28.5 طريق اسكندرية القاهرة الصحراوى, العامرية, الاسكندرية.",386984
اوناش ورافعات,المهندس لخدمات المعدات الثقيلة وتأجير المعدات,"الحديدى تاور, الدخيلة, الاسكندرية.",671440
اوناش ورافعات,الشرق لتأجير المعدات الثقيلة,", المحور المركزى, الحى 12, السادس من اكتوبر, الجيزة.",689918
اوناش ورافعات,شركة الاسكندرية للصيانة الميكانيكية,"كم 28 طريق اسكندرية القاهرة الصحراوى, نهاية ش بلال بن رباح, العامرية, الاسكندرية.",199450
اوناش ورافعات,كوانتم سليوشنز,"المجاورة الاولى, المحور المركزى, الحى 12, السادس من اكتوبر, الجيزة.",620817
اوناش ورافعات,الشناوى لاستيراد المعدات الثقيلة,"ك 26 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",689931
اوناش ورافعات,تاسك افييشن,"61 ش ابو داوود الظاهرى, الشقة 9, الدور 5, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",48705
اوناش ورافعات,شركة عرفة تراك لتشغيل المعدات,"كم 31 طريق اسكندرية القاهرة الصحراوى, العامرية, الاسكندرية.",169877
اوناش ورافعات,الشرق الاوسط للخدمات الفنية - ميتسكو,"2 عمارات العبور - طريق صلاح سالم, مصر الجديدة, القاهرة.",8921
اوناش ورافعات,بلانكو للاوناش العلوية,"48 ش العباسية, عباسية, القاهرة.",215927
اوناش ورافعات,جولدن ميتال للصناعات الهندسية,"القطعة 21 - مربع 12001, الامتداد الشمالى, المنطقة الصناعية, مدينة العبور, القليوبية.",167253
اوناش ورافعات,ابراهيم والسيد جابر للاستيراد والتصدير,"الطريق السريع, طلخا, الدقهلية.",159489
اوناش ورافعات,ابناء الشرقية,"بلوك 1 - مساكن النيل -, مدينة السلام, القاهرة.",325330
اوناش ورافعات,ابناء عصام,"1 ش صلاح الدين - باب الحرس, دمياط, دمياط.",503643
اوناش ورافعات,ابناء محمد عامر,"جزيرة بدران, شبرا, القاهرة.",132897
اوناش ورافعات,ابو عمار,"مساكن النيل -, مدينة السلام, القاهرة.",418300
اوناش ورافعات,ابو مضاوى للاستيراد والتصدير,"ش الجيش, كفر الدوار, البحيرة.",50398
اوناش ورافعات,اتش ار للتجارة والتوريدات,"403 ش السودان, المهندسين, الجيزة.",616907
اوناش ورافعات,اتش تى ار,"ش السادات متفرع من ش 15 مايو - برج الاسراء, شبرا الخيمة, القليوبية.",564539
اوناش ورافعات,اجا تراك,"13 ش يوسف عبد الله متفرع من ش زغلول شقة 2, مشعل, الهرم, الجيزة.",458634
اوناش ورافعات,اجرى عمارة,"ش د. اسماء فهمى, ايتاى البارود, البحيرة.",299546
اوناش ورافعات,احمد رشيد لتاجير المعدات و خدمة المشروعات - قباء,"ش 217, القبارى, الاسكندرية.",642688
اوناش ورافعات,ار اس لتصنيع المكابس الهيدروليكية,"القطعة 65 المنطقة الصناعية C6, العاشر من رمضان, الشرقية.",115925
اوناش ورافعات,ارابيا للصيانة,"9 ش محمود عبد الشافى - وراق العرب, الوراق, الجيزة.",593794
اوناش ورافعات,اركاد كرين,"ش العاشر من رمضان, قليوب البلد, قليوب, القليوبية.",694412
اوناش ورافعات,ارمكو للتجارة والهندسة,"3 ش المنصورية متفرع من ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",458131
اوناش ورافعات,اشرف سعد,"6 ش المهدى متفرع من ش الجمهورية, وسط البلد, القاهرة.",112724
اوناش ورافعات,افاق لرفع الاثاث,"4 أ/1 تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",386058
اوناش ورافعات,ال صالح,"4 ش خليفة الراضى, مدينة نصر, القاهرة.",431878
اوناش ورافعات,الاتحاد للاستيراد والتصدير,"8 ش عبد الحميد ابو هيف, الشاطبى, الاسكندرية.",121520
اوناش ورافعات,الاخلاص للاستيراد والتصدير,"كم 30 - طريق القاهرة اسكندرية الزراعى, طوخ, القليوبية.",187686
اوناش ورافعات,الاخوة لتجارة المعدات وخدمات اللوجيستيك,"23 ش المينا الشرقية, محطة الرمل, الاسكندرية.",546100
اوناش ورافعات,الاخوين - ابراهيم محمد سند وشركاه,"القطعة 19 - - المنطقة الاستثمارية - شق الثعبان, طره, القاهرة.",137621
اوناش ورافعات,الاعتماد,"67 مساكن تعاونيات سموحة - ش الروضة, سموحة, الاسكندرية.",218213
اوناش ورافعات,الاقصى 2,"الطريق الدائرى, مدينة السلام, القاهرة.",449892
اوناش ورافعات,الاقصى للاعمال الهندسية,"الناصرية, العامرية, الاسكندرية.",196171
اوناش ورافعات,الايمان,"79 ش الورديان, الورديان, الاسكندرية.",262455
اوناش ورافعات,الايمان لتاجير المعدات والخدمات البترولية,"المبنى الادارى - - الدور 2, بحرى, الاسكندرية.",229118
اوناش ورافعات,الايمان للتوريدات العمومية,"77 ش الشباب, اسكان الشباب, مدينة العبور, القليوبية.",599323
اوناش ورافعات,الايمان للمقاولات العمومية والميكانيكية,"4 ش الصفا, الشقة 40, برج الصفا, سموحة, الاسكندرية.",638006
اوناش ورافعات,البرج العالمية لنقل الاثاث,"35 عمارات العبور طريق صلاح سالم, الشقة 1, الدور 12, مصر الجديدة, القاهرة.",52985
اوناش ورافعات,البرهانى,"2 /2ب, عطفة عريان, الازبكية, القاهرة.",641491
اوناش ورافعات,التوحيد بالله,"6 ش باحثة البادية, شبرا, القاهرة.",241606
اوناش ورافعات,التوحيد للتوكيلات التجارية,"87 ش السبتية, السبتية, القاهرة.",172807
اوناش ورافعات,التوحيد للمعدات والشدات المعدنية,"24 عمارات تقسيم الاوقاف, ميدان السواح, سراى القبة, القاهرة.",261760
اوناش ورافعات,الجبل انترناشيونال,"طريق المنصورة السريع - بشلا, ميت غمر, الدقهلية.",159487
اوناش ورافعات,الجمهورية جلوبال للعجل الصناعى والروافع,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",679508
اوناش ورافعات,الحرم للصناعات الهندسية,"طريق الاحرار, الزقازيق, الشرقية.",139541
اوناش ورافعات,الحرمين للاوناش,"القطعة 9134 - ش 9, المقطم, القاهرة.",530181
اوناش ورافعات,الحمد لتجارة قطع غيار اوناش الشوكة والتوريدات,"ش السنترال, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",634294
اوناش ورافعات,الخليج للهيدروليك,"1 ش لطفى جاب الله متفرع من ش عبيد, الساحل, القاهرة.",436137
اوناش ورافعات,الخولى,"ش حمد ياسين, فيصل, الجيزة.",407548
اوناش ورافعات,الدولية,"6 ش منير الجندى, روض الفرج, القاهرة.",401277
اوناش ورافعات,الدولية المصرية للاستيراد والتصدير والتوكيلات التجارية,"الطريق الدائرى تقاطع طريق نبروه, طلخا, الدقهلية.",177820
