Category,Name,Address,ID
مراكز الشرطة,مركز الشرطة - ابو تيج,"ش المركز, ابو تيج, اسيوط.",356144
مراكز الشرطة,مركز شرطة ابشواى,"ش الجمهورية, ابشواى, الفيوم.",383338
مراكز الشرطة,مركز شرطة ابنوب,"ش الجمهورية, ابنوب, اسيوط.",383001
مراكز الشرطة,مركز شرطة ابو المطامير,"ش مصطفى كامل, ابو المطامير, البحيرة.",383086
مراكز الشرطة,مركز شرطة ابو تشت,"ش المحطة, ابو طشت, قنا.",385171
مراكز الشرطة,مركز شرطة ابو حماد,"ش بورسعيد, ابو حماد, الشرقية.",385212
مراكز الشرطة,مركز شرطة ابو حمص,"ش الكبير, ابو حمص, البحيرة.",383091
مراكز الشرطة,مركز شرطة ابو سمبل,"ش المركز, ابو سمبل, اسوان.",383065
مراكز الشرطة,مركز شرطة ابو قرقاص,"ش متولى عبد المقصود, ابو قرقاص, المنيا.",385073
مراكز الشرطة,مركز شرطة اجا,"ش البحر, اجا, الدقهلية.",383246
مراكز الشرطة,مركز شرطة اخميم,"ش ابو القاسم, اخميم, سوهاج.",385254
مراكز الشرطة,مركز شرطة ادفو,"ش المركز, ادفو, اسوان.",383037
مراكز الشرطة,مركز شرطة ادكو,"ش محطة السكة الحديد, ادكو, البحيرة.",383113
مراكز الشرطة,مركز شرطة ارمنت,"ش النيل, ارمنت, قنا.",385176
مراكز الشرطة,مركز شرطة اسنا,"ش الثورة, اسنا, قنا.",385178
مراكز الشرطة,مركز شرطة اشمون,"ش عبد المنعم رياض, اشمون, المنوفية.",385103
مراكز الشرطة,مركز شرطة اطسا,"ش ابو بكر الصديق, اطسا, الفيوم.",383344
مراكز الشرطة,مركز شرطة اطفيح,"طريق اطفيح الرئيسى, اطفيح, الجيزة.",383405
مراكز الشرطة,مركز شرطة الابراهيمية,"ش المركز, الابراهيمية, الشرقية.",385236
مراكز الشرطة,مركز شرطة الباجور,"ش كمال الشاذلى - ش الجيش سابقا, تقاطع ش الجمهورية, الباجور, المنوفية.",385106
مراكز الشرطة,مركز شرطة البدارى,"ش جمال عبد الناصر, البدارى, اسيوط.",383004
مراكز الشرطة,مركز شرطة البدرشين,"ش اثار سقارة, البدرشين, الجيزة.",383402
مراكز الشرطة,مركز شرطة البلينا,"ش المركز, البلينا, سوهاج.",385256
مراكز الشرطة,مركز شرطة البياضية,"., البياضية, الاقصر.",385053
مراكز الشرطة,مركز شرطة التل الكبير,"ش احمد عرابى, التل الكبير, الاسماعيلية.",383422
مراكز الشرطة,مركز شرطة الجمالية,"طريق صان الحجر, الجمالية, الدقهلية.",383286
مراكز الشرطة,مركز شرطة الحسينية,"ش المركز, الحسينية, الشرقية.",385217
مراكز الشرطة,مركز شرطة الخانكة,"., الخانكة, القليوبية.",385024
مراكز الشرطة,مركز شرطة الداخلة,"., الداخلة, الوادى الجديد.",383322
مراكز الشرطة,مركز شرطة الدلنجات,"ش الجمهورية, الدلنجات, البحيرة.",383101
مراكز الشرطة,مركز شرطة الرحمانية,"ش الشاطئ, الرحمانية, البحيرة.",383108
مراكز الشرطة,مركز شرطة الرياض,"ش المركز, الرياض, كفر الشيخ.",384993
مراكز الشرطة,مركز شرطة الزرقا,"ش المركز, الزرقا, دمياط.",383313
مراكز الشرطة,مركز شرطة السادات,"ش عمر بن الخطاب, مدينة السادات, المنوفية.",385123
مراكز الشرطة,مركز شرطة السنبلاوين,"ش المركز, السنبلاوين, الدقهلية.",383249
مراكز الشرطة,مركز شرطة السنطة,"ش المركز, السنطة, الغربية.",383364
مراكز الشرطة,مركز شرطة الشهداء,"ش مجلس المدينة, الشهداء, المنوفية.",385109
مراكز الشرطة,مركز شرطة الصف,"ش المركز, الصف, الجيزة.",383404
مراكز الشرطة,مركز شرطة العدوة,"ش مصطفى كامل, العدوة, المنيا.",385074
مراكز الشرطة,مركز شرطة الغنايم,"ش الفردوس, الغنايم, اسيوط.",383014
مراكز الشرطة,مركز شرطة الفتح,"ش المستشفى الميرى, الفتح, اسيوط.",383025
مراكز الشرطة,مركز شرطة الفرافرة,"., الفرافرة, الوادى الجديد.",383325
مراكز الشرطة,مركز شرطة القناطر الخيرية,"., القناطر الخيرية, القليوبية.",385027
مراكز الشرطة,مركز شرطة القنطرة غرب,"., قنطرة غرب, الاسماعيلية.",383425
مراكز الشرطة,مركز شرطة المحمودية,", حى الزهور, المحمودية, البحيرة.",383103
مراكز الشرطة,مركز شرطة المراغة,"ش الجلاء, المراغة, سوهاج.",385259
مراكز الشرطة,مركز شرطة المطرية,"ش الثورة, المطرية, الدقهلية.",383251
مراكز الشرطة,مركز شرطة المنشاة,"ش المركز, المنشاه, سوهاج.",385260
مراكز الشرطة,مركز شرطة الواسطى,"ش سعد زغلول, الوسطى, بنى سويف.",383117
مراكز الشرطة,مركز شرطة الوقف,"ش بورسعيد, الوقف, قنا.",385186
مراكز الشرطة,مركز شرطة اهناسيا,"ش المركز, اهناسيا المدينة, بنى سويف.",383118
مراكز الشرطة,مركز شرطة اوسيم,"., اوسيم, الجيزة.",383407
مراكز الشرطة,مركز شرطة اولاد صقر,"ش المركز, اولاد صقر, الشرقية.",385239
مراكز الشرطة,مركز شرطة ايتاى البارود,"ش الجمهورية, ايتاى البارود, البحيرة.",383094
مراكز الشرطة,مركز شرطة باريس,", درب الاربعين, باريس, الوادى الجديد.",383327
مراكز الشرطة,مركز شرطة ببا,"., ببا, بنى سويف.",383119
مراكز الشرطة,مركز شرطة بدر,"., مدينة بدر, البحيرة.",383116
مراكز الشرطة,مركز شرطة بركة السبع,"ش المركز, بركة السبع, المنوفية.",385110
مراكز الشرطة,مركز شرطة بسيون,"ش المعهد الدينى, بسيون, الغربية.",383367
مراكز الشرطة,مركز شرطة بلبيس,"ش بورسعيد, بلبيس, الشرقية.",385219
مراكز الشرطة,مركز شرطة بلطيم,"ش المركز, بلطيم, كفر الشيخ.",384982
مراكز الشرطة,مركز شرطة بلقاس,"., بلقاس, الدقهلية.",383279
مراكز الشرطة,مركز شرطة بنى عبيد,"ش المركز, دكرنس, الدقهلية.",383291
مراكز الشرطة,مركز شرطة بنى مزار,"طريق الابراهيمية الزراعى, بنى مزار, المنيا.",385079
مراكز الشرطة,مركز شرطة بيلا,"ش المركز, بيلا, كفر الشيخ.",384983
مراكز الشرطة,مركز شرطة تلا,"ش المركز, تلا, المنوفية.",385118
مراكز الشرطة,مركز شرطة تمى الامديد,"., طماى الامديد, الدقهلية.",383288
مراكز الشرطة,مركز شرطة جهينة,"ش الجمهورية, جهينة, سوهاج.",385274
مراكز الشرطة,مركز شرطة حوش عيسى,"ش الجمهورية, حوش عيسى, البحيرة.",383097
مراكز الشرطة,مركز شرطة دار السلام,"ش المركز, دار السلام, سوهاج.",385273
مراكز الشرطة,مركز شرطة دراو,"ش الشيخ عامر, دروه, اسوان.",383059
مراكز الشرطة,مركز شرطة دشنا,"ش المركز, دشنا, قنا.",385180
مراكز الشرطة,مركز شرطة دكرنس,"ش العروبة, دكرنس, الدقهلية.",383280
مراكز الشرطة,مركز شرطة دير مواس,"ش الجيش, دير مواس, المنيا.",385083
مراكز الشرطة,مركز شرطة ديرب نجم,"ش 23 يوليو, ديرب نجم, الشرقية.",385222
مراكز الشرطة,مركز شرطة ديروط,"., ديروط, اسيوط.",383017
مراكز الشرطة,مركز شرطة رشيد,"ش البحر, ميدان الحرية, رشيد(روسيتا), البحيرة.",383099
مراكز الشرطة,مركز شرطة زفتى,"ش سعد زغلول, زفتى, الغربية.",383370
مراكز الشرطة,مركز شرطة ساحل سليم,"الطريق الزراعى السريع, ساحل سليم, اسيوط.",383007
مراكز الشرطة,مركز شرطة ساقلتة,"ش 23 يوليو, ساقلتة, سوهاج.",385275
مراكز الشرطة,مركز شرطة سمالوط,"ش المركز, سمالوط, المنيا.",385085
مراكز الشرطة,مركز شرطة سمسطا,"ش المركز, سمسطا, بنى سويف.",383120
مراكز الشرطة,مركز شرطة سمنود,"., سمنود, الغربية.",383372
مراكز الشرطة,مركز شرطة سنورس,"ش المركز, سنورس, الفيوم.",383348
مراكز الشرطة,مركز شرطة سيدى سالم,"ش 23 يوليو, سيدى سالم, كفر الشيخ.",384984
مراكز الشرطة,مركز شرطة شبراخيت,", ارض المجزر القديم, شبراخيت, البحيرة.",383104
مراكز الشرطة,مركز شرطة شبين القناطر,"., شبين القناطر, القليوبية.",385029
مراكز الشرطة,مركز شرطة شربين,"ش الجيش, شربين, الدقهلية.",383281
مراكز الشرطة,مركز شرطة صدفا,"مساكن الوحدة المحلية ش الجيش, صدفا, اسيوط.",383021
مراكز الشرطة,مركز شرطة طامية,"ش المركز, طامية, الفيوم.",383351
مراكز الشرطة,مركز شرطة طلخا,"ش صلاح سالم, طلخا, الدقهلية.",383282
مراكز الشرطة,مركز شرطة طما,"ش احمد عرابى, طما, سوهاج.",385276
