Category,Name,Address,ID
اجهزة منزلية,اير سيستم لأنظمة تكييف الهواء وصيانة التكييفات,"برج مينا ش الرصافة, محرم بك, الاسكندرية.",620007
اجهزة منزلية,ادمز للتجارة,"فيلا 113, مجاورة 9, العاشر من رمضان, الشرقية.",687878
اجهزة منزلية,كريستل جروب,"256 ش بور سعيد, كليوباترا, الاسكندرية.",694407
اجهزة منزلية,كولينج لانظمة التكييف,"عمارة مسعود طريق المعاهدة, الدور 1, طلخا, المنصورة, الدقهلية.",312561
اجهزة منزلية,اساد للتوريدات الكهربائية,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",665068
اجهزة منزلية,رويال بالاس انترناشيونال لصناعة الاجهزة الكهربائية - آر بى أى,"بلوك 9 ه, المنطقة الصناعية الاولى, جمصة, الدقهلية.",568567
اجهزة منزلية,مركز خدمة الجاسر لإصلاح وصيانة الأجهزة الكهربائية,"46 ش النبى دانيال, محطة الرمل, الاسكندرية.",301161
اجهزة منزلية,المصرية لاعمال التكييف والتجارة - توتال اير,"136 أ ش جسر السويس ميدان الالف مسكن, جسر السويس, القاهرة.",202336
اجهزة منزلية,ابا الدهب للاجهزة الكهربائية,"152 ش الشهيد احمد حمدى, ميدان الساعة, فيصل, الجيزة.",218871
اجهزة منزلية,ابانوب للاجهزة المنزلية,"16 ش عزيز المصرى, الزاوية الحمراء, القاهرة.",570255
اجهزة منزلية,ابراهيم احمد حسين واولاده,"74 ش الخديوى , اللبان, الاسكندرية.",214278
اجهزة منزلية,ابراهيم عبد المنعم,"ش كعموش, ابو قير, الاسكندرية.",264356
اجهزة منزلية,ابراهيم يوسف,"3 ش القنال الداخلى تقاطع ش نهضة مصر, العرب, بور سعيد.",401328
اجهزة منزلية,ابليانس,"13 ش المدينة الرياضية, الملاحة, السويس.",245155
اجهزة منزلية,ابن النيل,"ش التعاون, طره, القاهرة.",405455
اجهزة منزلية,ابن نوفل,"29 ش الجواهر, الحضرة, الاسكندرية.",26787
اجهزة منزلية,ابناء احمد عبد الوهاب,"ش العاشر من رمضان, الحامول, كفر الشيخ.",364741
اجهزة منزلية,ابناء الحسين,"10 درب البشايشة - متفرع من ش الازهر, العتبة, القاهرة.",224356
اجهزة منزلية,ابناء الشبراوى ومشمش,"ش بورسعيد, المنزلة, الدقهلية.",359218
اجهزة منزلية,ابناء الهاشمى,"342 ش بورسعيد, باب الخلق, القاهرة.",192022
اجهزة منزلية,ابناء الوادى للاجهزة المنزلية,"5 ش محمد رياض, متفرع من ش عبد العزيز, عابدين, القاهرة.",167841
اجهزة منزلية,ابناء جلال,"ش صلاح عامر, طوخ, القليوبية.",316179
اجهزة منزلية,ابناء جمعة للاجهزة الكهربائية,"57 ش الشرباصى ميدان سرور, دمياط, دمياط.",507754
اجهزة منزلية,ابناء سوهاج,"ش الانوار, المنيب, الجيزة.",413232
اجهزة منزلية,ابناء صبرى,"ش العباسى, المنصورة, الدقهلية.",108911
اجهزة منزلية,ابناء طه,"15 ش على الليثى, العطارين, الاسكندرية.",263015
اجهزة منزلية,ابناء عبد الهادى للاجهزة الكهربائية,"1 ش الجسر البرانى ميدان المطبعة, دار السلام, القاهرة.",507503
اجهزة منزلية,ابناء فوزى جابر للاجهزة الكهربائية,"7 ش سعد زغلول, ميت غمر, الدقهلية.",168076
اجهزة منزلية,ابناء قنا للاجهزة الكهربائية,"27 ش الستين, حلوان, القاهرة.",642808
اجهزة منزلية,ابناء كمال عزيز,"ش عباس الاعصر, الزقازيق, الشرقية.",286747
اجهزة منزلية,ابناء محمد على,"ش محمد رياض, عابدين, القاهرة.",372636
