Category,Name,Address,ID
كريب ووافل,مطعم نور الصباح,"151 ش الفيوم, دار السلام, القاهرة.",217432
كريب ووافل,1 كفتة,"ش نعمان الاعصر, المحلة الكبرى, الغربية.",584158
كريب ووافل,4 ام كريب,"ش التسعين, القاهرة الجديدة, القاهرة.",583954
كريب ووافل,ابو شادى,"ش البحث الجنائى - الاردنية, العاشر من رمضان, الشرقية.",387887
كريب ووافل,اتش كربينو,"317, حدائق الاهرام, الهرم, الجيزة.",626275
كريب ووافل,ادم كريب,"13 ش عبد المحسن الوسيمى, جسر السويس, القاهرة.",622975
كريب ووافل,اطعم والذ كريب,"ش النميس, اسيوط, اسيوط.",620898
كريب ووافل,افندم,"167 ش صيدناوى المجاورة السادسة - تقسيم المهندسين, العاشر من رمضان, الشرقية.",618555
كريب ووافل,اكس او,"12 ش ناهيا, بولاق الدكرور, الجيزة.",602942
كريب ووافل,اكس وافل,"ش خالد بن الوليد، متفرع من ش المشاية السفلية, المنصورة, الدقهلية.",630046
كريب ووافل,اكسترا,"الهضبة الوسطى - الحى الخامس, المقطم, القاهرة.",520880
كريب ووافل,ال جيلاتو بار,"كم 17 - طريق الغردقة سفاجا, طريق القرى, سفاجا.",449160
كريب ووافل,الاسطورة للكريب,"33 ش 151, المعادى, القاهرة.",506239
كريب ووافل,الاكيل,"برج صالح العربى ش الصفا والمروة, الطوابق, فيصل, الجيزة.",218789
كريب ووافل,البروفيسير,"5 ش 77, المعادى, القاهرة.",450994
كريب ووافل,الديوانية كافيه,"ش السلام, الزقازيق, الشرقية.",633020
كريب ووافل,الطبلية,"41 ش عمر بن الخطاب متفرع من ش جدة, المهندسين, الجيزة.",581999
كريب ووافل,الكابتن,"28 ش العريش, الهرم, الجيزة.",487181
كريب ووافل,اللول كريباوى,"27 ش منتصر, متفرع من ش الجلاء, المنصورة, الدقهلية.",636509
كريب ووافل,المطعم السورى,"34 ش اسيوط, عرب جسر السويس, جسر السويس, القاهرة.",658181
كريب ووافل,المنسى,"20 امتداد ش ابو داوود الظاهرى, الحى الثامن, مدينة نصر, القاهرة.",583587
كريب ووافل,انتى لولو,"45 ش 9, ثكنات المعادى, المعادى, القاهرة.",295617
كريب ووافل,اوربانو,"56 ش محمد النادى, مدينة نصر, القاهرة.",462364
كريب ووافل,اون جريل,"9 ش نور الدين بهجت, الحى الثامن, مدينة نصر, القاهرة.",625064
كريب ووافل,اونلى سندويتش اند كريب,"8 ش الدقى, الدقى, الجيزة.",450347
كريب ووافل,اى هوبا,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",572092
كريب ووافل,ايزى كريب,"20 ش جلال, المريوطية, فيصل, الجيزة.",509029
كريب ووافل,ايس اند فاير,"4 عمارات صقر قريش ش 306, المعادى الجديدة, المعادى, القاهرة.",632974
كريب ووافل,ايس رولز,"ش نادى الصيد, الدقى, الجيزة.",613869
كريب ووافل,ايس كريم دندورما,"ش السلطان حسين, وسط البلد, الاسماعيلية.",582379
كريب ووافل,ايسى رولز,"18 ش الخلفاء, ارض سلطان, المنيا.",575845
كريب ووافل,بابا بيكو,"36 ش حرس الحدود - الجبل الاصفر, الخانكة, القليوبية.",519686
كريب ووافل,باباى وافلز اند كافيه,"ش شكرى القواتلى, المحلة الكبرى, الغربية.",584199
كريب ووافل,بابيون بيلجيان تشوكليت,"ش ترعة الشابورى, شبرا الخيمة, القليوبية.",637162
كريب ووافل,باربيكيو,", امتداد ش شكرى القواتلى, المحلة الكبرى, الغربية.",582213
كريب ووافل,باستابيسى,"ميدان العباسية, عباسية, القاهرة.",618664
كريب ووافل,بانينو,"58 ش ترعة الزمر, نصر الدين, الهرم, الجيزة.",621753
كريب ووافل,بوليت كافيه,"9 ش محمود يونس, سموحة, الاسكندرية.",584463
كريب ووافل,بونتيه وافل,"36 ش عمر بن الخطاب, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",426785
