Category,Name,Address,ID
مديريات التموين والتجارة الداخلية,ادارة التموين - ابو تيج,"طريق اسيوط سوهاج بحرى, ابو تيج, اسيوط.",355543
مديريات التموين والتجارة الداخلية,ادارة التموين الطبى - المنصورة,"ش جيهان, المنصورة, الدقهلية.",336802
مديريات التموين والتجارة الداخلية,ادارة تموين ابنوب,"ش بورسعيد, ابنوب, اسيوط.",400764
مديريات التموين والتجارة الداخلية,ادارة تموين الوسطى,"المساكن الشعبية - ش سعد زغلول, الوسطى, بنى سويف.",258879
مديريات التموين والتجارة الداخلية,ادارة تموين كوم امبو,"امتداد ش بورسعيد - حى شرق, كوم امبو, اسوان.",400019
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - اسوان,"طريق الخزان - العقاد, وسط البلد, اسوان.",246716
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - اسيوط,"ش محمود فهمى النقراشى - الدور 7, اسيوط, اسيوط.",246699
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - الاسماعيلية,"ش ابو الهول, الشيخ زايد, الاسماعيلية.",246964
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - البحر الاحمر,"ش المصالح, الدهار, الغردقة.",246722
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - الجيزة,"108 ش السودان, المهندسين, الجيزة.",231782
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - الدقهلية,"ش الجيش, المنصورة, الدقهلية.",246691
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - الشرقية,"الصيادين, الزقازيق, الشرقية.",246828
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - الفيوم,"كيمان فارس, وسط البلد, الفيوم.",246974
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - القليوبية,"عمارة زعزع - ش صلاح سالم, بنها, القليوبية.",231789
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - المنوفية,"ش احمد عرابى - الدور 6, شبين الكوم, المنوفية.",246742
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - المنيا,"ش عثمان - الدور 6, وسط البلد, المنيا.",246990
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - الوادى الجديد,"ش العدل, الخارجة, الوادى الجديد.",246930
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - بنى سويف,"ش عبد السلام عارف, بنى سويف, بنى سويف.",246970
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - بورسعيد,"ش 23 يوليو - الدور 7, حى الشرق, بور سعيد.",246655
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - جنوب سيناء,". - الدور 2, الطور, جنوب سيناء.",246934
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - حلوان,"1 المجاورة السادسة شقة 6, مدينة 15 مايو, القاهرة.",231778
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - دمياط,"ش شطا العام - شطا, دمياط, دمياط.",246826
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - سوهاج,"مدينة ناصر, سوهاج, سوهاج.",246707
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - شمال سيناء,"ش 23 يوليو, العريش, شمال سيناء.",246727
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - قنا,"عمارة مصر للتأمين - ش المرور القديم - الدور 3, وسط البلد, قنا.",246919
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - كفر الشيخ,"عمارة الشرق للتأمين - ش صلاح سالم, وسط البلد, كفر الشيخ.",246738
مديريات التموين والتجارة الداخلية,مديرية التموين والتجارة الداخلية - مرسى مطروح,"ش عمر بن الخطاب متفرع من ش جول جمال, وسط البلد, مرسى مطروح.",246725
