Category,Name,Address,ID
مصنعون عبوات معدنية,الفؤاد للتجارة والصناعة,"القطعة 4/92, المنطقة الصناعية الثالثة A3, العاشر من رمضان, الشرقية.",545801
مصنعون عبوات معدنية,الشركة المصرية الايطالية - ايروباك,", المنطقة الصناعية الثالثة A3 - ارض الشريف, العاشر من رمضان, الشرقية.",133952
مصنعون عبوات معدنية,الجوهرى لصناعة العبوات المعدنية,"كم 28 طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",137277
مصنعون عبوات معدنية,مجموعة السلام للطباعة وتشكيل المعادن,"ش تيل الفرامل, المنطقة الصناعية الثالثة A2, العاشر من رمضان, الشرقية.",151841
مصنعون عبوات معدنية,الشركة الشرقية للعبوات,"القطعة 1, المنطقة الصناعية الثالثة أ 6, العاشر من رمضان, الشرقية.",530906
مصنعون عبوات معدنية,اخوان غندور للصناعات المعدنية,"القطعة 90 - 91المنطقة الصناعية - الحوض السمكى, جنوب بورسعيد, بور سعيد.",563143
مصنعون عبوات معدنية,اسات للتجارة والصناعة,"28 ش حسين واصف, الدقى, الجيزة.",132484
مصنعون عبوات معدنية,ال شاهين للتجارة والصناعة,"القطعة 72, المنطقة الصناعية الثالثة أ6, العاشر من رمضان, الشرقية.",568793
مصنعون عبوات معدنية,الشركة المصرية الافريقية للعبوات الحديثة - افروباك,"القطعة 112, المنطقة الصناعية الاولى, مدينة بدر, القاهرة.",489592
مصنعون عبوات معدنية,العلمين لصناعة العبوات,"2 ش مصنع النسيج, الشرابية, القاهرة.",471464
مصنعون عبوات معدنية,المصرية للاغطية المعدنية - ايجى كاب,"المنطقة الصناعية, البساتين, القاهرة.",527113
مصنعون عبوات معدنية,النجار للتجارة والتصنيع,"القطعة الخامسة - بلوك 5 - - المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",145796
مصنعون عبوات معدنية,النصر لصناعة وطباعة العبوات الصفيح,"25 ش النور, اللبان, الاسكندرية.",48359
مصنعون عبوات معدنية,الهندسية للتنمية الصناعية - ميتباك,"القطعة 3 - بلوك 27001 - - المنطقة الصناعية ب ، ج, مدينة العبور, القليوبية.",470074
مصنعون عبوات معدنية,اميركو مصر,"3 ش البرج, الفجالة, القاهرة.",14909
مصنعون عبوات معدنية,ان كيه لتشكيل المعادن والاستيراد,"القطعه 80, كفر موسى عمران ـ العزبه الجديدة, ههيا, الشرقية.",629180
مصنعون عبوات معدنية,تكنوكانز,"القطعة B3 - - التوسعات الشمالية, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",527209
مصنعون عبوات معدنية,تكنوكانز للعبوات المعدنية,"القطعة 130 - - امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",490064
مصنعون عبوات معدنية,ريكسام لتصنيع العلب,"القطعة الثانية - ِش 20 المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",182996
مصنعون عبوات معدنية,شرنوباك للعبوات المعدنية,"بلوك 13005 - - المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",157490
مصنعون عبوات معدنية,على ورمضان ابراهيم شرش,"14 ش مصنع الحرير, عباسية, القاهرة.",14671
مصنعون عبوات معدنية,كامل زكى وشركاة,"5 ش مسجد تربانة متفرع من ش فرنسا, المنشية, الاسكندرية.",28644
مصنعون عبوات معدنية,كان باك لينكو,"المنطقة الصناعية, البساتين, القاهرة.",527120
مصنعون عبوات معدنية,لينكو - مجمع الصناعات الخفيفة,"المنطقة الصناعية, البساتين, القاهرة.",129861
مصنعون عبوات معدنية,مصنع الاغلفة المعدنية,"4 ش سلطان, متفرع من ش الشركات, الشرابية, القاهرة.",63840
مصنعون عبوات معدنية,مصنع الفتح العزيز,"القطعة 7 ، 18 - - جنوب المنطقة الصناعية الثالثة, برج العرب الجديدة, الاسكندرية.",186761
مصنعون عبوات معدنية,مصنع خلفاء درويش والسيد مصطفى,"4 ش سلامة موسى, اللبان, الاسكندرية.",157544
