Category,Name,Address,ID
مطاعم مكسيكية,اكابولكو جوز,"ش الفنار, هضبة ام السيد, شرم الشيخ.",105998
مطاعم مكسيكية,ال باسو,"كم 30 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",392982
مطاعم مكسيكية,الباسو,"كم 20 ، طريق الغردقة سفاجا, طريق القرى, الغردقة.",230939
مطاعم مكسيكية,الرانشو تكس مكس,"ش 204, دجلة, المعادى, القاهرة.",604617
مطاعم مكسيكية,المطعم المكسيكى,"طريق الغردقة سفاجا, سهل حشيش, الغردقة.",475108
مطاعم مكسيكية,ايلاند جريل اند بار,"ش السلام, خليج نعمة, شرم الشيخ.",205038
مطاعم مكسيكية,بوتلى مكسيكان جريل,"3 ش صلاح سالم, المنطقة الحرة, مدينة نصر, القاهرة.",451793
مطاعم مكسيكية,بوريتو,"48 ش فؤاد, محطة الرمل, الاسكندرية.",582867
مطاعم مكسيكية,تاكوس,"106 ش حسن المأمون, المنطقة السادسة, مدينة نصر, القاهرة.",485140
مطاعم مكسيكية,تاكومانيا,", كمباوند بالم هيلز, المستثمرين الجنوبية, القاهرة الجديدة, القاهرة.",630785
مطاعم مكسيكية,تاكوهت,"ميدان جهينة, السادس من اكتوبر, الجيزة.",328421
مطاعم مكسيكية,تيهانوس مكسيكان جريل,"19 ش الاقبال, لوران, الاسكندرية.",563430
مطاعم مكسيكية,جرينجوز,"62 ش 9, المعادى, القاهرة.",454745
مطاعم مكسيكية,دوسكاناف ريستوران,"9 ش رستم, جاردن سيتى, القاهرة.",480186
مطاعم مكسيكية,دياجوز,"القطعة 82 - ش اخناتون - الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",560102
مطاعم مكسيكية,دييجوز ايجيبت,"القطعة 82 - ش اخناتون - الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",580521
مطاعم مكسيكية,ذا براون باج,"ش البنوك قطاع 1 - مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",583122
مطاعم مكسيكية,سافيتشى ريستوران تابس بار,"ش ايناس الدغيدى, مبنى 30H, وسط البلد, الجونة.",567202
مطاعم مكسيكية,شيبويا,"11 ش احمد سامى سعيد متفرع من ش الثورة, الدقى, الجيزة.",140009
مطاعم مكسيكية,صلصا ميكسيكان,"طريق سهل حشيش, طريق القرى, الغردقة.",229047
مطاعم مكسيكية,صلصة مكسيكان رستوران,"كم 15 - طريق سفاجا الغردقة, طريق القرى, الغردقة.",559925
مطاعم مكسيكية,فورو تاكوس,"42 ش الدقى, الدقى, الجيزة.",637480
مطاعم مكسيكية,كارلوس تاكوس,"171 ش الشهداء، المجاورة الاولى, الحى الاول, السادس من اكتوبر, الجيزة.",628927
مطاعم مكسيكية,كانكون,"كم 6 -, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",382327
مطاعم مكسيكية,لا فيستا تيكس ميكس,"كم 102 - طريق الزعفرانة, العين السخنة, العين السخنة.",467105
مطاعم مكسيكية,لا كازا دى بوريتوس,"27 ش عبد العزيز عجمية, كفر عبده, الاسكندرية.",643944
مطاعم مكسيكية,مارياز,"1 ش الشهيد سيد زكريا، متفرع من طريق العروبة, مساكن شيراتون, مصر الجديدة, القاهرة.",270610
مطاعم مكسيكية,مستر بفز,"ش انقرة, مساكن شيراتون, مصر الجديدة, القاهرة.",582511
مطاعم مكسيكية,مطاعم كولومبوس,"18 ش البنوك, هضبة ام السيد, شرم الشيخ.",106002
مطاعم مكسيكية,مطعم الرانشيرو,"كم 16 - طريق الغردقة سفاجا, طريق القرى, الغردقة.",512460
مطاعم مكسيكية,مطعم الغزال,"ش العشرين, السوق القديم, شرم الشيخ.",66656
مطاعم مكسيكية,مطعم باستو للمأكولات المكسيكية,"34 ش الشيخ على يوسف, المنيرة, القاهرة.",424307
مطاعم مكسيكية,مطعم بنيتو يارد,"120 ش الميرغنى, مصر الجديدة, القاهرة.",448137
مطاعم مكسيكية,مطعم تكس مكس,"طريق السلام, خليج نعمة, شرم الشيخ.",105488
مطاعم مكسيكية,مطعم جى اتش كورنر,"44 ش الشيخ طه الدينارى, مدينة نصر, القاهرة.",601995
مطاعم مكسيكية,مطعم سومبريرو,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",600555
مطاعم مكسيكية,مطعم سومبريرو,"ش الفنار, هضبة ام السيد, شرم الشيخ.",253454
