Category,Name,Address,ID
ستيك,الوها لوبى بار,"كم 49 - طريق سفاجا الغردقة, سومة باى, سفاجا.",248031
ستيك,بار باباس,"ميدان العروسة - المارينا الجديدة, سقالة, الغردقة.",448920
ستيك,باكتس,"1 ب ش د. ابراهيم عبد السيد امتداد ش البطالسة - الحى اللاتينى, باب شرق, الاسكندرية.",514617
ستيك,بندروزا ستيك هاوس,"كم 7 طريق القاهرة السويس الصحراوى, التجمع الاول, القاهرة الجديدة, القاهرة.",672507
ستيك,بيترس ستيك هاوس,"طريق السلام, شاركس باى, شرم الشيخ.",131431
ستيك,تى-بونز,"كم 30 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",392983
ستيك,جاى دبليوز ستيك هاوس,"الطريق الدائرى تقاطع طريق القاهرة السويس - ميراج سيتى, التجمع الاول, القاهرة الجديدة, القاهرة.",64439
ستيك,ذا ريبابليك,"25 ش عبد المنعم رياض متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",559652
ستيك,ستيك ان,"6 ابراج سيتى ستارز - المحور المركزى, الحى 11, السادس من اكتوبر, الجيزة.",583814
ستيك,ستيك كلوب كافيه اند ريستوران,"28 ش عبد الحميد لطفى تقاطع ش الكروم, المهندسين, الجيزة.",439822
ستيك,ستيك هاوس,"المشاية, خليج نعمة, شرم الشيخ.",105731
ستيك,ستيك هاوس,"كم 1 - طريق القاهرة اسكندرية الصحراوى ميدان الرماية, الهرم, الجيزة.",488791
ستيك,ستيك هاوس,"طريق الجيش - حدائق قصر المنتزة, المنتزة, المنتزه, الاسكندرية.",508671
ستيك,شاروودز,"القطعة 31 -, الشيخ زايد, السادس من اكتوبر, الجيزة.",355392
ستيك,كافيه رويال,"الميركاتو, هضبة ام السيد, شرم الشيخ.",199082
ستيك,لا تويل ستيك هاوس,"كم 10 -, مرتفعات طابا, طريق نويبع طابا, طابا.",122003
ستيك,لو ريف جراند كافيه,"منطقة المطاعم, مدينة الرحاب, القاهرة.",165107
ستيك,لوس جاتشوس - ارجنتينا جريل,"منطقة المطاعم - محل 6, مدينة الرحاب, القاهرة.",248540
ستيك,لوكا ستيك هاوس,"القطعة 33, المجاورة السادسة, الحى الرابع, الشيخ زايد, السادس من اكتوبر, الجيزة.",581288
ستيك,مطعم ستيك هاوس,"., ابو تيج مارينا, الجونة.",108729
ستيك,مطعم ستيك هاوس,"كم 35 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",560536
ستيك,مطعم لا جريل,"كم 32 - طريق الغردقة سفاجا, مكادى باى, الغردقة.",106933
ستيك,مطعم لانتركوت,"كم 49 - طريق سفاجا الغردقة, سومة باى, سفاجا.",423036
ستيك,مطعم لانتركوت ستيك هاوس,"سوهو سكوير, خليج الفارس الابيض, شرم الشيخ.",196655
ستيك,مطعم لودج,"ميدان العروسة - المارينا الجديدة, سقالة, الغردقة.",448921
ستيك,مطعم ماكسيم,"الممشى السياحى, طريق القرى, الغردقة.",210409
ستيك,مطعم مرجانة,"سوهو سكوير, خليج الفارس الابيض, شرم الشيخ.",43577
ستيك,مطعم موزو,"الممشى السياحى, خليج نعمة, شرم الشيخ.",553217
ستيك,مطعم وان اوك,"بلوك 12, محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",448167
ستيك,مطعم وجيهز,"91 ش البيطاش, البيطاش, الاسكندرية.",449573
ستيك,مطعم وكافيه ماهونى,"., خليج نعمة, شرم الشيخ.",257264
ستيك,وردز كافيه,"ش 26 يوليو ميدان سفنكس, المهندسين, الجيزة.",374008
