Category,Name,Address,ID
خطوط جوية,الاسكندرية للطيران,"2 مربع 1139 ش متولى الشعراوى, مساكن شيراتون, مصر الجديدة, القاهرة.",435529
خطوط جوية,الاهلية للطيران,"110 ش النيل, الدقى, الجيزة.",18147
خطوط جوية,الخطوط التونسية,"14 ش طلعت حرب, وسط البلد, القاهرة.",13226
خطوط جوية,الخطوط الجوية الاثيوبية,"69 ش عبد الحميد بدوى, ميدان الحجاز, مصر الجديدة, القاهرة.",425575
خطوط جوية,الخطوط الجوية الافريقية,"6 ش جامعة الدول العربية, المهندسين, الجيزة.",130970
خطوط جوية,الخطوط الجوية الامريكية,"2 ش طلعت حرب, وسط البلد, القاهرة.",475505
خطوط جوية,الخطوط الجوية البريطانية,"ش عمر بن الخطاب متفرع من طريق النصر, مصر الجديدة, القاهرة.",42220
خطوط جوية,الخطوط الجوية البولندية - لوت,"26 ش محمود بسيونى, الدور 2, ميدان طلعت حرب, وسط البلد, القاهرة.",341979
خطوط جوية,الخطوط الجوية التركية,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",257350
خطوط جوية,الخطوط الجوية الجزائرية,"13 ش قصر النيل, وسط البلد, القاهرة.",13096
خطوط جوية,الخطوط الجوية السودانية,"1 ش عبد السلام عارف - ش البستان سابقا, ميدان التحرير, وسط البلد, القاهرة.",33105
خطوط جوية,الخطوط الجوية السويسرية,"1191 كورنيش النيل, الدور 7, بولاق, القاهرة.",475222
خطوط جوية,الخطوط الجوية العربية السعودية,"10 ش طلعت حرب, الدور 12, عمارة ايفر جرين, وسط البلد, القاهرة.",44493
خطوط جوية,الخطوط الجوية الفرنسية,"المبانى الادارية الجنوبية - مبنى b1 - الدور 1, كايرو فيستيفال, القاهرة الجديدة, القاهرة.",446401
خطوط جوية,الخطوط الجوية القطرية,"21 ب ش جامعة الدول العربية, ميدان مصطفى محمود, المهندسين, الجيزة.",13083
خطوط جوية,الخطوط الجوية الكورية,"2 ش طلعت حرب, وسط البلد, القاهرة.",59446
خطوط جوية,الخطوط الجوية الكويتية,"10 ش طلعت حرب, الدور 13, برج ايفرجرين, وسط البلد, القاهرة.",114103
خطوط جوية,الخطوط الجوية الليبية,"37 ش قصر النيل, وسط البلد, القاهرة.",77805
خطوط جوية,الخطوط الجوية الملكية الاردنية,"6 ش قصر النيل, وسط البلد, القاهرة.",72024
خطوط جوية,الخطوط الجوية اليمنية,"7 سور نادى الزمالك ش 26 يوليو, المهندسين, الجيزة.",75070
خطوط جوية,الخطوط الملكية المغربية,"9 ش طلعت حرب, تقاطع ش البستان, وسط البلد, القاهرة.",59443
خطوط جوية,الشركة الدولية رمسيس للطيران والرش,"112 ش 26 يوليو, الزمالك, القاهرة.",57504
خطوط جوية,الطيران العمانى,"1191 كورنيش النيل, بولاق, القاهرة.",17856
خطوط جوية,العربية للطيران,"1229 ش الشيخ على جاد الحق, مساكن شيراتون, مصر الجديدة, القاهرة.",132931
خطوط جوية,الكان اير,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",18379
خطوط جوية,المصرية العالمية للطيران,"13, ميدان التحرير, وسط البلد, القاهرة.",256987
خطوط جوية,اليطاليا,"6 ش محمود عزمى, متفرع من ش صلاح سالم, العطارين, الاسكندرية.",187554
خطوط جوية,اوسكار جت,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",618617
خطوط جوية,ايجيبت اير بلاس,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",136271
خطوط جوية,اير كايرو,"6 ش الصفا, متفرع من ش الشهيد سيد زكريا, مساكن شيراتون, مصر الجديدة, القاهرة.",59759
خطوط جوية,ايروفلوت,"27 ش احمد حشمت, الزمالك, القاهرة.",7690
خطوط جوية,ايه ام سى للطيران,"5 ش النصر, النزهة الجديدة, القاهرة.",60988
خطوط جوية,ايه ان افييشن,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",627320
خطوط جوية,تاركو للطيران,"12 ش محمود بسيونى, وسط البلد, القاهرة.",624536
خطوط جوية,تايجر لخدمات الطيران - تى ايه اس,"القطعة السابعة - مربع 1164, الدور 1, مساكن شيراتون, مصر الجديدة, القاهرة.",2841
خطوط جوية,خدمات البترول الجوية,"5 ش د. البطراوى, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",9257
خطوط جوية,دلتا للطيران,"15 ش اسماعيل محمد, الدور 2, متفرع من ش البرازيل, برج جدة, الزمالك, القاهرة.",60041
خطوط جوية,سبوت اير,"166 ش الحجاز, الدور 1, النزهة, مصر الجديدة, القاهرة.",125611
خطوط جوية,سما جروب,"15 ش همدان, متفرع من ش مراد, الجيزة, الجيزة.",263494
خطوط جوية,سمارت للطيران,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",139438
خطوط جوية,سيناء للطيران,"13 ابراج اغاخان كورنيش النيل, المظلات, اغاخان, القاهرة.",195534
خطوط جوية,طيران الامارات,"18 ش وزارة الزراعة, المهندسين, الجيزة.",21950
خطوط جوية,طيران الجزيرة,"26 ش محمود بسيونى, متفرع من ميدان طلعت حرب, وسط البلد, القاهرة.",164677
خطوط جوية,طيران الخليج,"21 ش محمود بسيونى, ميدان طلعت حرب, وسط البلد, القاهرة.",88923
خطوط جوية,طيران الشرق الاوسط - الخطوط الجوية اللبنانية,"12 ش قصر النيل, الدور 1, ميدان طلعت حرب, وسط البلد, القاهرة.",12861
خطوط جوية,طيران الوطنية,"ش البطل احمد عبد العزيز, المهندسين, الجيزة.",138903
خطوط جوية,طيران بيجاسوس,"ش شيرى, سقالة, الغردقة.",684275
خطوط جوية,طيران ناس,"20 ش جزيرة العرب, المهندسين, الجيزة.",165922
خطوط جوية,فلاى ايجيبت,"1 بلوك 1226 ش جاد الحق, مساكن شيراتون, مصر الجديدة, القاهرة.",678006
خطوط جوية,فلاى دبى,"3 ش ابن كثير, متفرع من كورنيش النيل, برج سويس, الجيزة, الجيزة.",431763
