Category,Name,Address,ID
ادوية,فارما زاد للمكملات الغذائية,"12 ش محمود خيرى, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",688549
ادوية,نوتركسيا لتصنيع المكملات الغذائية,"3 ب ش الحجاز, المريلاند, مصر الجديدة, القاهرة.",689730
ادوية,سينابس فارم,"12 ش الفريق محمود شكرى, كوبرى القبة, القاهرة.",693847
ادوية,مصنع النيل لمستحضرات التجميل,"82 ش الامام محمد عبده, الدور 4, توريل الجديدة, المنصورة, الدقهلية.",486296
ادوية,الفا كيميكال جروب,"112 برج المروة ش امتداد ولى العهد, حدائق القبة, القاهرة.",462651
ادوية,سيماك فور كوزمتكس,"64 ش التحرير, الشقة 22, الدور 5, الدقى, الجيزة.",489604
ادوية,ابجرید للتسویق وإدارة المشروعات,"7 عمارة فودافون ش البرت الاول, الشقة 303, الدور 3, سيدى جابر, الاسكندرية.",680748
ادوية,ابك - شركة الصناعات الدوائية المتطورة,"99 ش مصطفى النحاس - الدور 3, الحى الثامن, مدينة نصر, القاهرة.",278374
ادوية,ابن النفيس فارما للادوية والاعشاب الطبية,"12 ش محمد خلف متفرع من ش التحرير, الدقى, الجيزة.",534928
ادوية,ابن سينا,"4 ش قبلى المسابك, شبرا الخيمة, القليوبية.",412095
ادوية,ابن سينا فارما,"مربع 91, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",46954
ادوية,ابوت ايجيبت,"القطعة 76 - قطاع 1 - حى البنوك - مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",369226
ادوية,اتامكو - التكنولوجيا المتطورة والتسويق,"25 ش حسن افلاطون متفرع من ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",10327
ادوية,اتوس فارما,"3 طريق بلبيس الصحراوى, مدينة السلام, القاهرة.",60365
ادوية,اجروميد,"3 ب ش د. سليمان الطماوى - الدور 1 شقة 4, مساكن شيراتون, مصر الجديدة, القاهرة.",51836
ادوية,ادفوكيور,"10 ش بطرس غالى متفرع من ش ابراهيم اللقانى - الدور 4 شقة 13, روكسى, مصر الجديدة, القاهرة.",383547
ادوية,ادمن فارما,"1 أ عمارات الشرق للتأمين - شقة 108, الحى السابع, مدينة نصر, القاهرة.",182675
ادوية,ادويا للصناعات الدوائية والكيميائية,"القطعة 13007 - - المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",47621
ادوية,ادويتى للادوية,"ش على باشا اللاله, حلمية الزيتون, القاهرة.",644399
ادوية,اديكورب للادوية,"ش الشهيد محمد عبد الحى شاهين, منشية البكرى - برج اعمار الدلتا - الدور الاول, المحلة الكبرى, الغربية.",650290
ادوية,ارابكو ميد,"القطعة العاشرة - بلوك 13025 - - المنطقة الصناعية, مدينة العبور, القليوبية.",59598
ادوية,ارو فارما,"37 عمارات اشجار دارنا, الدور 1, زهراء المعادى, المعادى, القاهرة.",577289
ادوية,اس اتش فارم,"المحور المركزى - برج الاطباء, السادس من اكتوبر, الجيزة.",474654
ادوية,اس ام فارما,"13 عمارات ميلسا - , مصر الجديدة, القاهرة.",437226
ادوية,اسبكت فارما,"47 ش المركز الرئيسى, المعراج العلوى, زهراء المعادى, المعادى, القاهرة.",658564
ادوية,استرازينيكا,"كم 22 -, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",148820
ادوية,استيلاس فارما,"40 ب - حى الملتقى العربى, مساكن شيراتون, مصر الجديدة, القاهرة.",552754
ادوية,اسلام حسن للادوية,"بلوك 51 ش الزهار, عمارة 19, الحى التاسع, مدينة نصر, القاهرة.",679462
ادوية,اغابى فارما,"9 ش الجمهورية, وسط البلد, المنيا.",157707
ادوية,اف بى اى,", المنصورة, الدقهلية.",685427
ادوية,افانو فارما,"9 أ ش النادى الرياضى, بنها, القليوبية.",429147
ادوية,افبكو للادوية البيطرية واضافات الاعلاف,"عمارة 20 ابراج جرين تاورز, سموحة, الاسكندرية.",621386
ادوية,اكتافيس ايجيبت,"9 هـ/2 ش الروبى, تقسيم الاسلكى, المعادى الجديدة, المعادى, القاهرة.",431203
ادوية,اكتوباك - اكتوبر الصناعية,"القطعة 41 - - المنطقة الصناعية الاولى, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",64490
ادوية,اكتوبر فارما,"المحور المركزى, الحى الخامس, السادس من اكتوبر, الجيزة.",467868
ادوية,اكتوبر فارما,"12 ش ابو حازم, مدكور, الهرم, الجيزة.",19470
ادوية,اكديما - الشركة العربية للصناعات الدوائية والمستلزمات الطبية,"4 ش ارض الفوالة, عابدين, القاهرة.",128457
ادوية,اكديما انترناشونال للتجارة,"13 ش محمد صدقى سليمان - ش اسراء المهندسين سابقا, المهندسين, الجيزة.",125189
ادوية,اكسل سيوتكس,"ش المدينة - مجمع الصناعات الصغيرة, العجمى, الاسكندرية.",393305
ادوية,اكسيد فارما,"7 مشروع 16 عمارة - طريق الاوتوستراد تقسيم اللاسلكى - الدور 2 شقة 22, المعادى الجديدة, المعادى, القاهرة.",520108
ادوية,اكوا فارم,"10 الشطر العاشر, المعادى الجديدة, المعادى, القاهرة.",161452
ادوية,اكورد لتجارة الادوية,"33 ش محب , طنطا, الغربية.",180879
ادوية,ال عرفات,"52 ش عرفات , حدائق القبة, القاهرة.",203953
ادوية,الاتحاد للادوية,"4 ش جمال الفينو متفرع من ش المطبعة, فيصل, الجيزة.",67177
ادوية,الاخوة المتحدون لتجارة الادوية,"1 ش الدواجن قبلى - عزبة الوالدة, حلوان, القاهرة.",483033
ادوية,الاخوة فارم,"طريق سوهاج اخميم, مدخل العزبة, اخميم, سوهاج.",670243
ادوية,الاسراء للادوية,"برج 3, الحى الثامن, مدينة نصر, القاهرة.",147475
ادوية,الاسكندرية للادوية والصناعات الكيماوية,"4 ش الشركات - ارض الفوالة, عابدين, القاهرة.",20234
ادوية,الالفى فارما,"56 ش متحف المطرية ميدان النعام, المطرية, القاهرة.",420924
ادوية,الامال فارم,"68 ش 105, حدائق المعادى, المعادى, القاهرة.",137667
ادوية,الامراء,"7 امتداد ش الامراء, التعاون, فيصل, الجيزة.",253154
ادوية,الاندلس,"ش العشرين, فيصل, الجيزة.",606586
ادوية,الاندلس فارما,"طريق النشو, كفر الدوار, البحيرة.",58243
ادوية,الانصار للتسويق,"9 ش ابراهيم شريف متفرع من طريق الحرية - ابراج كيروسيز - برج 2D - الدور 2 شقة 3, مصطفى كامل, الاسكندرية.",288214
ادوية,الانظمة الهندسية المصرية - اى اى اس,"12 ميدان ابن سندر - الدور 1, كوبرى القبة, القاهرة.",134015
ادوية,الاهرام,"16 ش هشام مصطفى, المطرية, القاهرة.",459912
ادوية,الاهرام العلمى,"41 ش فريد, مصر الجديدة, القاهرة.",252762
ادوية,الاوائل للصناعات الدوائية,"28 ش مراد, الجيزة, الجيزة.",444742
ادوية,الاوربية المصرية للصناعات الدوائية,"كم 25 - طريق اسكندرية القاهرة الصحراوى, العامرية, الاسكندرية.",162024
ادوية,الايمان للادوية البيطرية,"16 ش ربيع احمد - وراق العرب, الوراق, الجيزة.",572033
ادوية,البحر الاعظم للادوية,"40 ش البحر الاعظم, جزيرة الذهب, الجيزة.",502609
ادوية,البطل للادوية,"1 ش كامل البحيرى, عين شمس الشرقية, القاهرة.",476380
ادوية,البلسم,"8 ش احمد الصيفى, دار السلام, القاهرة.",332982
ادوية,التحرير فارما,"ش كعبيش, فيصل, الجيزة.",399579
ادوية,ألتميت فارما,"28 ش الفردوس, سموحة, الاسكندرية.",620832
ادوية,التوحيد,"ش حسن الصبان, فيصل, الجيزة.",394669
ادوية,التيسير,"7 ش مصطفى عارف مفارق المنصورة, الزقازيق, الشرقية.",395861
ادوية,الجزيرة للصناعات الطبية,"98 ب ش فيصل, فيصل, الجيزة.",156531
ادوية,الجمعية التعاونية للادوية,"37 ش عثمان فليط, السنبلاوين, الدقهلية.",437979
ادوية,الجمهورية لتجارة الادوية والمستلزمات الطبية,"23 ش السواح, ميدان الاميرية, الاميرية, القاهرة.",2017
ادوية,الحجاز لتجارة الادوية,"24 ش الزهراء, عين شمس, القاهرة.",275731
ادوية,الحدائق فارما,"75 ش بدر تقسيم الرقابة الادارية, حدائق القبة, القاهرة.",295805
ادوية,الحرية لتجارة الادوية,"328 ش عثمان جلال, محرم بك, الاسكندرية.",606629
ادوية,الحمد,"22 ش المدينة المنورة, الوراق, الجيزة.",387347
ادوية,الحمد للادوية والمستلزمات الطبية,"الشارع الجديد, مسطرد, القليوبية.",670034
