Category,Name,Address,ID
ايس كريم والبان,911,"13 ش حسان بن ثابت, طنطا, الغربية.",438085
ايس كريم والبان,ابناء الشرقية,"51 ش السادات, كرداسة, الجيزة.",557983
ايس كريم والبان,ابو الخير,"308 أ ش الثروة المعدنية, حدائق الاهرام, الهرم, الجيزة.",612505
ايس كريم والبان,ابو العلا,"ش سعد زغلول, ابو كبير, الشرقية.",332119
ايس كريم والبان,ابو حمزة,"ش المطبعة, شبرا الخيمة, القليوبية.",249423
ايس كريم والبان,ابو رضا للالبان,"2 ش حسنى محمود, حدائق المعادى, المعادى, القاهرة.",673632
ايس كريم والبان,ابو سنة,"ش احمد ماهر, ميت غمر, الدقهلية.",337465
ايس كريم والبان,ابو مسلم للايس كريم,"91 ش بورسعيد - سبك الاحد, اشمون, المنوفية.",569532
ايس كريم والبان,ابولو ايس كريم,"114 ش المنيل, المنيل, القاهرة.",195414
ايس كريم والبان,اتس بوظة,"ش العروبة, المريوطية, الهرم, الجيزة.",651459
ايس كريم والبان,اد اند رول,"2 ش بهجت على متفرع من ش اسماعيل محمد, الزمالك, القاهرة.",515796
ايس كريم والبان,اداجيو,"ميدان جهينة, السادس من اكتوبر, الجيزة.",517761
ايس كريم والبان,اسواق المراعى,"ش الجيش, الحوامدية, الجيزة.",284909
ايس كريم والبان,ال جيلاتو بار,"كم 17 - طريق الغردقة سفاجا, طريق القرى, سفاجا.",449160
ايس كريم والبان,الامراء,"1 ش 127, جسر السويس, القاهرة.",260846
ايس كريم والبان,الاندلس للايس كريم,"13 ش فايدة كامل, البساتين, القاهرة.",684399
ايس كريم والبان,البان ابو الدهب,"1 ش الشيخ ابراهيم, البساتين, القاهرة.",684147
ايس كريم والبان,البان ابو حسام,"2 ش عبد الفتاح عزمى, فيصل, الجيزة.",684090
ايس كريم والبان,البان ارض الخير,"1 ش محمد ايوب, المنيب, الجيزة.",656708
ايس كريم والبان,البان الاخلاص,"ش عثمان محرم, الطالبية, الهرم, الجيزة.",368821
ايس كريم والبان,البان الامانة,"ش الرشاح, المعصرة, القاهرة.",384092
ايس كريم والبان,البان الانتاج,"11 ش الانتاج, شبرا الخيمة, القليوبية.",246173
ايس كريم والبان,البان الانشراح,"8 عمارات البترول - , المهندسين, الجيزة.",385187
ايس كريم والبان,البان الايمان,"ش سوق التجار, منية النصر, الدقهلية.",354394
ايس كريم والبان,البان الباسم,"28 ش الصفا والمروة, فيصل, الجيزة.",252777
ايس كريم والبان,البان البركة,"13 أ مساكن اطلس ش 9, المقطم, القاهرة.",682749
ايس كريم والبان,البان البركة,"27 ش فلسطين, عرب جسر السويس, جسر السويس, القاهرة.",657293
ايس كريم والبان,البان البركة,"24 ش سيد درويش, البساتين, القاهرة.",684814
ايس كريم والبان,البان البركة,"ش الورشة, منشية ناصر, القاهرة.",285596
ايس كريم والبان,البان البركة,"66 ش الحسينى, حدائق حلوان, القاهرة.",643505
ايس كريم والبان,البان البركة,"ش النيل الابيض, المهندسين, الجيزة.",383485
ايس كريم والبان,البان التهامى,"44 ش البساتين, البساتين, القاهرة.",370465
ايس كريم والبان,البان التوحيد,"ش بنى محمد, امبابة, الجيزة.",382672
ايس كريم والبان,البان الحصرى,"38 ش محمد فريد, عابدين, القاهرة.",167369
ايس كريم والبان,البان الحلبى,"7 ش رايل, تقاطع ش لطيف, حلوان, القاهرة.",385771
ايس كريم والبان,البان الحمزة,"ش محمد ابراهيم متفرع من ش المشروع - ميت عقبة, المهندسين, الجيزة.",383083
ايس كريم والبان,البان الخالد,"ش الشيخ طه الدينارى, سوق 117, مدينة نصر, القاهرة.",668072
ايس كريم والبان,البان الخير,"22 ش موسى بن نصير, الحى السابع, مدينة نصر, القاهرة.",679182
ايس كريم والبان,البان الدمشقى,"296 ش عمر بن الخطاب تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",480403
ايس كريم والبان,البان الدوار,"19 ش فؤاد الشوربجى, الجيزة, الجيزة.",684324
ايس كريم والبان,البان الربيع,"ش الكريم, فيصل, الجيزة.",395631
ايس كريم والبان,البان الرحمة,"2 ش ابراهيم بحر, فيصل, الجيزة.",252856
ايس كريم والبان,البان الرضا,"ش يسرى شاهين, تقاطع ش ترعة الخشاب, حدائق حلوان, القاهرة.",659329
ايس كريم والبان,البان السلام,"ش ترعة الخشاب, المعصرة, القاهرة.",380675
ايس كريم والبان,البان السلام,"2 ش ابو بكر الصديق, بولاق الدكرور, الجيزة.",269220
ايس كريم والبان,البان السلام,"67 ش عمرو بن العاص, فيصل, الجيزة.",254371
ايس كريم والبان,البان السلام,"2 ش عبد الحميد خليل متفرع من ش احمد عرابى, شبرا الخيمة, القليوبية.",249162
ايس كريم والبان,البان السلام,"1 ش الشبينى متفرع من ش الروضة, شبرا الخيمة, القليوبية.",249490
ايس كريم والبان,البان السلام,"2 ش ابراهيم عبد الله, فيصل, الجيزة.",252834
ايس كريم والبان,البان السويس,"السوق السياحى, الدهار, الغردقة.",247103
ايس كريم والبان,البان السيد المالكى,"274 ش فيصل, فيصل, الجيزة.",254184
ايس كريم والبان,البان الشرقية,"4 ش الشيخ عبيد, عزبة النخل, القاهرة.",659396
ايس كريم والبان,البان الصفا والمروة,"5 ش الصفا والمروة, حدائق المعادى, المعادى, القاهرة.",335299
ايس كريم والبان,البان العبد,"29 ش المدينة المنورة, قرية بشتيل, اوسيم, الجيزة.",541765
