Category,Name,Address,ID
ادارة مخلفات وخدمات اعادة تصنيع,بيومصر المحدودة,"برج ادارى 1- ابراج سيتى ستارز, المحور المركزى الموازى, السادس من اكتوبر, الجيزة.",611483
ادارة مخلفات وخدمات اعادة تصنيع,جريست لاعادة تدوير المخلفات الالكترونية,"3 ش 273, متفرع من ش فلسطين, المعادى الجديدة, المعادى, القاهرة.",689005
ادارة مخلفات وخدمات اعادة تصنيع,ابناء مجاهد للبلاستيك - السيد نصر مجاهد,"طريق طلخا دمياط السريع, قرية ميت عنتر, المنصورة, الدقهلية.",65092
ادارة مخلفات وخدمات اعادة تصنيع,ابو قير لمعالجة المخلفات البيئية,"القطعة 22, 23 - - المنطقة الصناعية, مطوبس, كفر الشيخ.",137141
ادارة مخلفات وخدمات اعادة تصنيع,اكستريم لاعادة تدوير المخلفات الالكترونية,"ش عبد الرحمن صدقى, مدينة نصر, القاهرة.",693423
ادارة مخلفات وخدمات اعادة تصنيع,اكو سيرفيس,"100 ش جوزيف تيتو, مصر الجديدة, القاهرة.",97891
ادارة مخلفات وخدمات اعادة تصنيع,اكو سيرفيس,"ش الجمهورية, السادات, اسيوط.",155648
ادارة مخلفات وخدمات اعادة تصنيع,الاسماعيلية الجديدة لتكنولوجيا ادارة المخلفات,"47 ش العشرينى, الحى الثانى, حى السلام, الاسماعيلية.",638616
ادارة مخلفات وخدمات اعادة تصنيع,البيئة المتجددة لتدوير المخلفات,"كم 27 طريق القاهرة اسكندرية الصحراوى, مرغم, الاسكندرية.",669858
ادارة مخلفات وخدمات اعادة تصنيع,الجمعية الاجتماعية لتدوير المخلفات البيئية,"66 ش الوزان, المحلة الكبرى, الغربية.",152404
ادارة مخلفات وخدمات اعادة تصنيع,الحجاز لتدوير المخلفات,", ميدان الطيارة, بلبيس, الشرقية.",669475
ادارة مخلفات وخدمات اعادة تصنيع,الدولية للتجارة والخدمات,"المنطقة الحرة, مدينة نصر, القاهرة.",136489
ادارة مخلفات وخدمات اعادة تصنيع,الشركة التعاونية الانتاجية لصيانة ونظافة المنشأت,"13 ش خليل حسن خليل, الدور 1, الاذاعة, جليم, الاسكندرية.",637446
