Category,Name,Address,ID
معمل تحاليل طبية,معامل الخبير للتحاليل الطبية - دكتور أحمد الشيمى,"31, تقسيم القضاة - ميدان فيكتور عمانويل, سموحة, الاسكندرية.",690777
معمل تحاليل طبية,معامل تكنولاب للتحاليل الطبية,"75 ش محيى الدين ابو العز, الدور 4, المهندسين, الجيزة.",18852
معمل تحاليل طبية,معامل الفنار لاب للتحاليل الطبية,"1 ش مسجد سيدى بشر, الدور 2, برج الراعى الصالح, سيدى بشر بحرى, الاسكندرية.",99635
معمل تحاليل طبية,سيتى سكان,"45 ميدان ابن الحكم عمارات بيت العز, حلمية الزيتون, القاهرة.",205635
معمل تحاليل طبية,معامل لاب ميد ايجيبت,"1, الشقة 14, الدور 4, ميدان لبنان - امتداد ش 26 يوليو, المهندسين, الجيزة.",576711
معمل تحاليل طبية,ميد لاب - د. مجدى الاكيابى,"19 ش وزارة الزراعة, الشقة 507, الدور 4, الدقى, الجيزة.",5838
معمل تحاليل طبية,كايرو سكان للاشعة والتحاليل,"35 ش سليمان اباظة, متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",5861
معمل تحاليل طبية,ابيدوس لاب,"6 القطعة 353, الدور 1, ميدان النافورة, المقطم, القاهرة.",669767
معمل تحاليل طبية,ادم لاب,"131 ش منشية التحرير, متفرع جسر السويس, عين شمس الشرقية, القاهرة.",652585
معمل تحاليل طبية,ار اتش,"38 ش عبد الهادى خطاب, عين شمس, القاهرة.",414335
معمل تحاليل طبية,اسامة,"10 ش ابو الفتوح عبد الله, عين شمس, القاهرة.",325774
معمل تحاليل طبية,استرا لاب,"8 مساكن ايجيكو -, المقطم, القاهرة.",441400
معمل تحاليل طبية,اسوان لاب للتحاليل الطبية,"ش كسر الحجر, برج اللؤلؤة, السيل شرق, اسوان.",462670
معمل تحاليل طبية,اسيا لاب,"116 ش الجلاء - برج الحسام - الدور 4, منوف, المنوفية.",571676
معمل تحاليل طبية,اطباء الخير,"ش السوق, شبرا الخيمة, القليوبية.",414125
معمل تحاليل طبية,اكتف لاب للتحاليل الطبية,"25 ش التوفيقية, عين شمس الغربية, القاهرة.",659670
معمل تحاليل طبية,اكتوبر لاب,", ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",470133
معمل تحاليل طبية,اكسترا لاب,"القطعة 18, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",665410
معمل تحاليل طبية,اكسترا لاب,"45 ش 9, الدور 2, تقاطع ش حسنين دسوقى, حدائق المعادى, المعادى, القاهرة.",563602
معمل تحاليل طبية,اكوا لاب,"برج زين -, شبرا الخيمة, القليوبية.",413962
معمل تحاليل طبية,اكيورت لاب,"111 ش فيصل, الدور 3, برج الخليج, فيصل, الجيزة.",171413
معمل تحاليل طبية,الاستشاريون للتحاليل الطبية,"ش الجلاء, شبين الكوم, المنوفية.",287567
معمل تحاليل طبية,الامل لاب,"13 ش جامعة القاهرة, الشقة 6, الدور 1, الجيزة, الجيزة.",682437
معمل تحاليل طبية,الاهرام للتحاليل الطبية,"1 ش ابو الفضل, متفرع من ش منشية الجمل, الزاوية الحمراء, القاهرة.",644893
معمل تحاليل طبية,الترا سكان,"ش النصر, ديرب نجم, الشرقية.",330729
معمل تحاليل طبية,التعاون لاب,"ش المنشية, فيصل, الجيزة.",388385
معمل تحاليل طبية,التوحيد للتحاليل الطبية,"5 ش مكة, المرج, القاهرة.",663003
معمل تحاليل طبية,الجزيرة لاب,"ش النبوى المهندس, تقسيم 2, كفر الشيخ.",346917
معمل تحاليل طبية,الجودة لاب,"363 ميدان الحصرى - عمارة لؤلؤة اكتوبر, الحى الثانى, السادس من اكتوبر, الجيزة.",481930
معمل تحاليل طبية,الحكمة للتحاليل الطبية,"1 ش شوشان, مطوبس, كفر الشيخ.",620530
