Category,Name,Address,ID
كتب,ابو عبد الرحمن,"سور الازبكية - - محل 49, العتبة, القاهرة.",185421
كتب,ابيكس للاستيراد والتصدير والتوكيلات,"5 ش غزة, المهندسين, الجيزة.",190962
كتب,اجيال - حماد للتجارة والتوزيع,"16 عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",144197
كتب,ادمز ستور,"ش مصطفى كامل, وسط البلد, قنا.",574266
كتب,اديب بوك ستور,"43 ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",675243
كتب,اصحاب تيمو,"فيلا 222 - ش التسعين - المنطقة الثانية - الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",397781
كتب,افيرويس بوك ستور,"القطعة A - ش التسعين - مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",437116
كتب,اقرأ,"ش الشيراتون, سقالة, الغردقة.",246449
كتب,اقرأه,"13 ش الفالوجا متفرع من ش احمد قاسم جودة, المنطقة الاولى, مدينة نصر, القاهرة.",232267
كتب,اكس او لتوزيع كتب الاطفال,"16 ش الشهيد محمد جمال برعى متفرع من ش اسماء فهمى, ارض الجولف, مصر الجديدة, القاهرة.",129152
كتب,اكمل - مركز الاسكندرية للوسائط الثقافية والمكتبات,"181 ش احمد شوقى, رشدى, الاسكندرية.",35746
كتب,الامير للتجارة,"21 ش احمد عرابى, شبرا الخيمة, القليوبية.",473419
كتب,الانس لتجارة الكتب,"15 ش يسرى جوهر, المنطقة الاولى, مدينة نصر, القاهرة.",153510
كتب,البلد,"31 ش محمد محمود - الدور 1, وسط البلد, القاهرة.",141659
كتب,الثقافة الجامعية,"40 ش سوتر, الازاريطة, الاسكندرية.",34152
كتب,الجمل بوك ستور,"8 القطعة 22 - بلوك 10 ش الحرية, الحى الثامن, مدينة نصر, القاهرة.",491942
كتب,الجمل بوك ستور,"ش التسعين الجنوبى بورتو نيو كايرو, المستثمرين الجنوبية, القاهرة الجديدة, القاهرة.",634376
كتب,الدار الفنية,"3 ش ابراهيم نوار, متفرع من ش احمد فخرى, المنطقة السادسة, مدينة نصر, القاهرة.",191003
كتب,الدر المكنون,"سور الازبكية, العتبة, القاهرة.",185439
كتب,الدلتا للتجارة,"167 ش الهرم, الكوم الاخضر, الهرم, الجيزة.",168414
كتب,الراعى الصالح,"ش اليمانى, السوق القديم, شرم الشيخ.",258916
كتب,الرسالة للتجارة والتوزيع,"135 ش فيصل, فيصل, الجيزة.",166512
كتب,الرق المنشور,"فيلا 379, كمباوند الياسمين 1, التجمع الاول, القاهرة الجديدة, القاهرة.",654565
كتب,الشركة المصرية للنظم المتقدمة,"2 ش محيى الدين ابو العز, الدقى, الجيزة.",163722
كتب,الصفا,"446 ش الاهرام - مجمع نصر الدين - برج 5, الهرم, الجيزة.",307094
كتب,الصفوة للكتب,"69 ش 23 يوليو, ميدان الباجور, الباجور, المنوفية.",559720
كتب,العدل بوك ستور,"4 ش اسماعيل رأفت, متفرع من ش ابو بكر الصديق, ميدان سفير, مصر الجديدة, القاهرة.",388334
كتب,العربى للنشر والتوزيع,"60 ش قصر العينى, وسط البلد, القاهرة.",669316
كتب,الفا للتسويق,"47 ش الفلكى, باب اللوق, القاهرة.",19662
كتب,القاضى,"44 ش باب البحر, باب الشعرية, القاهرة.",395878
كتب,الكتاب الفرنسى,"11 ش حسن صبرى, الزمالك, القاهرة.",177045
كتب,المتنبى,"14 ش الجمهورية, عابدين, القاهرة.",7686
كتب,المجمع الثقافى المصرى,"35 ش اسماعيل الفلكى, ميدان المحكمة, مصر الجديدة, القاهرة.",474991
كتب,المجموعة العلمية,"13 ش محمد صبرى ابو علم ميدان طلعت حرب - الدور 2, وسط البلد, القاهرة.",570415
كتب,المختار,"ش محمد عبده, الازهر, القاهرة.",384487
كتب,المدينة المنورة للكتب,"11 ش العزيز بالله, الزيتون, القاهرة.",408086
كتب,المركز الدولى السابع للتدريب والتسويق,"4 ش الشاذلى, المطرية, القاهرة.",160811
كتب,المركز المصرى الامريكى للكتاب - اى ايه بى سى,"601 طريق الحرية, زيزينيا, الاسكندرية.",65847
كتب,المروة للكتب الطبية,"23 ش شامبليون, الازاريطة, الاسكندرية.",34363
كتب,المستشرق,"15 ش قصر النيل, وسط البلد, القاهرة.",144587
كتب,المعادى للكتب المستعملة,"29 ش 9, ثكنات المعادى, المعادى, القاهرة.",457700
كتب,المعاصر,"60 ش الحرية, الدور 5, مصر الجديدة, القاهرة.",678626
كتب,المكتبة,"عزبة الرمل, ابو زعبل, القليوبية.",355997
كتب,المكتبة الاسلامية,"12 ش هارون الرشيد, مصر الجديدة, القاهرة.",166127
كتب,المكتبة الاسلامية,"62 ش صعب صالح متفرع من ش احمد عصمت, عين شمس الشرقية, القاهرة.",205390
كتب,المكتبة الاسلامية,"ش يوسف حسن , الاقصر, الاقصر.",130680
كتب,المكتبة الاكاديمية,"7 ش تاج الدين السبكى, متفرع من ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",160242
كتب,المكتبة الانجليزية الحديثة,"12 ش الاسحاقى, متفرع من ش المقريزى, روكسى, مصر الجديدة, القاهرة.",210840
كتب,المكتبة التوفيقية,"3 ش درب الاتراك, الازهر, القاهرة.",381858
كتب,المكتبة الثقافية,"55 سور الازبكية الجديد , العتبة, القاهرة.",185429
كتب,المكتبة الرومانسية,"32 ش شجرة الدر, الزمالك, القاهرة.",47000
كتب,المكتبة السلفية,"46 ش عمان متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",187505
كتب,المكتبة العالمية,"151 ش السيد محمد كريم, المنشية, الاسكندرية.",202963
كتب,المكتبة العصرية,"ش حسنى مبارك, المشاية السفلية - برج المعمورة, المنصورة, الدقهلية.",508358
كتب,المكتبة القانونية,"18 ش سامى البارودى, عابدين, القاهرة.",224274
كتب,المكتبة القومية الحديثة,"ش القاضى, طنطا, الغربية.",159179
كتب,المكتبة المركزية - جامعة الاسكندرية,"163 طريق الحرية, الشاطبى, الاسكندرية.",26840
كتب,المكتبة المصرية,"26 عمارة الايموبيليا - ش شريف , وسط البلد, القاهرة.",163458
كتب,المكتبة المصرية الفرنسية,"45 ش شامبليون, وسط البلد, القاهرة.",54911
كتب,الملوك,"الممشى السياحى, هضبة ام السيد, شرم الشيخ.",258325
كتب,الميكروفون,"28 جابر بن حيان, متفرع من ش الدقى, الدقى, الجيزة.",632158
كتب,النهضة,"9 ش عدلى, وسط البلد, القاهرة.",167145
كتب,الهيئة المصرية العامة للكتاب,"كورنيش النيل, رملة بولاق, القاهرة.",144953
كتب,امكو للتسويق,"5 عمارات اول مايو طريق النصر, ميدان الساعة, مدينة نصر, القاهرة.",431381
كتب,ان ليميتد بريس,"16 ش ناجى فريد, الدقى, الجيزة.",97626
كتب,انترناشيونال اكاديمى للنشر,"14 ش دياب, جليم, الاسكندرية.",398825
كتب,اهل الحديث,"9 ش العقاد, حمامات القبة, القاهرة.",401483
