Category,Name,Address,ID
مطاعم توصيل الطلبات للمنازل,مزرعتنا للانتاج الحيوانى,"16 كومبوند حدائق السراية بوابة 2 حدائق السراية ش مدرسة الريادة, سموحة, الاسكندرية.",688770
مطاعم توصيل الطلبات للمنازل,قرية التمساح للمشويات والمأكولات البدوية,"كم 12.5 طريق الكافورى, برج العرب, الاسكندرية.",619893
مطاعم توصيل الطلبات للمنازل,مطعم هرم الحمام,"ش المشير - مول سيتى سكوير, سيدى جابر, الاسكندرية.",694169
مطاعم توصيل الطلبات للمنازل,مطعم فايف روسترز فرايدتشكن,"ش مسجد حاتم, السوق التجارى, سموحة, الاسكندرية.",629053
مطاعم توصيل الطلبات للمنازل,بيتزا باستا,"45 ش المطبعة, فيصل, الجيزة.",329661
مطاعم توصيل الطلبات للمنازل,ساكورا سوشى,"38 ش 231, دجلة, المعادى, القاهرة.",127658
مطاعم توصيل الطلبات للمنازل,سلسلة مطاعم الحاتى,"127 ش مصر والسودان, حدائق القبة, القاهرة.",99168
مطاعم توصيل الطلبات للمنازل,مطعم ابو العز السورى,"35 ش عباس العقاد, مدينة نصر, القاهرة.",451573
مطاعم توصيل الطلبات للمنازل,جارنل سوشى اند بوك,"21 ش شمس الدين الذهبى, ارض الجولف, مصر الجديدة, القاهرة.",595632
مطاعم توصيل الطلبات للمنازل,مطعم نور الصباح,"151 ش الفيوم, دار السلام, القاهرة.",217432
مطاعم توصيل الطلبات للمنازل,1 كفتة,"ش نعمان الاعصر, المحلة الكبرى, الغربية.",584158
مطاعم توصيل الطلبات للمنازل,100 كرش,"ش الجمهورية, المنصورة, الدقهلية.",582053
مطاعم توصيل الطلبات للمنازل,147 سوهو,"ش التسعين - الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",295646
مطاعم توصيل الطلبات للمنازل,2 كبدة وسجق,"ش الفريق رضا حافظ, المحلة الكبرى, الغربية.",636480
مطاعم توصيل الطلبات للمنازل,23 يوليو,"ش 23 يوليو, بنى سويف, بنى سويف.",293014
مطاعم توصيل الطلبات للمنازل,24 دوجز,"62 ش 9, المعادى, القاهرة.",625182
مطاعم توصيل الطلبات للمنازل,3 شيفس,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",612915
