Category,Name,Address,ID
الادارات العامة للموارد المائية والرى,ادارة تفتيش الرى - قبلى وبحرى,"ش الرى - حى الوليدية, اسيوط, اسيوط.",351846
الادارات العامة للموارد المائية والرى,ادارة حماية وتطوير نهر النيل - سوهاج,"ش بورسعيد, سوهاج, سوهاج.",403087
الادارات العامة للموارد المائية والرى,الادارة العامة للتوسع الافقى والمشروعات - غر ب الدلتا,"ش عبد السلام الشاذلى, دمنهور, البحيرة.",349146
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - اسيوط,"ميدان اكتوبر, اسيوط, اسيوط.",284908
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - الاسماعيلية,"مجمع الرى والصرف, الشيخ زايد, الاسماعيلية.",284440
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - البحيرة,"., دمنهور, البحيرة.",284864
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - الجيزة و6 اكتوبر,"13 ش مراد, الجيزة, الجيزة.",223107
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - الدلتا,"., القناطر الخيرية, القليوبية.",223173
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - السلام,"الطريق الزراعى, المنزلة, الدقهلية.",284862
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - الغربية,"ش الجيش, طنطا, الغربية.",223901
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - الفيوم,"ش سعد زغلول, وسط البلد, الفيوم.",284907
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - القليوبية,"ش الاشارة - الدور 1, بنها, القليوبية.",223137
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - المنوفية,"ش جمال عبد الناصر, شبين الكوم, المنوفية.",284534
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - النصر,"مجمع الرى - الناصرية, العامرية, الاسكندرية.",221955
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - النوبارية,"كم 34 - طريق اسكندرية القاهرة الصحراوى - مجمع الرى - الناصرية, العامرية, الاسكندرية.",222024
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - بنى سويف,"ش صلاح سالم, مجمع الرى والصرف, بنى سويف, بنى سويف.",284906
الادارات العامة للموارد المائية والرى,الادارة العامة للرى - جنوب الدقهلية,"ش البحر, ميت غمر, الدقهلية.",284472
