Category,Name,Address,ID
مضخات,بامب تك 2000 الوكيل الوحيد لطلمبات ماس داف ودان بامب,"برج تريومف ش المختار, متفرع من ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",54014
مضخات,ايماج للتوكيلات التجارية - وكلاء طلمبات,"25 ش نجيب الريحانى, وسط البلد, القاهرة.",14729
مضخات,مكتب الاشراف الهندسي للتجارة والتوريدات,"56 برج الشبراويشى ش السبتية, الشقة 5, الدور 1, بولاق, القاهرة.",57111
مضخات,راكتوس ايجيبت للخدمات الملاحية والهندسية,"عمارة بانوراما سموحة 1 ش 324 - تعاونيات سموحه - طريق المحمودية, سموحة, الاسكندرية.",585435
مضخات,اكسترا بامب تريد,", المنطقة الصناعية الاولى - مجمع سعد زغلول, مدينة العبور, القليوبية.",690528
مضخات,كابيتال لتجارة المحركات الكهربائية - شريف خورى,"66 ش الجمهورية, وسط البلد, القاهرة.",689940
مضخات,الهندسية للتوريدات والاستشارات - ووتر تكنولوجى,"18 عمارات العبور طريق صلاح سالم, الشقة 8, الدور 5, مصر الجديدة, القاهرة.",69449
مضخات,يونايتد انجينيرز - جراندفوس,"102 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",2827
مضخات,مؤسسة المهندس الدولية لبيع وصيانة الطلمبات وأنظمة المياه,"2, ميدان بوابة بهيج, برج العرب, الاسكندرية.",581488
مضخات,الاوائل للتوريدات والتوكيلات التجارية,"19 عمارات التعمير والاسكان, الزقازيق, الشرقية.",687573
مضخات,شركة مصر للمحركات,"212 ش السودان, ميدان لبنان, المهندسين, الجيزة.",4609
مضخات,المجموعة الهندسية للتوريدات والاستشارات,"47 ش الحرية, الماظة, مصر الجديدة, القاهرة.",619460
مضخات,التقنية مصر للاستيراد - جراندفوس,"17 عمارات السعودية ش النزهة, مصر الجديدة, القاهرة.",45571
مضخات,النصر لخراطة وتشكيل المعادن وتصنيع القوالب البلاستيك,"الكيلو 23 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",689421
مضخات,نفاد ستور لتجارة المواتير,"ش ابو سنة - الطريق البطئ, قليوب, القليوبية.",262047
مضخات,الشركة المتحدة لتجارة المحركات الكهربائية - م. معوض ابراهيم,"85 ش الجمهورية, وسط البلد, القاهرة.",14764
مضخات,المارينا للتوريدات,"171 ش جسر السويس, مصر الجديدة, القاهرة.",694828
مضخات,شركة طنطا الهندسية للتجارة والتوريدات,"60 ش الجمهورية, وسط البلد, القاهرة.",142074
مضخات,شركة يونيكون الوكيل الحصرى لطلمبات ستاندرت ومحابس زيرن,"30 د ابراج سما الطريق الدائرى, المعادى, القاهرة.",394117
مضخات,شركة البطل التجارية لطلمبات المياه - رومانى ابراهيم,"65 ش الجمهورية, وسط البلد, القاهرة.",111459
مضخات,شركة مينا للتجارة والطلمبات والمحركات,"121 ش اسماعيل مهنا, محطة مصر, الاسكندرية.",213261
مضخات,شركة سيجما للتوريدات,"5, ميدان سانت كاترين, المنشية, الاسكندرية.",694991
