Category,Name,Address,ID
مكاتب الجوازات,مكتب الجوازات - 15 مايو,"المجاورة الثالثة - حى رجال الاعمال - الدور 3, مدينة 15 مايو, القاهرة.",123750
مكاتب الجوازات,مكتب الجوازات - 6 اكتوبر,"ميدان فودافون, الحى السادس, السادس من اكتوبر, الجيزة.",69377
مكاتب الجوازات,مكتب الجوازات - ابو تيج,"طريق اسيوط سوهاج السريع, ابو تيج, اسيوط.",239394
مكاتب الجوازات,مكتب الجوازات - اسوان,"ش كورنيش النيل, الكورنيش, اسوان.",239375
مكاتب الجوازات,مكتب الجوازات - اسيوط,"ش رياض, اسيوط, اسيوط.",239391
مكاتب الجوازات,مكتب الجوازات - الاسكندرية,"28 ش طلعت حرب تقاطع ش الفلكى, محطة الرمل, الاسكندرية.",202981
مكاتب الجوازات,مكتب الجوازات - الاسماعيلية,"ش فريد ندا ميدان شامبليون, حى الافرنج, الاسماعيلية.",225635
مكاتب الجوازات,مكتب الجوازات - الاقصر,"ش خالد بن الوليد, الاقصر, الاقصر.",239373
مكاتب الجوازات,مكتب الجوازات - الاميرية,"ش عمر المختار متفرع من ش السواح , الاميرية, القاهرة.",239277
مكاتب الجوازات,مكتب الجوازات - الجيزة,"ش البحر الاعظم, الجيزة, الجيزة.",101826
مكاتب الجوازات,مكتب الجوازات - الزقازيق,"26 مساكن الجوازات - ميدان الزراعة, الزقازيق, الشرقية.",239356
مكاتب الجوازات,مكتب الجوازات - السويس,"ش الحرية, حى السويس, السويس.",239386
مكاتب الجوازات,مكتب الجوازات - الطور,"., الطور, جنوب سيناء.",225636
مكاتب الجوازات,مكتب الجوازات - العاشر من رمضان,"., العاشر من رمضان, الشرقية.",120791
مكاتب الجوازات,مكتب الجوازات - العجوزة,"برج الشرطة - ش نوال, العجوزة, الجيزة.",99293
مكاتب الجوازات,مكتب الجوازات - العريش,"., العريش, شمال سيناء.",239289
مكاتب الجوازات,مكتب الجوازات - الفيوم,"ش المديرية, وسط البلد, الفيوم.",239350
مكاتب الجوازات,مكتب الجوازات - المحلة الكبرى,"ش البحر - المستعمرة, المحلة الكبرى, الغربية.",239348
مكاتب الجوازات,مكتب الجوازات - المنتزة,"ش الجلاء, فيكتوريا, الاسكندرية.",225609
مكاتب الجوازات,مكتب الجوازات - المنزلة,"ش الجوازات, المنزلة, الدقهلية.",239340
مكاتب الجوازات,مكتب الجوازات - المنيا,"., وسط البلد, المنيا.",239352
مكاتب الجوازات,مكتب الجوازات - الوادى الجديد,"., الخارجة, الوادى الجديد.",239364
مكاتب الجوازات,مكتب الجوازات - بنها,"., بنها, القليوبية.",225620
مكاتب الجوازات,مكتب الجوازات - بنى سويف,"ش بورسعيد, بنى سويف, بنى سويف.",239390
مكاتب الجوازات,مكتب الجوازات - بنى مزار,"., بنى مزار, المنيا.",239357
مكاتب الجوازات,مكتب الجوازات - بورسعيد,"القطعة 5، 6 - - ارض الجبل, حى المناخ, بور سعيد.",239344
مكاتب الجوازات,مكتب الجوازات - جرجا,"ش عبد الله النديم, جرجا, سوهاج.",239401
مكاتب الجوازات,مكتب الجوازات - حدائق القبة,"ش ترعة الجندى, حدائق القبة, القاهرة.",123748
مكاتب الجوازات,مكتب الجوازات - دكرنس,"عزبة ابو سليمان, دكرنس, الدقهلية.",239338
مكاتب الجوازات,مكتب الجوازات - دمياط,"ش المرور, دمياط, دمياط.",239342
مكاتب الجوازات,مكتب الجوازات - رأس غارب,"ش الاذاعة, رأس غارب, البحر الاحمر.",239347
مكاتب الجوازات,مكتب الجوازات - رفح,"., رفح, شمال سيناء.",239293
مكاتب الجوازات,مكتب الجوازات - روض الفرج,"., روض الفرج, القاهرة.",225946
مكاتب الجوازات,مكتب الجوازات - شبرا الخيمة,"., شبرا الخيمة, القليوبية.",225615
مكاتب الجوازات,مكتب الجوازات - طنطا,"ش النادى, طنطا, الغربية.",239351
مكاتب الجوازات,مكتب الجوازات - فاقوس,"ش المركز الجديد - مجمع الشرطة, فاقوس, الشرقية.",239362
مكاتب الجوازات,مكتب الجوازات - قنا,"., وسط البلد, قنا.",239369
مكاتب الجوازات,مكتب الجوازات - كفر الدوار,"العكريشة, كفر الدوار, البحيرة.",239283
مكاتب الجوازات,مكتب الجوازات - كفر الشيخ,"ش الجمهورية, وسط البلد, كفر الشيخ.",239378
مكاتب الجوازات,مكتب الجوازات - كفر صقر,"حى النصر, كفر صقر, الشرقية.",239366
مكاتب الجوازات,مكتب الجوازات - محرم بك,"ش نبيل الوقاد - ش الرصافة سابقا تقاطع ش على احمد باكثير, محرم بك, الاسكندرية.",225606
مكاتب الجوازات,مكتب الجوازات - مدينة البعوث الاسلامية,"امتداد ش احمد سعيد, عباسية, القاهرة.",225943
مكاتب الجوازات,مكتب الجوازات - مدينة نصر,"., مدينة نصر, القاهرة.",225917
مكاتب الجوازات,مكتب الجوازات - مرسى مطروح,"عمارة الاوقاف - ش بورسعيد متفرع من ش الاسكندرية, وسط البلد, مرسى مطروح.",239382
مكاتب الجوازات,مكتب الجوازات - مصر الجديدة,"ش عبد العزيز فهمى, ميدان هليوبوليس, مصر الجديدة, القاهرة.",225915
مكاتب الجوازات,مكتب الجوازات - منوف,"ش البطحة, منوف, المنوفية.",239331
مكاتب الجوازات,مكتب الجوازات - منيا القمح,"ش السيد مرعى, منيا القمح, الشرقية.",239360
مكاتب الجوازات,مكتب الجوازات - ميت غمر,"ش البحر, ميت غمر, الدقهلية.",239335
مكاتب الجوازات,مكتب الجوازات - نجع حمادى,"المساكن الشعبية - ش البحث الجنائى, نجع حمادى, قنا.",239371
