Category,Name,Address,ID
رياضة مائية,اكاديمية ايجى رو للتجديف,"147 ش النيل, الدقى, الجيزة.",509194
رياضة مائية,اكاديمية ذكى غانم لتعليم السباحة,", محور 26 يوليو, السادس من اكتوبر, الجيزة.",513307
رياضة مائية,العناصر للرياضات المائية,", كفر الجونة, الجونة.",663015
رياضة مائية,المنتزة للرياضات المائية,", حدائق قصر المنتزة, المنتزة, المنتزه, الاسكندرية.",54994
رياضة مائية,اليوس دايف كلوب اند اكوا سبورتس سنتر,"طريق يوسف عفيفى, الممشى السياحى, طريق القرى, الغردقة.",137909
رياضة مائية,اوسموسيز كايت بوردنج,", ارض الجولف, وسط البلد, الجونة.",666554
رياضة مائية,اوشنز 7 واترسبورت ايجيبت,"., الكوثر, الغردقة.",552144
رياضة مائية,اى بى اى اند فرندز,"كم 12 طريق سفاجا, طريق القرى, سفاجا.",159997
رياضة مائية,برو سنتر تومى فريدل,", كفر الجونة, الجونة.",119102
رياضة مائية,بلاى كايت للرياضات المائية,", شاطئ الفيروز, منطقة الاحياء, الغردقة.",663134
رياضة مائية,بوبوس للالعاب المائية,", خليج نعمة, شرم الشيخ.",149202
رياضة مائية,بوبوس للالعاب المائية,", مارينا 7, مارينا, الساحل الشمالى.",663128
رياضة مائية,تورنادو سيرف سنتر,"كم 8 طريق سفاجا الغردقة, سومة باى, سفاجا.",167603
رياضة مائية,ذا كايت بابل,", الغرقانة, خليج نبق, شرم الشيخ.",663129
رياضة مائية,ذا كايت باز,"., رأس سدر, جنوب سيناء.",234754
رياضة مائية,ريد سى زون,", شاطئ منجروفى, الجونة.",118142
رياضة مائية,ريد سى ستار,"طريق السلام, خليج نعمة, شرم الشيخ.",106406
رياضة مائية,سبلاش ووتر سبورتس,"274 ش جبل الحريم, الدهار, الغردقة.",113100
رياضة مائية,سلطان كايت سكول,"طريق الاحياء, منطقة الاحياء, الغردقة.",688940
رياضة مائية,سى ويفز اكوا سنتر,"كم 17 طريق سهل حشيش, طريق القرى, الغردقة.",663135
رياضة مائية,شارمينيا للالعاب المائية,"., شرم المياه, شرم الشيخ.",128609
رياضة مائية,فاناتيك بوردرز سنتر,"كم 45 طريق حلايب وشلاتين, وادى جمال, مرسى علم.",553440
رياضة مائية,كايت اديكتس,", الغرقانة, خليج نبق, شرم الشيخ.",663132
رياضة مائية,كايت باور الجونة,", كفر الجونة, الجونة.",160007
رياضة مائية,كايت بوردينج كلوب الجونة,", شاطئ منجروفى, الجونة.",160583
رياضة مائية,كايت بوردينج وايز,", كفر الجونة, الجونة.",666542
رياضة مائية,كايت بيبول,"., وسط البلد, الجونة.",159993
رياضة مائية,كايت سكول ايجيبت,"طريق الاحياء, منطقة الاحياء, الغردقة.",666561
رياضة مائية,كايت فالكون,", الغرقانة, خليج نبق, شرم الشيخ.",663133
رياضة مائية,كايت فاميلى,", زيتونا, الجونة.",666553
رياضة مائية,كريزى ويف دايفنج كلوب,"طريق الغردقة سفاجا, سهل حشيش, الغردقة.",663138
رياضة مائية,كلوب ميسترال ايجيبت,"ش الفنادق, لاجونا, دهب.",163429
رياضة مائية,كليو بارك,"., خليج نعمة, شرم الشيخ.",128104
رياضة مائية,كولونا ووتر سبورتس,"كم 12 طريق الغردقة سفاجا, طريق القرى, الغردقة.",143652
رياضة مائية,ماسترز سيرف سكول,"كم 12 طريق الاحياء, منطقة الاحياء, الغردقة.",666556
رياضة مائية,مكانى بيتش كلوب,", كفر الجونة, الجونة.",663017
رياضة مائية,مومو كايت بوردينج,", كفر الجونة, الجونة.",666541
رياضة مائية,نايل كايك كلوب,"كم 13 طريق القاهرة اسيوط الزراعى, ابو النمرس, الجيزة.",547587
رياضة مائية,نوماد كايت,"., كفر الجونة, الجونة.",234760
رياضة مائية,هارى ناس,"., لاجونا, دهب.",132233
رياضة مائية,ووتر بارك,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",678973
