Category,Name,Address,ID
محلات هدايا,2.5 للهدايا,"209 ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",578559
محلات هدايا,3 بنات,"3 ش امين الشيمى, دار السلام, القاهرة.",331656
محلات هدايا,52 ويكس,"18 عمارات المدفعية, مدينة نصر, القاهرة.",686006
محلات هدايا,اباجور,"ش الرشاح, ابو زعبل, القليوبية.",356053
محلات هدايا,اباجورات,"9, ميدان سرايا القبة, سراى القبة, القاهرة.",675343
محلات هدايا,ابن البلد,"ش عسكر, ابو كبير, الشرقية.",329997
محلات هدايا,ابن خلدون,"27 ش ابن قتيبة - حى الزهور, الحى السابع, مدينة نصر, القاهرة.",312074
محلات هدايا,ابو احمد للهدايا,"11 ش حسنى مبارك - عزبة العسيلى - كفر برك الخيام, كرداسة, الجيزة.",557163
محلات هدايا,ابو الدهب للهدايا,"145 ش فيصل, الكوم الاخضر, فيصل, الجيزة.",510875
محلات هدايا,ابو العربى,"ش محمود شرف, طره, القاهرة.",403761
محلات هدايا,ابو العز,"23 ش 15 مايو - ارض نوبار, شبرا الخيمة, القليوبية.",206285
محلات هدايا,ابو المجد,"ش السوق, الرياض, كفر الشيخ.",365789
محلات هدايا,ابو النور للهدايا,"4 ش النقراشى, دمياط, دمياط.",505262
محلات هدايا,ابو بلاش,"ش جمال عبد الناصر, الحوامدية, الجيزة.",200120
محلات هدايا,ابو بندق للهدايا,"31 ش الجزائر, الزاوية الحمراء, القاهرة.",568667
محلات هدايا,ابو خالد للهدايا,"129 ش فيصل, الكوم الاخضر, فيصل, الجيزة.",510901
محلات هدايا,ابو زيد,"2 ش عتاقة, حى الاربعين, السويس.",295821
محلات هدايا,ابو عكة,"70 ش صفية زغلول, المنشية, الاسكندرية.",468404
محلات هدايا,ابو غريب,"1 ش الجيش, النمسا, السويس.",298084
محلات هدايا,ابو مازن للهدايا,"20 ش القلعة, الحلمية الجديدة, القاهرة.",531275
محلات هدايا,اتش ام بى,"ش السباعى, كفر صقر, الشرقية.",351704
محلات هدايا,اتش جى,"ش سعد زغلول, زفتى, الغربية.",336141
محلات هدايا,اتش دى دوم,"الشارع التجارى تقاطع ش محمد على, العرب, بور سعيد.",582831
محلات هدايا,اجمد واحد,"74 ش عز الدين عمر, الطالبية, الهرم, الجيزة.",416035
محلات هدايا,اجمل عنقود,"3 ش العشرين, فيصل, الجيزة.",416988
محلات هدايا,اجمل للهدايا والعطور,"5 ش عبد الباقى, دمياط, دمياط.",507438
محلات هدايا,احلى عنقود,"2 ش احمد عبد الفتاح, فيصل, الجيزة.",419346
محلات هدايا,احلى عنقود,"1 ش الحورس - ارض الحداد, امبابة, الجيزة.",575222
محلات هدايا,احلى هدية,"28 ش الامام ابو حنيفة, بور فؤاد, بور سعيد.",379456
محلات هدايا,اختار بنفسك للهدايا,"3 ش عبد الحميد عثمان, عين شمس, القاهرة.",420974
محلات هدايا,اخترنا لك,"كم 16 - طريق اسكندرية مطروح الصحراوى, الهانوفيل, الاسكندرية.",226372
محلات هدايا,اخر العنقود,"17 مساكن اطلس -, مدينة السلام, القاهرة.",392629
محلات هدايا,اخر العنقود,"2 ش عبد القاهر الجرجانى, الحى السابع, مدينة نصر, القاهرة.",678292
محلات هدايا,اخر العنقود,"61 عمارات صقر قريش ش النصر, مساكن شيراتون, مصر الجديدة, القاهرة.",679475
محلات هدايا,اخر العنقود,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",681181
