Category,Name,Address,ID
خدمات نقل ولوجيستيات,مارين يونيتد جروب للتخزين الجمركى والاعمال اللوجستية,"المبنى الاستثمارى - مكتب 11, الدور 5, ميناء الاسكندرية, الجمرك, الاسكندرية.",689710
خدمات نقل ولوجيستيات,كون فريت للاستشارات الملاحية والتخزين الجمركى,"المبنى الاستثمارى, الدور 2, ميناء الاسكندرية, الجمرك, الاسكندرية.",693116
خدمات نقل ولوجيستيات,اكسبيرت للشحن واللوجيستيات مصر,"1 ن ش 20, حدائق الاهرام, الهرم, الجيزة.",693823
خدمات نقل ولوجيستيات,الأكحل للشحن والتفريغ والنقل والأعمال البحرية,"51 برج الطماوى ش قبو الملاح, الدور 6, الجمرك, الاسكندرية.",688451
خدمات نقل ولوجيستيات,ابو هاشم جروب للتخزين والنقل والاعمال اللوجيستية,"ش الامام, متفرع من ش الامان, القبارى, الاسكندرية.",631938
خدمات نقل ولوجيستيات,سبيد للتغليف والنقل والتوريدات,"31 ش ادريس, متفرع من ش الوحدة, امبابة, الجيزة.",408113
خدمات نقل ولوجيستيات,شركة عبد الدايم للنقل البرى,", الاردنية - مجمع عبد المقصود التجارى, العاشر من رمضان, الشرقية.",690092
خدمات نقل ولوجيستيات,شركة اسكندرية لبيع وخدمات الحاويات,"طريق مصر اسكندرية الصحراوى, زاوية عبد القادر ش مسجد ال ياسر عبد القادر, مرغم, الاسكندرية.",564372
خدمات نقل ولوجيستيات,انترناشيونال كارجو سيرفيس,"19 ش شمس الدين الذهبى, مصر الجديدة, القاهرة.",124149
خدمات نقل ولوجيستيات,اف ام اتش لوجيستيكس,"40 ش صفية زغلول - الدور 5 شقة 24, محطة الرمل, الاسكندرية.",602496
خدمات نقل ولوجيستيات,العياد للتخليص الجمركى والنقل,", ميناء دمياط - مبنى خدمة العملاء - دور 4 - مكتب A402, دمياط, دمياط.",609114
خدمات نقل ولوجيستيات,بريدج جلوبال لوجيستكس,"8 ميديكال تاور ش كلية الطب, الدور 8, محطة الرمل, الاسكندرية.",459783
خدمات نقل ولوجيستيات,شركة النظم الحديثة لخدمات النقل,"مبنى الكونكورد الادارى - ش الغرفة التجارية, المنشية, الاسكندرية.",64556
خدمات نقل ولوجيستيات,ابناء زكى البيلى,"ش الثورة, بلقاس, الدقهلية.",360742
خدمات نقل ولوجيستيات,ابناء طلبة شاهين للنقل,"107 ش ترعة الشعراء - حى الشعراء, دمياط, دمياط.",507816
خدمات نقل ولوجيستيات,ابناء نور الكلحى للنقل,"ش مجلس المدينة, ادفو, اسوان.",662772
خدمات نقل ولوجيستيات,ابو احمد للرحلات,"203 ش عمر بن الخطاب متفرع من ش جمال عبد الناصر, جسر السويس, القاهرة.",480291
خدمات نقل ولوجيستيات,ابو اسلام للنقل الثقيل,"18 ش ترعة بشتيل - المنيرة الغربية, امبابة, الجيزة.",538940
خدمات نقل ولوجيستيات,ابو العزايم للنقل والشحن,"24 ش الجيش, عباسية, القاهرة.",472099
خدمات نقل ولوجيستيات,اجروفارم للنقل,"95 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",678226
خدمات نقل ولوجيستيات,اجياد لخدمات النقل,"الاردنية, العاشر من رمضان, الشرقية.",634260
خدمات نقل ولوجيستيات,احنا العرب للنقل,"24 ميدان ابو غريب, طما, سوهاج.",460163
خدمات نقل ولوجيستيات,ارامكو للخدمات اللوجستية والشحن الدولى,"275 ش امتداد رمسيس 2, مدينة نصر, القاهرة.",688016
خدمات نقل ولوجيستيات,اس ام اس لوجيستيكس,"6 عمارات الاتصالات ش سيد داوود, الشقة 23, الدور 2, تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",499806
خدمات نقل ولوجيستيات,اسلام علام للنقل,"32 ش رمضان الليثى ميدان المطبعة, دار السلام, القاهرة.",507314
خدمات نقل ولوجيستيات,ال سليم,"3 ش السيد عبد المنعم فريد, امبابة, الجيزة.",356272
خدمات نقل ولوجيستيات,ال فرحات,"2 ش ترعة الجندى - الوايلى الكبير, حدائق القبة, القاهرة.",401348
خدمات نقل ولوجيستيات,الاخوة للنقل,"1 ش رجب العسيلى - المنيرة الغربية, امبابة, الجيزة.",539551
خدمات نقل ولوجيستيات,الاخوة للنقل,"72 ش القومية العربية, امبابة, الجيزة.",482243
خدمات نقل ولوجيستيات,الاسد لنقل المواد البترولية,", عزبة الكوم, ايتاى البارود, البحيرة.",636868
خدمات نقل ولوجيستيات,الاسراء للنقل,"68 طريق كفر حمزة, شبين القناطر, القليوبية.",518199
خدمات نقل ولوجيستيات,الامانة للنقل,"3 ش فضة, البيطاش, الاسكندرية.",102776
خدمات نقل ولوجيستيات,الامناء لنقل الموبيليا,"ش ابو سليمان, ميدان الساعة, الاسكندرية.",551847
خدمات نقل ولوجيستيات,الاهرام الاوروبية,"ش الامل متفرع من ش المدير - حى الزهور, الزقازيق, الشرقية.",430203
خدمات نقل ولوجيستيات,الايمان,"ش صيدناوى, البدرشين, الجيزة.",378826
خدمات نقل ولوجيستيات,البحر الاحمر لخدمات النقل,"القطعة 272, مدينة السلام 2, عتاقة, السويس.",651766
خدمات نقل ولوجيستيات,البحيرة لخدمات النقل,"طريق اسكندرية القاهرة الزراعى, بوابة ابيس, ابيس, الاسكندرية.",654351
خدمات نقل ولوجيستيات,البركة استيل - محمود الجارحى,"1 برج المنصورية ش الملك فيصل, فيصل, الجيزة.",487549
خدمات نقل ولوجيستيات,البركة للنقل,"19 عمارات السعودية ش النزهة, مدينة نصر, القاهرة.",665439
خدمات نقل ولوجيستيات,البسنت لمقاولات النقل,"40 ش كورنيش الدخيلة, الدخيلة, الاسكندرية.",474430
خدمات نقل ولوجيستيات,التقوى للنقل,"15 ش الخمسين, الدور 6, المعادى, القاهرة.",683351
خدمات نقل ولوجيستيات,الجبالى للنقل,"91 ش ترعة جزيرة بدران, شبرا, القاهرة.",434742
خدمات نقل ولوجيستيات,الجعفرى,"314 ش بورسعيد, باب الخلق, القاهرة.",192019
خدمات نقل ولوجيستيات,الحاج عطا للنقل,"89 ش ترعة جزيرة بدران, شبرا, القاهرة.",434741
خدمات نقل ولوجيستيات,الحاج على,"23 ش التمبكشة, الجمالية, القاهرة.",365274
خدمات نقل ولوجيستيات,الحسينى للمقاولات والتوريدات والنقل والخدمات البترولية,"11 برج الشاهد ش جمال الدين دويدار, الشقة 202, الدور 2, متفرع من اخر ش عباس العقاد, مدينة نصر, القاهرة.",440480
خدمات نقل ولوجيستيات,الحضرى للنقل,", المبنى الاستثمارى الجديد, دمياط, دمياط.",677849
خدمات نقل ولوجيستيات,الحلموشى للنقل,"1 ش النصر, الشقة 23, الدور 3, برج ابن خلدون الادارى, المنشية, الاسكندرية.",146288
خدمات نقل ولوجيستيات,الدولية للنقل,"محلية 6 - محور السادات - الحى الاول, مدينة العبور, القليوبية.",522532
خدمات نقل ولوجيستيات,الدولية لنقل ورفع الموبيليا,"اول ش احمد ابو سليمان من ميدان الساعة, ميدان الساعة, الاسكندرية.",546066
خدمات نقل ولوجيستيات,الرباح للنقل,"95 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",678317
خدمات نقل ولوجيستيات,الرحمة,"السوق التجارى, عزبة النخل, القاهرة.",388595
خدمات نقل ولوجيستيات,الرضا,"10 س, حدائق الاهرام, الهرم, الجيزة.",452122
خدمات نقل ولوجيستيات,الرضا لنقل المواد البترولية,"7 ش محمد نجيب, المرج الجديدة, القاهرة.",638254
خدمات نقل ولوجيستيات,الرملى للنقل,"25 ش غرب السكة الحديد, البساتين, القاهرة.",504093
خدمات نقل ولوجيستيات,الزهور للنقل,"بلوك 122 ش المخيم الدائم, الحى السادس, مدينة نصر, القاهرة.",669138
خدمات نقل ولوجيستيات,السخن للنقل,"13 ش عبد المنعم موسى, بنها, القليوبية.",521640
خدمات نقل ولوجيستيات,السعد,"102 ش عثمان محرم, العمرانية الغربية, الهرم, الجيزة.",416715
خدمات نقل ولوجيستيات,السلام للنقل,"10 ش تحسين فرغلى, مدينة نصر, القاهرة.",686243
خدمات نقل ولوجيستيات,السويسى للنقل,"91 ش الصرف الصحى, الخصوص, القليوبية.",494809
خدمات نقل ولوجيستيات,الشرق للبترول,", هلا, ميت غمر, الدقهلية.",685702
خدمات نقل ولوجيستيات,الشرق للنقل,"14 ش د. عبد الوهاب, شبرا, القاهرة.",431434
خدمات نقل ولوجيستيات,الشركة العالمية للنقل الدولى,"33 ش الجيش, العتبة, القاهرة.",109096
خدمات نقل ولوجيستيات,الشركة المتحدة اللوجستية - امداد,"22 ش لوساكا, الدور 1, متفرع من ش احمد فخرى, الحى الثامن, مدينة نصر, القاهرة.",386481
خدمات نقل ولوجيستيات,الشلقانى,"39 ش الصحة - عزبة النخل الشرقية, عزبة النخل, القاهرة.",472443
خدمات نقل ولوجيستيات,الشهيد محمد عبد المنعم شعبان لعموم النقل,"45 ش الشهيد مصطفى شعبان متفرع من ش جميلة بوحريد, السيوف, الاسكندرية.",148310
خدمات نقل ولوجيستيات,الشيماء للنقل والرحلات,"البراجيل, البراجيل, الجيزة.",668727
خدمات نقل ولوجيستيات,الشيمى للنقل,"طريق برج العرب, كينج مريوط, الاسكندرية.",681069
خدمات نقل ولوجيستيات,الصالح للنقل,"12 ش النصر, المنشية, الاسكندرية.",528179
خدمات نقل ولوجيستيات,الصفا للنقل,"22 ش نادى الرماية - زهراء مصر القديمة, مصر القديمة, القاهرة.",518828
خدمات نقل ولوجيستيات,الصفا والمروة للنقل,"13 ش ابراهيم وصفى, عزبة النخل, القاهرة.",527988
خدمات نقل ولوجيستيات,الصفوة للنقل الثقيل,"ش الجمرك, برج الفاتح, الجمرك, الاسكندرية.",686955
خدمات نقل ولوجيستيات,الصياد للنقل,"ش الحديد والصلب متفرع من طريق اسكندرية مطروح الصحراوى, العجمى, الاسكندرية.",430990
خدمات نقل ولوجيستيات,الطائر الازرق لنقل العمال والرحلات والسياحة,"3 ش ترعة الحلو, متفرع من ش المنصورية, ابراج سفنكس, نزلة السمان, الهرم, الجيزة.",545031
خدمات نقل ولوجيستيات,الطريق الماسى لنقل البضائع,"14 ش عمر المختار, المطرية, القاهرة.",691372
خدمات نقل ولوجيستيات,الطيار اكسبريس,"7 ش محمود فهمى المعمارى, الظاهر, القاهرة.",484523
خدمات نقل ولوجيستيات,الظافر للنقل,"142 ش الجيش, باب الشعرية, القاهرة.",427797
خدمات نقل ولوجيستيات,الظافر للنقل,"79 ش الظاهر، متفرع من ش بورسعيد, الظاهر, القاهرة.",459827
خدمات نقل ولوجيستيات,العاصمة للخدمات البترولية,"3 ش حدائق القبة, حدائق القبة, القاهرة.",662433
خدمات نقل ولوجيستيات,العالمية للخدمات اللوجيستية,"ش 23 يوليو, العريش, شمال سيناء.",693483
خدمات نقل ولوجيستيات,العالمية للمستودعات - ايجى ستورز,"37 ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",177996
خدمات نقل ولوجيستيات,العالمية للنقل والشحن,"ش الجيش, كفر الزيات, الغربية.",539950
خدمات نقل ولوجيستيات,العبد لنقل العمال,"7 ش ابراهيم فتلة متفرع من ش طوسون, روض الفرج, القاهرة.",532358
خدمات نقل ولوجيستيات,العزبى للنقل,"9 ش النصر, المنشية, الاسكندرية.",659656
خدمات نقل ولوجيستيات,العزبى للنقل,"ش الجلاء, دمياط, دمياط.",503429
خدمات نقل ولوجيستيات,الغرباوى للنقل,"طريق العوايد, ابيس, الاسكندرية.",298742
خدمات نقل ولوجيستيات,الفا لوجستك,"القطعة الثامنة - - المنطقة الصناعية السادسة, السادس من اكتوبر, الجيزة.",455318
خدمات نقل ولوجيستيات,الفاروق لخدمات النقل,", ., مساكن شيراتون, مصر الجديدة, القاهرة.",672216
خدمات نقل ولوجيستيات,الفخرانى لنقل الاثاث,"166 ش جسر السويسالالف مسكن, جسر السويس, القاهرة.",623861
خدمات نقل ولوجيستيات,الفرعونية للنقل والتخليص الجمركي,"9 ش النصر, المنشية, الاسكندرية.",686519
خدمات نقل ولوجيستيات,الفيروز للنقل,"ش البيطاش, العجمى, الاسكندرية.",666766
خدمات نقل ولوجيستيات,المبارك للنقل,"46 ش ابن منقذ, السيوف شماعة, الاسكندرية.",670521
خدمات نقل ولوجيستيات,المتحدة لخدمات النقل,"ش نبيل عبد المنعم, متفرع من ش ناصر, حى السويس, السويس.",638311
خدمات نقل ولوجيستيات,المتخصص لخدمات النقل والاعمال اللوجيستية,"4 و مربع الوزراء - قطعة 1166, مساكن شيراتون, مصر الجديدة, القاهرة.",545983
خدمات نقل ولوجيستيات,المتميز للنقل,", المبنى الاستثمارى, دمياط الجديدة, دمياط.",643254
خدمات نقل ولوجيستيات,المحبة للنقل,"ش الطور, تقاطع ش التمساح, حى الشرق, بور سعيد.",647763
خدمات نقل ولوجيستيات,المدينة المنورة لنقل الموبيليا,"25 ش الجيش, العتبة, القاهرة.",267225
خدمات نقل ولوجيستيات,المرمر للنقل والتوريدات والمقاولات,"., اسيوط, اسيوط.",544047
خدمات نقل ولوجيستيات,المروان,"8 مساكن السوايسة -, حدائق القبة, القاهرة.",401469
خدمات نقل ولوجيستيات,المصرية لخدمات التخزين,"1125 كورنيش النيل - ماسبيرو, رملة بولاق, القاهرة.",451589
خدمات نقل ولوجيستيات,المصرية للنقل والتوريدات,"48 ش 15 مايو, شبرا الخيمة, القليوبية.",418876
خدمات نقل ولوجيستيات,المصطفي للنقل,", الاردنية, العاشر من رمضان, الشرقية.",679102
خدمات نقل ولوجيستيات,المصطفى لنقل الموبيليا,"6 ش الروضة متفرع من ش دمنهور, ميدان الجامع, مصر الجديدة, القاهرة.",501250
خدمات نقل ولوجيستيات,المناهرى انترناشونال,"60 ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",628324
خدمات نقل ولوجيستيات,المنصورى للتجارة والتوريدات,"3 ش زين الدين, متفرع من ش الترعة البولاقية, شبرا, القاهرة.",447480
خدمات نقل ولوجيستيات,المنير,"51 ش ترعة الجندى, الوايلى الكبير, حدائق القبة, القاهرة.",618830
خدمات نقل ولوجيستيات,المودة لنقل الموبيليا,"اول ش احمد ابو سليمان من ميدان الساعة, ميدان الساعة, الاسكندرية.",546067
خدمات نقل ولوجيستيات,الناقل,"7 أ عمارات العرائس - ش السودان, المهندسين, الجيزة.",503929
خدمات نقل ولوجيستيات,النور لخدمات النقل,", ميدان المساجد, الجمرك, الاسكندرية.",644909
خدمات نقل ولوجيستيات,النور للنقل والمقاولات,"8 ش عمرو بن العاص متفرع من ش المطبعة, المطبعة, فيصل, الجيزة.",487761
خدمات نقل ولوجيستيات,النورس لنقل ورفع الموبيليات,"ش احمد ابو سليمان متفرع من ش الساعة, ميدان الساعة, الاسكندرية.",546097
خدمات نقل ولوجيستيات,الهادى,"61 ش الاشتراكية, العمرانية الغربية, الهرم, الجيزة.",310985
خدمات نقل ولوجيستيات,الهلال لنقل وتغليف الاثاث,"26 ش بين الجناين متفرع من ميدان الجيش, الظاهر, القاهرة.",541493
خدمات نقل ولوجيستيات,الوردانى للنقل والتوريدات,"بلوك 5 - ش احمد الزمر متفرع من ش زاكر حسين, مدينة نصر, القاهرة.",445260
خدمات نقل ولوجيستيات,الوليد لنقل الاثاث,"43 ش عثمان ابن عفان بجوار الدائرى - القومية العربية - ارض السادات, امبابة, الجيزة.",634201
خدمات نقل ولوجيستيات,الونش لرفع ونقل الموبيليا,"3 ش سيكلام متفرع من صلاح الدين, السيوف شماعة, الاسكندرية.",588990
