Category,Name,Address,ID
كشري,ابو حسان,"61 ش مجلس الامة, السيدة زينب, القاهرة.",369867
كشري,ابو شامة,"98 ش عمرو بن العاص, فيصل, الجيزة.",254235
كشري,ابو عواد,"1 ش الاقصر, امبابة, الجيزة.",201070
كشري,ابو محمد,"75 ش المنشية, فيصل, الجيزة.",254683
كشري,ابو ناصر,"13 ش الشهداء تقاطع ش الغرفة التجارية, محطة الرمل, الاسكندرية.",49352
كشري,ابو نواس,"مساكن اطلس - ش 9, المقطم, القاهرة.",203018
كشري,ابو وليد,"21 ش العامل الاول, امبابة, الجيزة.",114157
كشري,اشرف لهاليبو,"61 ش الغريب - ميت عقبة, المهندسين, الجيزة.",383772
كشري,افندينا,"2 ش ايران, ميدان الدقى, الدقى, الجيزة.",105778
كشري,افندينا,"2 ش ترعة سنارة تقاطع ش النادى, طنطا, الغربية.",582636
كشري,افندينا الخديوى,"4 ش المعهد الدينى, حدائق المعادى, المعادى, القاهرة.",524060
كشري,الاخوه,"1 ش اللبينى, المريوطية, الهرم, الجيزة.",567594
كشري,الاستاذ,"بلوك 1 - ش الوحدة, امبابة, الجيزة.",264531
كشري,الاصدقاء,"مساكن حجازى -, شبرا الخيمة, القليوبية.",248762
كشري,الاصلى,"ش العشيشى, شبرا الخيمة, القليوبية.",418115
كشري,الامبراطور,"100 ش احمد زكى, دار السلام, القاهرة.",334084
كشري,الباشا,"كورنيش النيل, المعصرة, القاهرة.",337012
كشري,الباشا,"50 ب - الحى السويسرى, الحى العاشر, مدينة نصر, القاهرة.",450935
كشري,الباشا,"ش سعد زغلول, الحوامدية, الجيزة.",202961
كشري,الباشا,"61 ش ترعة عبد العال 2, فيصل, الجيزة.",218847
كشري,البرنس,"21 ش التحرير, بولاق الدكرور, الجيزة.",216769
كشري,الجزايرلى,"ش بورسعيد, شبراخيت, البحيرة.",368505
كشري,الجزيرة,"51 ش 26 يوليو, المهندسين, الجيزة.",382940
كشري,الحجاز,"ش جيهان, المنصورة, الدقهلية.",237818
كشري,الحرمين,"ش الزهور - برج الزهور, الحضرة, الاسكندرية.",258528
كشري,الحسين,"39 ش ترعة القبة, حدائق القبة, القاهرة.",255082
كشري,الخديوى,"81 ش ابن الحكم, الزيتون, القاهرة.",256861
كشري,الخديوى,"2 ش ابراهيم بحر, فيصل, الجيزة.",252849
كشري,الدكتور,"93 ش المطرية, المطرية, القاهرة.",169619
كشري,الدكتور,"ش الجمهورية, بيلا, كفر الشيخ.",362789
كشري,الدلوعة مى,"ش بورسعيد, سرس الليان, المنوفية.",376707
كشري,الزعبلاوى,"1 ش ايزيس, راغب, الاسكندرية.",23831
كشري,الزعيم,"2 ش العشرين, عين شمس الشرقية, القاهرة.",478469
كشري,الزعيم,"46 ش عين شمس - عزبة النخل الشرقية, عزبة النخل, القاهرة.",472546
كشري,الزعيم,"ش البحر, اولاد صقر, الشرقية.",366346
كشري,الزعيم,"ش عبد المنعم رياض, بركة السبع, المنوفية.",319760
كشري,الزعيم,"1 ش القومية العربية, امبابة, الجيزة.",201247
كشري,الزعيم,"ش خالد بن الوليد, ميامى, الاسكندرية.",621873
