Category,Name,Address,ID
دكتور تجميل,عيادات تشينج مى,"76 ش الثورة, الدور 8, ارض الجولف, مصر الجديدة, القاهرة.",568763
دكتور تجميل,مركز تجميل جلو,"30 ش سوريا, الدور 1, رشدى, الاسكندرية.",457420
دكتور تجميل,عيادات حور,"20 شارع على امين, امتداد مصطفى النحاس, مدينة نصر, القاهرة.",519389
دكتور تجميل,د. محمود نور الدين الطنيخى لجراحة التجميل,"21 ش البطل احمد عبد العزيز, المهندسين, الجيزة.",694763
دكتور تجميل,دكتور عادل حسني للتجميل,"ميديكال بارك بريميير - عيادة 239, الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",352739
دكتور تجميل,ستارز ليزر كلينيك - د. ماجد الشيخ,"96 برج الاطباء ش مصطفى النحاس, مدينة نصر, القاهرة.",314939
دكتور تجميل,د. هاجر فؤاد أخصائية الامراض الجلدية والتجميل والليزر,"284 ش جمال عبد الناصر, ميامى, الاسكندرية.",668847
دكتور تجميل,عيادة د. صفا منير للجلدية والتجميل والليزر,"20 برج سقارة ٢ ش سوريا, الدور 2, رشدى, الاسكندرية.",689391
دكتور تجميل,روزاليا بيوتى سنتر,"28 ش عباس العقاد, مدينة نصر, القاهرة.",695246
دكتور تجميل,انسيد اوت بيوتى كلينك,"110 ش الميرغنى, الدور 2, مصر الجديدة, القاهرة.",602193
دكتور تجميل,د. احمد عبد العزيز تعلب,", محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",463173
دكتور تجميل,عيادة توازن التخصصية - تغذية علاجية وامراض جلدية - د. هالة لطفى,"19 عمارة المدينة المنورة ش الصفا متفرع من شارع ادموند فيرمونت, الدور 1, سموحة, الاسكندرية.",342058
دكتور تجميل,عيادة د. عادل محمود للتوليد والتجميل النسائى والحقن المجهرى والمناظير,"22 ش عبد القاهر الجرجانى - الحى السابع, مدينة نصر, القاهرة.",609214
دكتور تجميل,كيرفى كلينيك,"21 ش القبة, ميدان روكسى, روكسى, مصر الجديدة, القاهرة.",596503
دكتور تجميل,مركز د. احمد اسماعيل,"5 ش القصر العيني - الدور 2, وسط البلد, القاهرة.",486055
دكتور تجميل,مركز مصر لليزر,"75 عمارة د بانوراما سموحة شارع 14 مايو, الدور 1, سموحة, الاسكندرية.",514540
دكتور تجميل,ازهى ليزر كلينك,"القطعة 28أ ش عبد الله بن سلامة, متفرع من ش التسعين الشمالى, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",673206
دكتور تجميل,اس ويلنس كلينكس,"2 /2 عمارات نيركو ش الزهراء, الشطر الخامس, زهراء المعادى, المعادى, القاهرة.",667219
دكتور تجميل,افروديت كلينيكس,"300 عمارات الاتحادية ش الهرم, الشقة 11, الدور 1, الطالبية, الهرم, الجيزة.",680499
دكتور تجميل,ال كوزمو كلينيك,"القطعة 44, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",587293
دكتور تجميل,الجمل كلينيك,"9 ش عبد الحميد لطفى, الشقة 302, الدور 3, متفرع من ش البطل احمد عبد العزيز, برج الاسراء, المهندسين, الجيزة.",589162
دكتور تجميل,الروبى كلينيك,"107 ش الحجاز, الدور 1, ميدان المحكمة, مصر الجديدة, القاهرة.",448788
