Category,Name,Address,ID
ورق بردي,اخناتون,"ش الشيراتون, سقالة, الغردقة.",246855
ورق بردي,اخناتون,"., خليج نعمة, شرم الشيخ.",259909
ورق بردي,اخناتون للبرديات,"14 ش 2, امبابة, الجيزة.",264438
ورق بردي,اطلنتس للبرديات,"28 ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",355255
ورق بردي,الاهرام,"7 ش جمال عبد الناصر, نزلة السمان, الهرم, الجيزة.",355216
ورق بردي,الزياد للبرديات,"ش اليمانى, السوق القديم, شرم الشيخ.",258901
ورق بردي,المتحف الفرعونى للبرديات,"108 ش الهرم, الهرم, الجيزة.",171643
ورق بردي,المتحف المصرى للبرديات,"ش الشيراتون, سقالة, الغردقة.",248154
ورق بردي,المتحف الوطنى للبرديات,"65 ش زغلول, نزلة السمان, الهرم, الجيزة.",67424
ورق بردي,المركز القومى للبرديات,"28 ميدان ابو الهول, مشعل, الهرم, الجيزة.",355221
ورق بردي,انتيا كوارياتو بابيرو,"., خليج نعمة, شرم الشيخ.",259893
ورق بردي,انى للبرديات,"67 ش الهرم, الهرم, الجيزة.",170227
ورق بردي,بابيروس شوب,"., طريق القرى, الغردقة.",453406
ورق بردي,بازار دجلى اميسى,"., السوق القديم, شرم الشيخ.",196244
ورق بردي,برديات اتش اتش,"., خليج نبق, شرم الشيخ.",260602
ورق بردي,برديات جوزيف,"ش الشيراتون, طريق القرى, الغردقة.",247883
ورق بردي,برديات رافيلو,"ش اليمانى, السوق القديم, شرم الشيخ.",259812
ورق بردي,برديات ساشا,"السوق التجارى, السوق القديم, شرم الشيخ.",258726
ورق بردي,بيت البرديات القديم,"8 وكالة المكواة, خان الخليلى, القاهرة.",175044
ورق بردي,تانيس للبرديات,"85 ش زغلول, الهرم, الجيزة.",273992
ورق بردي,تركواز للبرديات,"68 ش الهرم, المريوطية, الهرم, الجيزة.",253733
ورق بردي,توت عنخ امون,"- الممشى السياحى, طريق القرى, الغردقة.",248197
ورق بردي,توماك للبرديات,"ش الشيراتون, سقالة, الغردقة.",247154
ورق بردي,جيزة للبرديات,"., الهرم, الجيزة.",198540
ورق بردي,حسنى خطاب للبرديات,"ش جمال عبد الناصر, نزلة السمان, الهرم, الجيزة.",355205
ورق بردي,حورس,"., السوق القديم, شرم الشيخ.",258713
ورق بردي,خطاب للبرديات,"الغرقانة, خليج نبق, شرم الشيخ.",257084
ورق بردي,خوفو للبرديات,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",355201
ورق بردي,دلتا,"ش البنوك, هضبة ام السيد, شرم الشيخ.",258336
ورق بردي,دمترى للبرديات,"ش الشيراتون, سقالة, الغردقة.",246357
ورق بردي,رمسيس,"ِِِش الشيراتون, سقالة, الغردقة.",246330
ورق بردي,زكريا,"., السوق القديم, شرم الشيخ.",258932
ورق بردي,سلكت للبرديات,"216 ش محمد سعيد, الكوثر, الغردقة.",458825
ورق بردي,لفلى بازار,"1 ابراج المصرى - ش الجزيرة الوسطى متفرع من ش اسماعيل محمد, الزمالك, القاهرة.",189052
ورق بردي,متحف ابو سمبل للبردي,"., خليج نبق, شرم الشيخ.",260618
ورق بردي,متحف الاهرام للبرديات,"65 ش الهرم, الهرم, الجيزة.",171698
ورق بردي,متحف البردى,"., طريق القرى, الغردقة.",246769
ورق بردي,متحف الفن,"ش مطحن الاتحاد, الاقصر, الاقصر.",124813
ورق بردي,متحف القاهرة للبرديات,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",355185
ورق بردي,متحف ايزيس للبرديات,"ميدان ابو الهول, مشعل, الهرم, الجيزة.",355224
ورق بردي,متحف نفرتيتى للبرديات,"49 ش ابو الهول السياحى, نزلة السمان, الهرم, الجيزة.",381777
ورق بردي,مركز الغورى للبرديات,"5 ش حمام الغورية, الازهر, القاهرة.",138575
ورق بردي,معهد ابو سمبل للبرديات,"55 ش ابو الهول, المريوطية, الهرم, الجيزة.",354183
ورق بردي,معهد الغردقة للبرديات,"ش ابو حسن الشاذلى متفرع من طريق النصر, الدهار, الغردقة.",247085
ورق بردي,معهد الكاتب المصرى للبرديات,"35 ش الهرم, مشعل, الهرم, الجيزة.",313306
ورق بردي,معهد سفنكس للبرديات,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",355203
ورق بردي,معهد مصر للبرديات,"1 ش ابو الهول, الهرم, الجيزة.",171702
ورق بردي,مون لايت,"64 ش جوهر القائد, الموسكى, القاهرة.",177485
ورق بردي,ميشيل,"., خليج نعمة, شرم الشيخ.",259817
ورق بردي,نفرتيتى,"- الممشى السياحى, طريق القرى, الغردقة.",247945
ورق بردي,نو بودى,"ش الشيراتون, طريق القرى, الغردقة.",247947
ورق بردي,نوارة,"- الممشى السياحى, طريق القرى, الغردقة.",248179
ورق بردي,نيو سنفرو للبرديات,"4 ش محمد زغلول متفرع من ش سعد زغلول, مشعل, الهرم, الجيزة.",278449
ورق بردي,نيو فرست ايجيبت للبرديات,"ميدان ابو الهول, مشعل, الهرم, الجيزة.",355227
ورق بردي,نيو ميرت بازار,"47 ش الهرم, الهرم, الجيزة.",171790
ورق بردي,نيو هاميس للبرديات,"ش معبد الكرنك, الاقصر, الاقصر.",126582
ورق بردي,هابينس بازار,"1 ش يوسف كامل - ش الجزيرة الوسطى سابقا, الزمالك, القاهرة.",429176
