Category,Name,Address,ID
تأمين,وادى النيل للخدمات الطبية والعلاجية,"28 ش الشهيد على صالح, الماظة, مصر الجديدة, القاهرة.",172108
تأمين,المتحدون العرب للوساطة التأمينية,"61 ش سوريا, المهندسين, الجيزة.",125555
تأمين,ميدى كير الشرق الاوسط,"20 ش عائشة التيمورية, الدور 12, جاردن سيتى, القاهرة.",44422
تأمين,اسكان للتأمين - شركة تأمين مساهمة مصرية,"21 / 23 برج النيل الادارى ش مراد, الجيزة, الجيزة.",191343
تأمين,ابو بكر احمد للوساطة التأمينية,"107 ش 9, المعادى الجديدة, المعادى, القاهرة.",693269
تأمين,اتش اى بى للوساطة التأمينية,"152 ش النزهة - الدور 4 شقة 44, سانت فاتيما, مصر الجديدة, القاهرة.",384107
تأمين,احمد نبيه وسيط تأمين,"11 عمارات العبور طريق صلاح سالم, الدور 13, مدينة نصر, القاهرة.",405846
تأمين,ادفايس للوساطة التأمينية,"4 ش الطيران, مدينة نصر, القاهرة.",671561
تأمين,اروب للتأمين مصر,"30 ش مصدق متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",466421
تأمين,اس اى بى - شام لوساطة التأمين,"10 ش كمال الدين حسين - الدور 2 شقة 8, مساكن شيراتون, مصر الجديدة, القاهرة.",577418
تأمين,اس اى للتأمين,"34 ش عباس العقاد, الدور 4, المنطقة الاولى, مدينة نصر, القاهرة.",628650
تأمين,اس تى اس ايجيبت,"29 ش سوريا, المهندسين, الجيزة.",581778
تأمين,اس تى لوساطة التأمين,"76 ش البحر الاعظم, المنيب, الجيزة.",669158
تأمين,استشاريون للرعاية الطبية,"43 ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",145346
تأمين,اشرف عنان لوساطة التأمين,"ابراج السعد - طريق المريوطية - الدور 6, المريوطية, الهرم, الجيزة.",406435
تأمين,افراد,"41 ش عبد المنعم رياض, الدور 4, المهندسين, الجيزة.",394891
تأمين,اكتوبر للتأمين,"20 ش عبد العزيز جاويش, عابدين, القاهرة.",688810
تأمين,اكسترا كير للخدمات الطبية,"3 ش 3, كورنيش المعادى, المعادى, القاهرة.",531635
تأمين,الاتحاد المصرى للتأمين,"10 ش ايران, متفرع من ش التحرير, الدقى, الجيزة.",117502
تأمين,الاطباء المتضامنون لادارة النظم الطبية,"15 / 6 المجاورة 14, الحى المتميز, السادس من اكتوبر, الجيزة.",98728
تأمين,الاهلى للخدمات الطبية - ايه ام سى,"57 برج الجامعة - ش مراد ميدان النهضة - الدور 8,12, الجيزة, الجيزة.",441238
تأمين,الاولى للخدمات الطبية,"القطاع الثانى - مركز المدينة - عمارة 233 - الدور 1, التجمع الخامس, القاهرة الجديدة, القاهرة.",326751
تأمين,الترا للخدمات الطبية,"7 ش البحرين, روكسى, مصر الجديدة, القاهرة.",140292
تأمين,الجمعية المصرية,"9 عمارات الاردنيةالمرحلة د، الاردنية, العاشر من رمضان, الشرقية.",622187
تأمين,الجمعية المصرية للتأمين التعاونى,"115 ش العباسية, عباسية, القاهرة.",55006
تأمين,الخبراء للتأمينات,"10 ش عبد الحليم شلتوت, المطبعة, فيصل, الجيزة.",656252
تأمين,الدلتا لتأمينات الحياه,"14 ش حسن محمد الرزاز - ش نوال سابقا -, العجوزة, الجيزة.",467366
تأمين,الدلتا لتأمينات الحياة,"14 ش حسن محمد الرزاز - ش نوال سابقا - الدور 5, العجوزة, الجيزة.",60033
تأمين,الدلتا للتأمين,"14 ش حسن محمد الرزاز, الدقى, الجيزة.",678375
تأمين,السيف هيلث كير,"برج المعادى بالاس ش 9, ميدان المحطة, سرايات المعادى, المعادى, القاهرة.",428952
تأمين,الشراع للوساطة التأمينية,"8 ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",541788
تأمين,الشركة البافارية للوساطة التأمينية,"فيلا 74 محور السادات, البنفسج 5, التجمع الاول, القاهرة الجديدة, القاهرة.",692231
تأمين,الشركة الدولية للوساطة التأمينية - اى اى بى سى,"40 ش محيى الدين ابو العز, الدقى, الجيزة.",434352
تأمين,الشركة المصرية الاماراتية لتأمين الحياة التكافلى,"3 ش ابو الفدا, الزمالك, القاهرة.",522517
تأمين,الشركة المصرية لضمان الصادرات - اى سى جى اى,"5 طريق النصر - الدور 4, المنطقة الاولى, مدينة نصر, القاهرة.",418798
تأمين,الطوخى,"69 ش يوسف صبرى, الحرفيين, القاهرة.",372292
تأمين,الفا كير للخدمات الطبية,"2 ابراج المهندسين - كورنيش النيل - الدور 4, كورنيش المعادى, المعادى, القاهرة.",261267
تأمين,الفا ميديكال كير,"10 ش السيسى متفرع من ش سوق التلات, القناطر الخيرية, القليوبية.",469082
تأمين,الفرعونية لوساطة التأمين,"2 ش طلعت حرب, وسط البلد, القاهرة.",433333
تأمين,اللبنانية السويسرية للتكافل - مصر,"4 ابراج عثمان - فاخر - كورنيش النيل, المعادى, القاهرة.",440122
تأمين,المجمعة المصرية للتأمين,"15 ميدان سعد زغلول, محطة الرمل, الاسكندرية.",273827
تأمين,المجموعة العربية المصرية,"ش المديرية, طنطا, الغربية.",337808
تأمين,المجموعة العربية المصرية للتأمين - جى اى جى,"13 ش المعهد الاشتراكى, روكسى, مصر الجديدة, القاهرة.",10986
تأمين,المجموعة المتحدة لوساطة التأمين,"4 ميدان الجمهورية المتحدة - متفرع من ش الاحرار, المهندسين, الجيزة.",432357
تأمين,المشرق للرعاية الطبية,"12 ش جمال سالم, الدور 3, متفرع من ش مصدق, الدقى, الجيزة.",152125
تأمين,المصرية الالمانية لوساطة التأمين,"القطعة 36 - ش 30, سقالة, الغردقة.",394270
تأمين,المصرية الاماراتية للخدمات الادارية,"26 ش عبد الوهاب خلاف, مصر الجديدة, القاهرة.",176304
تأمين,المصرية الفرنسية للرعاية الصحية - ايجيبت كير,"53 ش المراغى, العجوزة, الجيزة.",537290
تأمين,المصرية للاستشارات التأمينية,"8 ش نوح افندى, متفرع من ش السلطان حسين, الشلالات, الاسكندرية.",269373
تأمين,المصرية للتأمين التكافلى,"56 ش جامعة الدول العربية, المهندسين, الجيزة.",351603
تأمين,المصرية للتأمين التكافلى حياة - جى اى جى,"32 ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",307624
تأمين,المصرية للخدمات الطبية - ايجيميد,"54 ش عبد المنعم رياض, المهندسين, الجيزة.",54781
تأمين,المصرية للرعاية والخدمات الطبية,"حى الاردنية, العاشر من رمضان, الشرقية.",138567
تأمين,المكتب العربى للتأمين,"1 ش الجزيرة الوسطى, الزمالك, القاهرة.",17732
تأمين,المكتب المصرى للاستشارات التأمينية,"16 ش شريف, الشقة 32, الدور 3, وسط البلد, القاهرة.",150375
تأمين,المنشاوى للوساطة التأمينية,"2 ش عبد الحميد سعيد متفرع من ش طلعت حرب, وسط البلد, القاهرة.",580674
تأمين,المهندس للتأمين - ام اى سى,"3, ميدان المساحة, الدقى, الجيزة.",5549
تأمين,الوطنية للتأمين,"ش محور الشهيد - ش المخيم الدائم سابقا, عمارات الشرطة - برج أ, مدينة نصر, القاهرة.",687952
تأمين,الوفاء لتأمينات الحياة مصر,"ش على الرشيد, برج ستار كابيتال 1, مدينة نصر, القاهرة.",680436
تأمين,اليانت لخدمات التأمين,"القطعة 8007, الهضبة الوسطى - الحى السابع, المقطم, القاهرة.",638250
تأمين,اليانز مصر,"92 ش التحرير, برج ساريدار الطبى, الدقى, الجيزة.",44814
تأمين,اليكس كير,"209 ش ملك حفنى, سيدى بشر قبلى, الاسكندرية.",603161
تأمين,ام اس اس,"26 ش خالد بن الوليد, عين شمس, القاهرة.",276412
تأمين,ام جى ام لوساطة التأمين,"1357 كورنيش النيل, شبرا, القاهرة.",125741
تأمين,ام سى جروب لخدمات التأمين,"9 ش عبد الجليل , ميدان ابن سندر, منشية البكرى, مصر الجديدة, القاهرة.",127661
تأمين,امان للخدمات التأمينية,"12 /5 ش الجزائر الشطر السابع, المعادى الجديدة, المعادى, القاهرة.",504618
تأمين,امان للخدمات التأمينية,"80 ش الصناديلى متفرع من ش المحطة, الهرم, الجيزة.",565889
تأمين,امان للرعاية الطبية,"ش شمس الدين الذهبى, مدينة نصر, القاهرة.",680247
تأمين,امان ليك للتأمين,"فيلا 16 ش الامام البوصيرى, التجمع الاول, القاهرة الجديدة, القاهرة.",655258
تأمين,امجاد لوساطة التامين,"18 ش مصدق, الدقى, الجيزة.",660163
تأمين,أمنلى,"58 ش الثورة, الدور 2, مصر الجديدة, القاهرة.",678106
تأمين,أمير ثابت ملاك وهبة,"79 ش الميرغنى, الدور 6, مصر الجديدة, القاهرة.",685542
تأمين,امير مقار لوساطة التأمين,"29 ش رشدى متفرع من ش سوريا - الدور 1, رشدى, الاسكندرية.",257217
تأمين,اميس,"91 أ ش محمد حسنين هيكل, المنطقة السادسة, مدينة نصر, القاهرة.",130327
تأمين,انتر هيلث ايجيبت,"31 ش طرابلس - مكرم عبيد, مدينة نصر, القاهرة.",395249
تأمين,انترناشيونال سيتى هيلث,"7 ش النهضة متفرع من ش الطيران - الدور 1, مدينة نصر, القاهرة.",377877
تأمين,انشورانس اون لاين,"26 ش شريف, وسط البلد, القاهرة.",394148
تأمين,انشورانس سيرفيسز,"95 برج السلسلة - طريق 26 يوليو - الدور 4 شقة 409, الازاريطة, الاسكندرية.",194175
تأمين,اورينت للتأمين التكافلى,"14 ش الحجاز, ميدان المحكمة, مصر الجديدة, القاهرة.",464286
تأمين,اوميجا كير,"149 أ طريق سقارة السياحى - برج الزهراء, المريوطية, الهرم, الجيزة.",566556
تأمين,اى اى ام اس - الشركة المصرية الدولية للخدمات الطبية,"24 ش قناة السويس, ميدان سفير, مصر الجديدة, القاهرة.",119490
تأمين,اى بى - وسطاء تأمين,"23 ش زهراء المعادى، الشطر السادس, زهراء المعادى, المعادى, القاهرة.",389098
تأمين,ايجل للوساطة التامينية,"25 ش زيزينيا, المنطقة 38, التجمع الخامس, القاهرة الجديدة, القاهرة.",634841
تأمين,ايجى كروس اسيستانس,"عمارة شيراتون ستارز - ش الشيراتون ميدان العروسة - الدور 5, وسط البلد, الغردقة.",359148
تأمين,ايجى كير,"20 ش الطاقة, مشروع 27 عمارة, المنطقة السادسة, مدينة نصر, القاهرة.",63658
تأمين,ايجيبت لينك لوساطة التأمين,"87 ش المقريزى متفرع من ش الخليفة المأمون - الدور 8 شقة 803, روكسى, مصر الجديدة, القاهرة.",270743
تأمين,ايجيبت هيلثى لايف,"15 ش نادى الصيد, الدقى, الجيزة.",159871
تأمين,ايليت,"المحور المركزى, السادس من اكتوبر, الجيزة.",620104
تأمين,ايمدج كير للخدمات الطبية,"3 عمارات شباب المهندسين - , مدينة نصر, القاهرة.",180481
تأمين,ايمدج للحلول والاستشارات الطبية,"31 ش طرابلس, مكرم عبيد, مدينة نصر, القاهرة.",232811
تأمين,ايه اكس ايه ايجيبت,"القطعة 214 - ش التسعين - الحى الثانى, التجمع الخامس, القاهرة الجديدة, القاهرة.",258049
تأمين,ايه اند زد لوساطة التأمين الطبى,"18 ش الملحانى الدور 1, قليوب, القليوبية.",612877
تأمين,ايه اى جى ايجيبت للتأمين ش.م.م,"44 ش عبد المنعم رياض, الدور 1, المهندسين, الجيزة.",49863
تأمين,ايه اى جى للتأمينات,"45 ش 77, العرب, المعادى, القاهرة.",91676
تأمين,بابليك بارتنرز للوساطة التأمينية,"92 برج ساريدار ش التحرير - الدور 7, الدقى, الجيزة.",407908
تأمين,برو كونسلت,"8 ش عبد الرؤوف متفرع من ش تونس - من ش الجزائر - صقر قريش, المعادى الجديدة, المعادى, القاهرة.",586703
تأمين,بروفيشنال هيلث كير,"76 ش جامعة الدول العربية, المهندسين, الجيزة.",456563
تأمين,بروكراج,", بافريا 1, المعادى, القاهرة.",686730
تأمين,بروكرايدج انشورنس بروكرايدج,"الطريق الدائرى, كمباوند بافاريا تاون - برج A13, القطامية, القاهرة.",164264
تأمين,بروميد ايجيبت,"ميدان ماجدة - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",568899
تأمين,بوبا ايجيبت للتأمين,"55 ش 18, المعادى, القاهرة.",120564
تأمين,بيت التأمين المصرى السعودى,"15 ش مصدق, الدقى, الجيزة.",147482
تأمين,بيناس,"4 ش الشهيد احمد نبيل, متفرع من ش حسن عاصم, الزمالك, القاهرة.",664751
تأمين,بيوند سوليوشن,"5 ش 256, المعادى الجديدة, المعادى, القاهرة.",512473
تأمين,تأمين اون لاين,"16 د/3 ش معوض شفيق تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",437303
تأمين,تراى كير للرعاية الصحية,"6 ش محمود سامى البارودى, عباس العقاد, مدينة نصر, القاهرة.",266990
تأمين,تراى كير للرعاية الصحية,"72 ش مصدق, الدقى, الجيزة.",648675
تأمين,تريبل ايه لخدمات الضمان,"8 عمارات العبور طريق صلاح سالم, الدور 10, مدينة نصر, القاهرة.",213608
تأمين,تشب,"3 ش ابو الفدا - الدور 5, الزمالك, القاهرة.",59962
تأمين,تكافل ايجيبت,"21 ش نادى الصيد, المهندسين, الجيزة.",414714
تأمين,توينتى فور كير للرعاية الطبية,"20 ش 107 ميدان الاتحاد, المعادى, القاهرة.",449671
تأمين,ثروة للتأمين,"18 ش مصدق, الدور 2, الدقى, الجيزة.",662786
تأمين,جراسافوا مصر,"3 ش المنصور محمد, الزمالك, القاهرة.",182491
تأمين,جلوب ميد,"19, ميدان اسوان, المهندسين, الجيزة.",584552
تأمين,جلوبال ادفايس,"45 ش عبد الحميد بدوى, ميدان الحجاز, مصر الجديدة, القاهرة.",679569
تأمين,جلوبال بروتكشن,"3 ش شجرة الدر - الدور 4 شقة 44, الزمالك, القاهرة.",17948
تأمين,جود لايف لوساطة التأمين,"7 ش اسماعيل القبانى, الدور 4, متفرع من ش الطيران, المنطقة الاولى, مدينة نصر, القاهرة.",140631
تأمين,جى اى بى,"28 ش عبد العزيز فهمى, روكسى, مصر الجديدة, القاهرة.",426313
تأمين,جى اى جى - وسطاء تأمين,"78 ش عبد العزيز فهمى, سانت فاتيما, مصر الجديدة, القاهرة.",120296
تأمين,جيت,"8 ش الشهيد احمد حمدى, مدكور, فيصل, الجيزة.",454230
تأمين,جيسكو لاستشارات التأمين والتسويق البنكى,"27 ش عبد المنعم رياض, الشقة 4, الدور 3, المهندسين, الجيزة.",150964
تأمين,جيسكو للاستشارات التأمينية,"64 ش عبد السلام عارف, عابدين, القاهرة.",441544
تأمين,جينيس سيرفيسز,"10 /4 عمارات شركة المعادى ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",465998
تأمين,حداد بروكرز لوساطة التأمين,"28,29,30 سور نادى الزمالك -, المهندسين, الجيزة.",261258
تأمين,دايموند ميديكال سيرفيس,"24 ش المنتزة, ميدان هليوبوليس, مصر الجديدة, القاهرة.",59663
تأمين,دراية للوساطة التأمينية,"105 عمارة اوسكار - ش عمر بن الخطاب - الدور 8, الماظة, مصر الجديدة, القاهرة.",588434
تأمين,دلتا لايف ايجيبت,"6 ش احمد تيسير, الدور 4, مصر الجديدة, القاهرة.",671335
تأمين,دلتا مصر,"38 ش سوريا, المهندسين, الجيزة.",382870
تأمين,دينا ياقوت لوساطة التأمين,"10 ميدان عرابى - برج رمسيس - الدور 5, المنشية, الاسكندرية.",293748
تأمين,ذا كير,"8 ش شاهين, الدقى, الجيزة.",661349
تأمين,رويال كير العالمية - ار سى,"11 ميدان الفلكى - الدور 8, باب اللوق, القاهرة.",63806
تأمين,رويال كيور ايجيبت,"26 ش النخيل, المهندسين, الجيزة.",676629
تأمين,رويال للتأمين,"48 ش محيى الدين ابو العز, المهندسين, الجيزة.",46468
تأمين,زيوس للوساطة التأمينية,"29 ش عبد الله دراز، متفرع من ش الثورة الدور 1, ارض الجولف, مصر الجديدة, القاهرة.",621654
تأمين,ستاك نت,"ش الجامعة, نايلة خاتون - مبنى شبكة المعلومات, حى غرب, اسيوط.",658003
تأمين,سلام للتأمين,"6 ابراج سيدى جابر - ش السيد فهمى, سموحة, الاسكندرية.",66521
تأمين,سمارت للخدمات الطبية,"65 ش مصدق, الدقى, الجيزة.",410675
تأمين,سمارت لوساطة التأمين,"كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",475657
