Category,Name,Address,ID
استشارات صناعية,مكتب د. الفرجانى للاستشارات الصناعية,"3 ش رمضان مقبل, متفرع من ش محمد عبد النبى, العمرانية, الجيزة, الجيزة.",693335
استشارات صناعية,التقنية للاستشارات الاقتصادية,", محور محمد نجيب, التجمع الاول, القاهرة الجديدة, القاهرة.",661872
استشارات صناعية,الخط الاخضر,"مساكن ضباط الماظة - عمارة 46 - الدور 2, طريق القاهرة السويس, القاهرة.",358451
استشارات صناعية,الشركة المصرية للتقنيات العصرية - ايجيبت تك,"11 ش الرشيد شقة 3, العجوزة, الجيزة.",135085
استشارات صناعية,الفنية للاستثمارات والخدمات الاستشارية - تى اى سى اس,"7 ش عبد الحكيم سرور, متفرع من ش احمد زكى, النزهة الجديدة, القاهرة.",646558
استشارات صناعية,المؤسسة المصرية للتصميمات الصناعية - كادسول,"48 أ, حدائق الاهرام, حدائق الاهرام, الهرم, الجيزة.",126919
استشارات صناعية,المجمع الصناعى انجنيرينج اسكوير,"القطعة الثالثة والرابعة - - مجمع سامى سعد الصناعى - منطقة التوسعات الشمالية, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",453176
استشارات صناعية,المركز المصرى للخدمات الصناعية- اى سى اى اس,", مدينة السادات, المنوفية.",688185
استشارات صناعية,الميكوفت الابتكارية للحلول الصناعية,"18 ش المأمون, متفرع من ش احمد ذكى, المعادى, القاهرة.",447191
استشارات صناعية,اى تى تى يو - وحدة نقل التكنولوجيا الصناعية,"امتداد ش نايلة خاتون - الدور 4, حى غرب, اسيوط.",231687
استشارات صناعية,اى سى اى اس - الشركة الدولية للانظمة المتكاملة,"1 أ ش حنين بن اسحاق متفرع من ش عباس العقاد, الحى السابع, مدينة نصر, القاهرة.",141286
استشارات صناعية,ايه وان تيك,"القطعة التاسعة, المنطقة الصناعية, ابو رواش, الجيزة.",642262
استشارات صناعية,تكنو بيراميدز للصناعات الهندسية,"المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",95090
استشارات صناعية,تكنوتول سنتر,"المنطقة الصناعية B2, العاشر من رمضان, الشرقية.",130002
استشارات صناعية,سي تي للإستشارات وتنظيم الدورات التدريبية,"شارع أحمد فخري, مدينة نصر, القاهرة.",685738
استشارات صناعية,سيجما للهندسة والاستشارات الفنية,"3 ش 218, دجلة, المعادى, القاهرة.",61261
استشارات صناعية,شركة ليفيل,"24 عمارات منتصر - ش فيصل, فيصل, الجيزة.",117597
استشارات صناعية,كنانة للهندسة والتجارة,"9 عمارات التوفيقية ش مصطفى النحاس, مدينة نصر, القاهرة.",669330
استشارات صناعية,كيمانيل للاستشارات الصناعية - كيمانيل لاب,"1 المحور المركزى - الدور 3, السادس من اكتوبر, الجيزة.",115331
استشارات صناعية,مجموعة المنى للاستثمار الصناعى,"23 ش الطيران, الدور 3, مدينة نصر, القاهرة.",671606
استشارات صناعية,مركزتنمية الاعمال,"المنطقة الصناعية الاولى, برج العرب الجديدة, الاسكندرية.",125950
استشارات صناعية,مصر للخدمات المتكاملة,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",289724
استشارات صناعية,مكتب الوطنى,"15 ش سعد زغلول متفرع من ش قصر العينى, قصر العينى, القاهرة.",261210
