Category,Name,Address,ID
زجاج بانواعه,شركة التراث لمقاولات واجهات الزجاج والكلادينج وشبابيك اليو بى فى سى,"القطعة 115 مجاورة 1, الحى السابع, الشيخ زايد, الجيزة.",680609
زجاج بانواعه,مصنع خميس مرسى للزجاج,"ش عمر بن الخطاب, امتداد ش جوزيف تيتو, المنطقة الصناعية, الهايكستب, القاهرة.",300130
زجاج بانواعه,الفتح جلاس لتركيبات الواجهات الزجاجية,", سوق الزجاج الشرقاوية, شبرا الخيمة, القليوبية.",630456
زجاج بانواعه,الكو ايجيبت,"14 ش 286, متفرع من ش 269, المعادى الجديدة, المعادى, القاهرة.",11881
زجاج بانواعه,سفنكس للزجاج,"52 كورنيش النيل, برج الشريفين, كورنيش المعادى, المعادى, القاهرة.",192050
زجاج بانواعه,تكنو فريم,"26 ش المقريفى, موازى ش حسن مأمون, مدينة نصر, القاهرة.",464509
زجاج بانواعه,المصرية للدراسات الاقتصادية والهندسية,"3 ا ش عصام الدالى, الشقة 34, الدور 2, متفرع من ش مراد, الدقى, الجيزة.",485282
زجاج بانواعه,مجموعة طيبة لانظمة الالوميتال,"ش مؤسسة الزكاة, متفرع من الطريق الدائري, كفر ابو صير - محطة المطحن, المرج, القاهرة.",693330
زجاج بانواعه,الشركة المصرية لتوريد الزجاج - خالد عبوده,"6 ش ترعة الشرقاوية, الشرقاوية البحرية, شبرا الخيمة, القليوبية.",65408
زجاج بانواعه,شركة كامل على كامل لتشكيل الزجاج وصناعة المرايات,"1 ش على عيد, متفرع من ش 100, جسر السويس, القاهرة.",694440
زجاج بانواعه,بروهاوس لواجهات الكلادينج,"3 ش عمان, متفرع من ش السودان, الدقى, الجيزة.",694072
زجاج بانواعه,شركة ناجى للزجاج والديكور,"16 ش جوزيف تيتو, النزهة الجديدة, القاهرة.",4240
زجاج بانواعه,الشركة الوطنية للزجاج والبللور,"34 ش دمشق, متفرع من ش سوريا, المهندسين, الجيزة.",694423
زجاج بانواعه,المتحدة لأعمال الالوميتال والواجهات الزجاجية,"أول الطريق الدولى, طريق المحمودية, العوايد, الاسكندرية.",689774
زجاج بانواعه,شركة النصر لصناعة الزجاج والبللور - ان جى سى,", اول طريق القناطر, الشرقاوية, شبرا الخيمة, القليوبية.",408956
زجاج بانواعه,مصنع اماس لصناعة زجاج,"القطعة 20 و21 - بلوك 15, امتداد المنطقة الصناعية, دمياط الجديدة, دمياط.",489600
زجاج بانواعه,مصنع العبور للزجاج والسيكوريت,"القطعة 8 - بلوك 13030 ش 58 متفرع من ش 200, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",390560
زجاج بانواعه,جارديان للانظمة الامنية,"برج الحرية ش 153, الشقة 125, الدور 12, ميدان الحرية, المعادى, القاهرة.",188289
زجاج بانواعه,مصنع المناره للحلول المتكاملة,"ش الجوهرة, مجمع الصناعات - المنطقة الثانية - عنبر 27, برج العرب الجديدة, الاسكندرية.",690538
زجاج بانواعه,الفتح لانظمة الزجاج المتطوره - عمر فتحى,"2 ش حسن متولى, متفرع من طريق مصر اسكندرية, شبرا الخيمة, القليوبية.",577890
زجاج بانواعه,البنا جلاس,", منطقة الشروق الصناعية, الخانكة, القليوبية.",624606
زجاج بانواعه,الصفوة لانظمة اعمال الالومنيوم والزجاج المتكاملة,"القطعة 482, امتداد المنطقة الصناعية السادسة, مخازن الشباب - 300 متر, السادس من اكتوبر, الجيزة.",551578
زجاج بانواعه,ام اس جلاس,", العاشر من رمضان, الشرقية.",691032
زجاج بانواعه,رويال جلاس هارد وير - مصطفى عبد العليم,"19 ش ابن سندر, سراى القبة, القاهرة.",453410
زجاج بانواعه,النيل للصناعات الزجاجية,"القطعة 29 - 30, المنطقة الصناعية الثالثة - A5, العاشر من رمضان, الشرقية.",666052
زجاج بانواعه,مزايا للابواب والشبابيك اليو بى في سى,"عمارة سموحة اورجينال ش خمسين, الدور 1, متفرع من ش مصطفى كامل, سموحة, الاسكندرية.",434736
زجاج بانواعه,ال على للزجاج والبلور واعمال السيكوريت,"11535, المجاورة السادسة, الحى الرابع, السادس من اكتوبر, الجيزة.",612766
زجاج بانواعه,ماجستى للتشطيبات التكميلية,"21 برج الاكرام - ش احمد فتحى, جليم, الاسكندرية.",476925
زجاج بانواعه,مكتب المهندسين التخصصى - ليكسان ايجيبت,"2 ش د. يحيى شريف, النزهة الجديدة, القاهرة.",140799
زجاج بانواعه,ابت سيستمز,"القطعة 322 - ش 9, مدينة العبور, القليوبية.",87978
زجاج بانواعه,ابراهيم الخرزاتى للزجاج,"63 ش شبرا, شبرا, القاهرة.",429165
زجاج بانواعه,ابراهيم السيد محمد,"25,35 ش الشيخ على الليثى متفرع من ش العطارين, العطارين, الاسكندرية.",25500
