Category,Name,Address,ID
مراوح تهوية,انفوتك للمشروعات البيئية والتهوية,"10 د/1 ش احمد عبد العظيم, تقسيم اللاسلكى - متفرع من طريق النصر, المعادى الجديدة, المعادى, القاهرة.",466479
مراوح تهوية,اتش فاك للمشروعات الهندسية والتهوية الصناعية,"الطريق الصحراوى, السوق التجارى - عمارة 6, النوبارية, البحيرة.",685666
مراوح تهوية,مصنع المجد لتشغيل المعادن,"1 ش اولاد سعيد, عزبة رستم, القناطر الخيرية, القليوبية.",694382
مراوح تهوية,اليكس فان للمشروعات الهندسية والتهوية,", مدينة النوبارية الجديدة, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",670713
مراوح تهوية,كيرومينا للصناعات الهندسية وانظمة التهوية,"ش مطار النزهة, الدريسة, محرم بك, الاسكندرية.",218907
مراوح تهوية,سيكا للمغاسل والغلايات ومعدات تصنيع الملابس وكيماويات النسيج والتكييف الصحراوى,"139 ش التحرير, الدقى, الجيزة.",18185
مراوح تهوية,سى اتش سى لتبريد وتدفئة الاماكن المفتوحة,"ش مدرسة الاورمان, المرج الجديدة, القاهرة.",261900
مراوح تهوية,صناعات همام وشركاه,"القطعة 315 - ش 36 متفرع من ش 3 - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",44746
مراوح تهوية,الشركة المصرية لانظمة الطاقة الشمسية,"11 ش جامعة القاهرة, ميدان الجيزة, الجيزة, الجيزة.",12520
مراوح تهوية,الشركة المصرية لانظمة الهواء,"القطعة 15 - بلوك 11 - - المنطقة الصناعية الرابعة, برج العرب, الاسكندرية.",98213
مراوح تهوية,العالمية جروب,"كم 21 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",193325
مراوح تهوية,الفا ايجيبت للخدمات الصناعية,"3 ش زهراء ابو غزالة, حلمية الزيتون, القاهرة.",57676
مراوح تهوية,المكتب الفنى لاعمال المراوح الصناعية والاتزان,"54 ش ارض جبر, قليوب, القليوبية.",311447
مراوح تهوية,اميتكو - الشركة المصرية الاسبانية للاستيراد والتجارة,"1 ش حافظ السيد متفرع من ش ابو قير, جليم, الاسكندرية.",472106
مراوح تهوية,ايركوند الالمانية,"مبنى الكونكورد - امام 13ش الغرفة التجارية, محطة الرمل, الاسكندرية.",20474
مراوح تهوية,ايه اى اس - دوسبل,"برج 6س - ابراج شركة المعادى - المجاورة الاولى , الفسطاط, القاهرة.",254678
مراوح تهوية,بيراميدز للاستيراد والتصدير,"43 ش نجيب الريحانى, وسط البلد, القاهرة.",176267
مراوح تهوية,جاما ايجيبت,"7 ش طه حسين, النزهة الجديدة, القاهرة.",468225
مراوح تهوية,حماد لصناعة المراوح,"كم 26 - طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",130858
مراوح تهوية,حمدى جاوا,"41 ش نجيب الريحانى, وسط البلد, القاهرة.",271093
مراوح تهوية,روزنبرج ايجيبت,"القطعة 175, منطقة الصناعات الكيماوية - الالف مصنع, التجمع الثالث, القاهرة الجديدة, القاهرة.",446459
مراوح تهوية,ستيدي لصناعة وصيانة ابراج التبريد,"5 ش 44, الحى الاول, مدينة العبور, القليوبية.",422355
مراوح تهوية,شركة ايروفنتس للهندسة,"45 أ عمارات بيت العز - مدخل أ - ميدان ابن الحكم, الزيتون, القاهرة.",139082
مراوح تهوية,طيبة فوج,"40 أ ش بغداد, الكوربة, مصر الجديدة, القاهرة.",144837
مراوح تهوية,فنتا - الشركة الفنية للهندسة والتجارة,"21 ش الالفى, وسط البلد, القاهرة.",14650
مراوح تهوية,كايرو بلاورز,"12 عمارات الاوقاف - , كوبرى القبة, القاهرة.",126931
مراوح تهوية,مهران لمراوح التهوئة,"44 ش محمد مقلد متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",254342
مراوح تهوية,نوفوفنت ايجيبت,"فيلا 19 - ش النخيل متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",95754
مراوح تهوية,نيو الكا هشام فتحى مرسى وشركاه,"9 ممر شماع - ش عرابى, وسط البلد, القاهرة.",136525
مراوح تهوية,يونى اليكتريك,"14 ش العروبة - المريوطية, الهرم, الجيزة.",231927
