Category,Name,Address,ID
مطاعم شعبية,سلسلة مطاعم الحاتى,"127 ش مصر والسودان, حدائق القبة, القاهرة.",99168
مطاعم شعبية,10 بلدى,"74 ش حسن المأمون, الحى الثامن, مدينة نصر, القاهرة.",606423
مطاعم شعبية,3 شيفس,"ش ابو الهول السياحى, مشعل, الهرم, الجيزة.",612915
مطاعم شعبية,اب تاون كافيه,"33 ش طلعت حرب, وسط البلد, القاهرة.",486297
مطاعم شعبية,ابراهيم غريب,"120 طريق مصر حلوان الزراعى, دار السلام, القاهرة.",345350
مطاعم شعبية,ابن الحتة,"22 ش صلاح الدين, روكسى, مصر الجديدة, القاهرة.",426438
مطاعم شعبية,ابو جاد,"3 ش جامع عمرو بن العاص, مصر القديمة, القاهرة.",582953
مطاعم شعبية,ابو دقة,"عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",575417
مطاعم شعبية,ابو رحمة,"84 ش السودان, المهندسين, الجيزة.",392947
مطاعم شعبية,ابو زياد الكبابجى,"27 ش المزرعة متفرع من الطريق الابيض, ارض اللواء, الجيزة.",269981
مطاعم شعبية,ابو سلطان,"كم 34 - ش السنترال, سيدى كرير, الساحل الشمالى.",186539
مطاعم شعبية,ابو سليم,"الشارع الجديد - محطة الفيلا, شبرا الخيمة, القليوبية.",600234
مطاعم شعبية,ابو ظريفة,"3 عمارات رابعة الاستثمارى -, مدينة نصر, القاهرة.",489987
مطاعم شعبية,ابو على,"21 ش محمد مظهر, الزمالك, القاهرة.",474858
مطاعم شعبية,ابو قير,"طريق 14 مايو, سموحة, الاسكندرية.",129365
مطاعم شعبية,اتلانتس,", المحور المركزى, الحى العاشر, السادس من اكتوبر, الجيزة.",429830
مطاعم شعبية,احمد حلمى,"ش العروبة, امبابة, الجيزة.",353271
مطاعم شعبية,ارابيان نايتس,"ش الشيراتون, سقالة, الغردقة.",105597
مطاعم شعبية,ارابيان نايتس,"الغرقانة, خليج نبق, شرم الشيخ.",106398
مطاعم شعبية,ارابيسك,"6 ش قصر النيل, وسط البلد, القاهرة.",67260
مطاعم شعبية,ارابيسك,"طريق عجيبة - خليج الابيض, حى القصر, مرسى مطروح.",226785
مطاعم شعبية,ارابيسك,"الممشى السياحى, طريق القرى, الغردقة.",228974
مطاعم شعبية,ارابيسك,"كم 20 طريق مرسى علم القصير, مرسى شجرة, مرسى علم.",310265
مطاعم شعبية,ارابيسك رستوران,"كم 32 - طريق الغردقة سفاجا, مكادى باى, الغردقة.",266126
مطاعم شعبية,اريكة كافيه اند لونج,"41 ش الشهيد محمد قناية, متفرع من ش جلال الدين الدسوقى, الماظة, مصر الجديدة, القاهرة.",453136
مطاعم شعبية,ازوريس,"26 ش كورنيش النيل, رأس البر, دمياط.",474003
مطاعم شعبية,ازيس,"26 ش كورنيش النيل, رأس البر, دمياط.",474008
مطاعم شعبية,اصلهان,"425 ش التسعين الشمالى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",631893
مطاعم شعبية,اصلى,"27 ش عبد الله دراز, ارض الجولف, مصر الجديدة, القاهرة.",424054
مطاعم شعبية,اكابر مصر,"القطعة 100 - ش مجمع البنوك متفرع من ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",615422
مطاعم شعبية,اكل خانة,"8 عمارات المروة، ش نبيل الوقاد, مصر الجديدة, القاهرة.",618740
مطاعم شعبية,اكل خانة,"ش حسن رضوان تقاطع ش محمد فريد, طنطا, الغربية.",538370
