Category,Name,Address,ID
احزاب سياسية,الحزب الاجتماعى الحر,"9 ش عدلى - الدور 4, وسط البلد, القاهرة.",404636
احزاب سياسية,الحزب الدستورى الاجتماعى الحر,"5 ش البرجاس متفرع من ش قصر العينى, جاردن سيتى, القاهرة.",297133
احزاب سياسية,الحزب العربى الديمقراطى الناصرى,"8 ش طلعت حرب, وسط البلد, القاهرة.",297151
احزاب سياسية,الحزب المصرى الديمقراطى الاجتماعى,"16 ش محمود بسيونى ميدان عبد المنعم رياض, وسط البلد, القاهرة.",351255
احزاب سياسية,حزب 30 يونيو,"25 ش جاد عيد متفرع من ش سليمان جوهر, الدقى, الجيزة.",435563
احزاب سياسية,حزب الاستقلال,"55 ش جسر البحر, شبرا, القاهرة.",435472
احزاب سياسية,حزب الاصلاح والتنمية,"28 ش الجلاء, الزقازيق, الشرقية.",329386
احزاب سياسية,حزب الانتماء المصرى,"40 ش الدقى, الدقى, الجيزة.",481721
احزاب سياسية,حزب البيت المصرى,"9 ش الامين متفرع من ش الهرم - مدينة الاندلس, الهرم, الجيزة.",400602
احزاب سياسية,حزب التجمع,"9 ش الخليفة الظافر, الحى السابع, مدينة نصر, القاهرة.",313383
احزاب سياسية,حزب التجمع الوطنى التقدمى الوحدوى,"1 ش كريم الدولة ميدان طلعت حرب, وسط البلد, القاهرة.",231507
احزاب سياسية,حزب التكافل,"20 ش محيى الدين ابو العز, الدقى, الجيزة.",297191
احزاب سياسية,حزب الحركة الوطنية المصرية,"36 ش ميشيل باخوم, الدقى, الجيزة.",397199
احزاب سياسية,حزب الحق المصرى,"9 ِش ابى نواس - الدور 1 شقة 4, محرم بك, الاسكندرية.",386737
احزاب سياسية,حزب الخضر المصرى,"6 ش يافع بن يزيد متفرع من مراد, الجيزة, الجيزة.",297566
احزاب سياسية,حزب السلام الديمقراطى,"33 ب برج معروف - ش رمسيس, وسط البلد, القاهرة.",297596
احزاب سياسية,حزب العدالة الاجتماعية,"فيلا رقم 14 - ش بحر الغزال متفرع من ش احمد عرابى, المهندسين, الجيزة.",297887
احزاب سياسية,حزب المؤتمر,"18 ش احمد قاسم جودة, مدينة نصر, القاهرة.",596403
احزاب سياسية,حزب المساوة والتنمية,"170 - القرية السياحية السادسة - الدور 1, السادس من اكتوبر, الجيزة.",397456
احزاب سياسية,حزب المصريين الاحرار,"فيلا 140 - ش العروبة, مصر الجديدة, القاهرة.",580484
احزاب سياسية,حزب النور,"21 ش احمد قمحة, كامب شيزار, الاسكندرية.",580879
احزاب سياسية,حزب الوسط,"51 ش قصر العينى, قصر العينى, القاهرة.",297912
احزاب سياسية,حزب الوفد,"عمارات المروة -, حلوان, القاهرة.",386188
احزاب سياسية,حزب الوفد,"ش المحطة, ابو زعبل, القليوبية.",421187
احزاب سياسية,حزب الوفد,"ش بورسعيد, الشهداء, المنوفية.",318806
احزاب سياسية,حزب الوفد,"1 ش بولس حنا, الدقى, الجيزة.",297986
احزاب سياسية,حزب الوفد,"67 ش سمير صادق, الحوامدية, الجيزة.",604172
احزاب سياسية,حزب حماة الوطن,"41 ش ذاكر حسين, مدينة نصر, القاهرة.",474170
احزاب سياسية,حزب مستقبل وطن,"ش عطية الصوالحى, ابراج السراج - برج 3 - مدخل 5 - الدور الثالث, الحى الثامن, مدينة نصر, القاهرة.",675648
احزاب سياسية,حزب مستقبل وطن,"12 ش الجيش, زفتى, الغربية.",660107
احزاب سياسية,حزب مستقبل وطن,"3 ش رشاح عبد اللاه, كرداسة, الجيزة.",557987
احزاب سياسية,حزب مصر 2000,"47 ش الجلاء, طنطا, الغربية.",298021
احزاب سياسية,حزب مصر العربى الاشتراكى,"برج 4 - ابراج المهندسين - كورنيش النيل - الدور 17 شقة 4, كورنيش المعادى, المعادى, القاهرة.",298057
احزاب سياسية,حزب مصر الفتاة الجديد - أ. هشام السيد محمود,"627 ش بورسعيد, الظاهر, القاهرة.",477876
احزاب سياسية,حزب مصر القوية,"49 ش النزهة - العزبة الشرقية, الحوامدية, الجيزة.",604511
احزاب سياسية,حزب نهضة مصر الحرة,"27 ش حسن محمد, حسن محمد, الهرم, الجيزة.",418914
احزاب سياسية,مقر الحملة الانتخابية - احمد شفيق,"7 ش عبد الله الكاتب متفرع من ميدان فينى, الدقى, الجيزة.",351781
احزاب سياسية,مقر الحملة الانتخابية - بثينة كامل,"85 ش رمسيس, وسط البلد, القاهرة.",351840
احزاب سياسية,مقر الحملة الانتخابية - حمدين صباحى,"5 ش البترول متفرع من ش البحر - ميدان لبنان, المهندسين, الجيزة.",351729
