Category,Name,Address,ID
مراكز تدريب ومدارس متخصصة,اس ايه انترناشيونال,"40 ش الفردوس, الدور 11, برج الاعلاميين, سموحة, الاسكندرية.",236462
مراكز تدريب ومدارس متخصصة,60-40 دوت كوم,"20 ش امين الشمسى, الدور 1, متفرع من ش النزهة, سانت فاتيما, مصر الجديدة, القاهرة.",447324
مراكز تدريب ومدارس متخصصة,8 جيتس,"15 ش الحدائق, المعادى, القاهرة.",165425
مراكز تدريب ومدارس متخصصة,اب اكاديمى,"17 ش الطيران, الشقة 210, الدور 2, ميدان رابعة العدوية, مدينة نصر, القاهرة.",612328
مراكز تدريب ومدارس متخصصة,اب اكاديمى,"محور خدمات الحى الثانى - المنطقة الرابعة, مدينة السادات, المنوفية.",611419
مراكز تدريب ومدارس متخصصة,اب كمنج ستارز,"49 ش المنتزه, مصر الجديدة, القاهرة.",464785
مراكز تدريب ومدارس متخصصة,ابتا بيزنيس اكاديمى,"44 ش محمد احمد ابراهيم, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",689870
مراكز تدريب ومدارس متخصصة,ابجريد اكاديمى للاستشارات والتدريب,"المحور المركزى, الحى الخامس, السادس من اكتوبر, الجيزة.",625307
مراكز تدريب ومدارس متخصصة,ابداع,"28 ش جابر بن حيان, متفرع من ش الدقى, الدقى, الجيزة.",575564
مراكز تدريب ومدارس متخصصة,ابداع للكورسات الهندسية,"18 بلوك 28 ش احمد الزمر, الدور 1, الحى الثامن, مدينة نصر, القاهرة.",677563
مراكز تدريب ومدارس متخصصة,ابداع استوديوز,"457 ش جمال عبد الناصر, المندرة, الاسكندرية.",144131
مراكز تدريب ومدارس متخصصة,ابداع للاستشارات الفنية والتدريب,"29 ش عبد الخالق ثروت, وسط البلد, القاهرة.",143920
مراكز تدريب ومدارس متخصصة,ابداع للتدريب والاستشارات,"5 ش محمد صبرى ابو علم, باب اللوق, القاهرة.",565242
مراكز تدريب ومدارس متخصصة,ابدكو - الشركة المصرية لتطوير الاعمال,"5 ش على عبد الحليم متفرع من ش التحرير, الدقى, الجيزة.",225679
مراكز تدريب ومدارس متخصصة,ابديت اكتنيج ستوديو,"42 كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",533772
مراكز تدريب ومدارس متخصصة,ابف سى ليفيل,"., المسبط, دهب.",305374
مراكز تدريب ومدارس متخصصة,ابليكس للعلوم والتكنولوجيا,"8 ش 6 متفرع من ش النصر, سموحة, الاسكندرية.",552096
مراكز تدريب ومدارس متخصصة,اتحاد الخبرات المتقدمة,"24 ش شهاب - الدور 6, المهندسين, الجيزة.",150074
مراكز تدريب ومدارس متخصصة,اتحاد الخليج العربى للتنمية والتدريب والاستشارات,"32 عمارات العبور طريق صلاح سالم, مصر الجديدة, القاهرة.",667585
مراكز تدريب ومدارس متخصصة,اتش ار دى - ايجيبت,"فيلا 78 - ش 282 متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",559669
