Category,Name,Address,ID
جهاز المدينة,جهاز مدينة 15 مايو,"المجاورة الثالثة - حى رجال الاعمال, مدينة 15 مايو, القاهرة.",228111
جهاز المدينة,جهاز مدينة 6 اكتوبر,"كم 17 طريق الواحات, الحى السابع, السادس من اكتوبر, الجيزة.",228619
جهاز المدينة,جهاز مدينة الرحاب,"., مدينة الرحاب, القاهرة.",110831
جهاز المدينة,جهاز مدينة السادات,"كم 93 - طريق القاهرة اسكندرية الصحراوى, مدينة السادات, المنوفية.",148878
جهاز المدينة,جهاز مدينة الشروق,"كم 37 - طريق مصر اسماعيلية الصحراوى المجاورة الثانية - الحى الثانى, مدينة الشروق, القاهرة.",95563
جهاز المدينة,جهاز مدينة الشيخ زايد,"كم 15 طريق القاهرة اسكندرية الصحراوى, المجاورة الخامسة - امتداد محور 26 يوليو, الحى الاول, الشيخ زايد, السادس من اكتوبر, الجيزة.",228133
جهاز المدينة,جهاز مدينة العاشر من رمضان,"كم 54 - طريق القاهرة الاسماعيلية الصحراوى, العاشر من رمضان, الشرقية.",68011
جهاز المدينة,جهاز مدينة العبور,"كم 26 - طريق مصر اسماعيلية الصحراوى, مدينة العبور, القليوبية.",95249
جهاز المدينة,جهاز مدينة الفيوم الجديدة,"كم 120 - طريق القاهرة اسيوط الغربى - مدينة الفيوم الجديدة, طريق مصر الفيوم الصحراوى, الفيوم.",148898
جهاز المدينة,جهاز مدينة القاهرة الجديدة,"محور محمد فريد - ميدان صلاح الدين, التجمع الخامس, القاهرة الجديدة, القاهرة.",69389
جهاز المدينة,جهاز مدينة النوبارية الجديدة,"كم 79 - طريق الاسكندرية القاهرة الصحراوى, النوبارية, البحيرة.",148891
جهاز المدينة,جهاز مدينة بدر,"كم 47 طريق القاهرة السويس الصحراوى, مدينة بدر, القاهرة.",148888
جهاز المدينة,جهاز مدينة برج العرب الجديدة,"عمارات الاسكان التجارى - , برج العرب الجديدة, الاسكندرية.",148893
جهاز المدينة,جهاز مدينة بنى سويف الجديدة,"شرق النيل, بنى سويف الجديدة, بنى سويف.",148896
جهاز المدينة,جهاز مدينة دمياط الجديدة,"., دمياط الجديدة, دمياط.",348844
جهاز المدينة,جهاز مدينة طيبة الجديدة,"مدينة طيبة الجديدة, الاقصر, الاقصر.",349711
جهاز المدينة,جهاز مدينة قنا الجديدة,"كم 8 - طريق قنا سفاجا, وسط البلد, قنا.",348651
جهاز المدينة,رئاسة حى المطرية,"ش الثورة, المطرية, الدقهلية.",402464
جهاز المدينة,هيئة المجتمعات العمرانية الجديدة,"ش الحرية تقاطع محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",348866
