Category,Name,Address,ID
بطاريات,هوم تايرز,"219 ش الجزائر, المعادى, القاهرة.",443378
بطاريات,ياسين عمران للاطارات والبطاريات وزيوت السيارات,"القطعة 9108, من ش 9, المقطم, القاهرة.",694921
بطاريات,تاير تريد - موريس اسحق رزق الله وشركاه,"1 ش د. عبد الحميد بدوى, ميدان الحجاز, مصر الجديدة, القاهرة.",139704
بطاريات,ابو اسماعيل للاطارات والبطاريات,"1, 2 عمارت الفتح ش النبوى المهندس, حى السفارات, مدينة نصر, القاهرة.",694674
بطاريات,اوميجا تاير,", المعراج, المعادى, القاهرة.",694098
بطاريات,الشركة الهندسية للطاقة الكهربائية,"3 ش عبد العزيز احمد, متفرع من ش محمد رفعت, النزهة الجديدة, القاهرة.",298209
بطاريات,ابناء سطوحى للاطارات والبطاريات,"14 عمارات الاخاء كورنيش النيل, طره, القاهرة.",403633
بطاريات,البشلاوى تريدنج,"126 عمارات خان الخليلى, الهضبة الوسطى - الحى الرابع, المقطم, القاهرة.",693573
بطاريات,مستر انس للاطارات والبطاريات,"القطعة 7206, الهضبة الوسطى, المقطم, القاهرة.",693903
بطاريات,اكسبريس تاير,"31 عمارات السعودية ش السواح, السواح, القاهرة.",512765
بطاريات,على صبره للاطارات والبطاريات,"24 ش احمد سعيد, عباسية, القاهرة.",16596
بطاريات,ال اس ايجيبت,"12 ش الربيع, المنطقة الاولى, مدينة نصر, القاهرة.",347888
بطاريات,الدولية لتكنولوجيا الطاقة,"369 عمارة بيتزا كينج ش الهرم, المساحة, الهرم, الجيزة.",624962
بطاريات,شركة الباقورى لتجارة البطاریات,"الطريق الدائرى, القومیة, امبابة, الجيزة.",669805
بطاريات,مؤسسة المختار للبطاريات,"طريق شبين القناطر, عرب العراقى, قليوب, القليوبية.",387875
بطاريات,المترا - الشركة التجارية للكهرباء والميكانيكا,"47 ب برج رامو ش احمد تيسير, كلية البنات, مصر الجديدة, القاهرة.",2437
بطاريات,تاير لاند للاستيراد والتوريدات,"30 ش نادى الصيد, الدقى, الجيزة.",654613
بطاريات,سواحل الخليج للاطارات والبطاريات,"ش نور الاسلام, محطة الجراج, جسر السويس, القاهرة.",689305
بطاريات,الشهيد للاطارات والبطاريات والتوريدات التجارية - اشرف وميشيل صابر,", الماظة, مصر الجديدة, القاهرة.",398111
بطاريات,تاير تريد سنتر,"129 ش الميرغنى, ميدان السبع عمارات, مصر الجديدة, القاهرة.",51106
بطاريات,راديو مصر للتجارة والهندسة,"91 عمارات الشباب الجنوبى , ميدان الشباب, التجمع الاول, القاهرة الجديدة, القاهرة.",174276
بطاريات,السيد شحاتة واولاده للاستيراد وتجارة اطارات الكاوتش والبطاريات والجنوط,"14 ش البراد, متفرع من ش احمد سعيد, عباسية, القاهرة.",397361
بطاريات,شركة العارف للتجارة,"22 عمارة الياسمين - ش اسكندر المقدونى - توريل القديمة, المنصورة, الدقهلية.",569917
بطاريات,ابراهيم احمد محمد للبطاريات,"1 ش الحرية, بنها, القليوبية.",302594
بطاريات,ابراهيم السنباطى,"61 تقسيم الزراعيين, الحرفيين, القاهرة.",372280
بطاريات,ابراهيمكو,"ش البحر الميت, ابو قير, الاسكندرية.",258555
بطاريات,ابناء نصار للاطارات والبطاريات,"78 ش الخليفة القاهر, الحى السادس, مدينة نصر, القاهرة.",656494
بطاريات,ابو احمد للبطاريات,"ش الشباب - حى الشباب, مدينة العبور, القليوبية.",521767
بطاريات,ابو الجود للاطارات والبطاريات,"166 ش جسر السويس, جسر السويس, القاهرة.",274361
بطاريات,ابو النور,"509 ش فيصل, فيصل, الجيزة.",12357
بطاريات,ابو الوفا,"5 ش السرس, كرموز, الاسكندرية.",266467
بطاريات,ابو بسام للبطاريات,"9 ش الثورة - قرية بشتيل, اوسيم, الجيزة.",545182
بطاريات,ابو رضا للبطاريات,"9 ش 6 اكتوبر - ساقية مكى, المنيب, الجيزة.",501930
بطاريات,ابو رغدة للاطارات والبطاريات,"مساكن ايجيكو - بلوك 2 ش 9, المقطم, القاهرة.",682727
بطاريات,ابو زايد,"ش عبد المنعم سند متفرع من ش الصحافة, الحوامدية, الجيزة.",373842
بطاريات,ابو سديرة,"ش الانتاج, فاقوس, الشرقية.",330427
بطاريات,ابو سيفين,"9 أ عمارات المثلث - - التبة, عزبة الهجانة, مدينة نصر, القاهرة.",309892
بطاريات,ابو شهد,"84 ش ترعة الجندى, حدائق القبة, القاهرة.",401342
بطاريات,ابو طعيمة للبطاريات,"21 ش الرشاح, الخصوص, القليوبية.",493995
بطاريات,ابو عمر للبطاريات,"48 ش ترعة زنين - زنين, بولاق الدكرور, الجيزة.",589158
بطاريات,ابو مازن,"ش الورش, الزاوية الحمراء, القاهرة.",404222
بطاريات,ابو محمد للبطاريات والاطارات,"ش 15 مايو , شبرا الخيمة, القليوبية.",206656
بطاريات,ابو محمود للبطاريات,"ش 15 مايو, شبرا الخيمة, القليوبية.",245023
بطاريات,ابو موسى,"ش ابو بكر الصديق, الحامول, كفر الشيخ.",349236
بطاريات,ابى سيفيان,"ش مختار, سراى القبة, القاهرة.",300212
بطاريات,اتو بيونير ايجيبت,"21 ش ستوديو الاهرام متفرع من ش الهرم, الهرم, الجيزة.",152947
بطاريات,اجزاكت لانتاج البطاريات,"35 ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",17037
بطاريات,احمد الفقى لشحن البطاريات,"3 ش باغوص متفرع من ش ابراهيم عبد الرازق, عين شمس الشرقية, القاهرة.",317016
بطاريات,احمد سمير للبطاريات,"12 ش كمال حجاب , جسر السويس, القاهرة.",205194
بطاريات,احمد فوزى للبطاريات,"74 ش ترعة الجندى, حدائق القبة, القاهرة.",201918
بطاريات,احمد للبطاريات,"85 ش المدبح, الجيزة, الجيزة.",433017
بطاريات,اخوان ادمون,"3 ش نشاطى, شبرا, القاهرة.",377290
بطاريات,اخوان عصام البكرى للبطاريات,"35 ش نجيب محفوظ, اوسيم, الجيزة.",540694
بطاريات,ادوارد للبطاريات والاطارات,"1 بلوك 37 - - مدينة العمال, امبابة, الجيزة.",286818
بطاريات,اذكر الله,"ش عرابى, كفر الزيات, الغربية.",342276
بطاريات,اسكندرية للبطاريات,"6 ش طلخا, ميدان الجامع, مصر الجديدة, القاهرة.",220645
بطاريات,اسماعيل دراز للبطاريات,"بلوك 58 ش الورش, عمارات صقر قريش - عمارة 32, الحى العاشر, مدينة نصر, القاهرة.",669579
بطاريات,اشرف للبطاريات,"12 ش اسكندرية, ميدان الجامع, مصر الجديدة, القاهرة.",425985
بطاريات,اكستريم تايرز,"82 ش الخليفة القاهر, مدينة نصر, القاهرة.",448801
بطاريات,اكستريم للاطارات والبطاريات,"8 عمارات التعاونيات ش افريقيا, الحى التاسع, مدينة نصر, القاهرة.",627413
بطاريات,ال امام,"17 ش عبد الله خير, عين شمس الشرقية, القاهرة.",317008
بطاريات,ال منصور للبطاريات,"84 ش السلام, المعادى, القاهرة.",227602
بطاريات,الاخلاص,"ش رشاح عبد اللاه, كرداسة, الجيزة.",560552
بطاريات,الاخوة للبطاريات,"1 ش اليسر متفرع من طريق مصر حلوان الزراعى, كوتسيكا, القاهرة.",289017
بطاريات,الاخوين للبطاريات,"73 ش الاربعين - عرب الطوايلة, عين شمس الغربية, القاهرة.",453520
بطاريات,الادهم,"19 ش كريستال عصفور, شبرا الخيمة, القليوبية.",249720
بطاريات,الاستقامة,"12 ش حسن صالح, الزاوية الحمراء, القاهرة.",401938
بطاريات,الاسراء للبطاريات,"172 ش عبيد, شبرا, القاهرة.",435400
بطاريات,الاصدقاء للبطاريات,"19 ش الجميل, الظاهر, القاهرة.",207587
بطاريات,الاقصى,"138 ش الجيش, العياط, الجيزة.",276841
بطاريات,الالمانية جروب,"., فاقوس, الشرقية.",472041
بطاريات,الالمانية للبطاريات,"3 ابراج سيدى جابر ش توت عنخ امون, سموحة, الاسكندرية.",314403
بطاريات,الالمانية للبطاريات,"2 ش الحاج محمد الخولى, الخصوص, القليوبية.",499309
بطاريات,الامانة,"250 طريق النصر - ارض الجمعية, امبابة, الجيزة.",344157
بطاريات,الامل للبطاريات,"91 ط طريق مصر اسيوط الزراعى, منيل شيحة, الجيزة.",616525
بطاريات,الانوار للبطاريات,"2 ش احمد عرابى متفرع من ش الزهراء, عين شمس, القاهرة.",275941
بطاريات,الايمان,"ش جمال عبد الناصر, طره, القاهرة.",405440
بطاريات,الباشا,"ش محمد فراج, الهرم, الجيزة.",320633
بطاريات,البرنس,"35 مساكن BBC - طريق بلبيس, مدينة السلام, القاهرة.",333287
بطاريات,البطاريات العالمية,"85 ش الاقصر - المنيرة الغربية, امبابة, الجيزة.",483384
بطاريات,البكس,"42 ش نزيه خليفة, مصر الجديدة, القاهرة.",423466
بطاريات,التحرير للاطارات والبطاريات,"طريق مصر اسيوط, الحوامدية, الجيزة.",287485
بطاريات,التوكل للبطاريات,"8 ش عمر بن الخطاب, مدينة قباء, جسر السويس, القاهرة.",633200
بطاريات,التونسى,"128 ش كسارة البلدية, الزاوية الحمراء, القاهرة.",255533
بطاريات,الجزار للاطارات والبطاريات,"المساكن الجاهزة - بلوك 5 ش 9, المقطم, القاهرة.",682709
بطاريات,الجعفرى للبطاريات,"9 ش الخليفة الظافر, مدينة نصر, القاهرة.",457684
بطاريات,الجندى لبطاريات السيارات,"8 ش 5, عزبة النخل, القاهرة.",655471
بطاريات,الحاج سميح للبطاريات,"103 طريق مصر حلوان الزراعى, كورنيش المعادى, المعادى, القاهرة.",476331
بطاريات,الحاج عاصم,"5 ش مسجد الرضا, عين شمس الشرقية, القاهرة.",321471
بطاريات,الحاج محمد صالح زكى,"13 ش وزارة الزراعة, الدقى, الجيزة.",270487
بطاريات,الحاج محمد على لشحن البطاريات,"89 ش عثمان بن عفان, تريومف, مصر الجديدة, القاهرة.",238224
بطاريات,الحجاز,"طريق القناطر الخيرية - عزبة شرارة, القناطر الخيرية, القليوبية.",298692
بطاريات,الحرمين للاطارات والبطاريات,"78 ش مصطفى النحاس, الحى السابع, مدينة نصر, القاهرة.",315161
بطاريات,الحفيد للبطاريات,"20 ش احمد حلمى, شبرا, القاهرة.",435074
بطاريات,الحمد للاطارات,"51 ش الامامين - عزبة خير الله, مصر القديمة, القاهرة.",442605
بطاريات,الحمد للبطاريات,"46 ش احمد عرابى, شبرا الخيمة, القليوبية.",245425
بطاريات,الحمد للبطاريات,"81 مساكن ساقية مكى - ش 6 اكتوبر, الجيزة, الجيزة.",502190
بطاريات,الخولى,"16 ش ذهنى, عباسية, القاهرة.",277078
بطاريات,الدولية لتجارة الاطارات والبطاريات,"7 ش عمر بن عبد العزيز, حى شرق, اسيوط.",175928
بطاريات,الدولية لتصنيع البطاريات,"كم 28 - - المنطقة الصناعية, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",464862
بطاريات,الدولية للاطارات والبطاريات,"المساكن الجاهزة - بلوك 5 ش 9, المقطم, القاهرة.",682712
