Category,Name,Address,ID
مطاعم يونانية,اثينا جريك تافيرنا,"ش ايناس الدغيدى - عمارة H4, وسط البلد, الجونة.",167661
مطاعم يونانية,استيا,"ش بطرس, طنطا, الغربية.",630644
مطاعم يونانية,اوبا,"طريق الجيش, الشاطبى, الاسكندرية.",651873
مطاعم يونانية,بار ومطعم ذا جريك,"مارينا بوليفار, سقالة, الغردقة.",629901
مطاعم يونانية,تافرنا باربا كيرياكوس,"كم 48 - طريق الغردقة سفاجا, سومة باى, سفاجا.",105574
مطاعم يونانية,جربى,"3 ش ابن الوليد, الدقى, الجيزة.",513202
مطاعم يونانية,جريكس بيسترو,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",627698
مطاعم يونانية,جوليانوز بيتزيريا,"3 ش ابن الوليد, الدقى, الجيزة.",574370
مطاعم يونانية,جيجى برجر بار,"القطعة 31 -, الشيخ زايد, السادس من اكتوبر, الجيزة.",461078
مطاعم يونانية,دجاج تريبولى,", ., مصر القديمة, القاهرة.",640381
مطاعم يونانية,سانتورينى,"3 عمارات مصر للتعمير - ش انقرة, مساكن شيراتون, مصر الجديدة, القاهرة.",443694
مطاعم يونانية,سوفلاكى هت,"15 ش السباق, المريلاند, مصر الجديدة, القاهرة.",219346
مطاعم يونانية,سيرين,"كم 30 طريق سفاجا الغردقة, مكادى باى, الغردقة.",392985
مطاعم يونانية,لوكومادس,", محور محمد نجيب, ذا ووتر واى كمباوند, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",645897
مطاعم يونانية,مطعم جريكو,"44 ش مسجد الهداية, فلمينج, الاسكندرية.",632701
مطاعم يونانية,مطعم سانتورينى,"امتداد محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",462191
مطاعم يونانية,مطعم سانتورينى جريك,"544 طريق الجيش, سيدى بشر, الاسكندرية.",464599
مطاعم يونانية,مطعم سوفليكى ميكونوس,"10 ش البورصة القديمة متفرع من ش سعد زغلول, المنشية, الاسكندرية.",611914
مطاعم يونانية,مطعم سوفولاكى,"13 ش ادموند فيرمونت, سموحة, الاسكندرية.",596954
مطاعم يونانية,مطعم سيكوز,"118 ش 26 يوليو, الزمالك, القاهرة.",648858
مطاعم يونانية,مطعم وكافيه بوتسينى,"ش الرياح, برح احمد رضوان, وسط البلد, قنا.",635484
مطاعم يونانية,مطعم يادس,"طريق الكورنيش, الدهار, الغردقة.",592661
مطاعم يونانية,نوستيمو,", سوديك ويست، بفرلى هيلز, الشيخ زايد, السادس من اكتوبر, الجيزة.",647339
