Category,Name,Address,ID
فلاتر الزيت والغاز والهواء,انفوتك للمشروعات البيئية والتهوية,"10 د/1 ش احمد عبد العظيم, تقسيم اللاسلكى - متفرع من طريق النصر, المعادى الجديدة, المعادى, القاهرة.",466479
فلاتر الزيت والغاز والهواء,جابتيك للهندسة والتوريدات,"177 ش سامح جادو, الشقة 2, المنطقة السياحية السادسة, السادس من اكتوبر, الجيزة.",430213
فلاتر الزيت والغاز والهواء,اتيكو جروب,"26 ش السد العالى, محور تشنزو ابى, المنطقة التاسعة, الحى التاسع, مدينة نصر, القاهرة.",447130
فلاتر الزيت والغاز والهواء,الهندسية للفلاتر الصناعية والتوريدات,"5 ش ابن المصرفى, من ش جسر السويس, روكسى, مصر الجديدة, القاهرة.",612720
فلاتر الزيت والغاز والهواء,شركة ايجبتكس,", جزيرة البدرشين, البدرشين, الجيزة.",72154
فلاتر الزيت والغاز والهواء,اليكس فان للمشروعات الهندسية والتهوية,", مدينة النوبارية الجديدة, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",670713
فلاتر الزيت والغاز والهواء,المؤسسة الدولية للتوريدات والخدمات البترولية,"6 /1 ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",692836
فلاتر الزيت والغاز والهواء,كيرومينا للصناعات الهندسية وانظمة التهوية,"ش مطار النزهة, الدريسة, محرم بك, الاسكندرية.",218907
فلاتر الزيت والغاز والهواء,الشركة المصرية العالمية للسيارات - تربوتشارجر,"طريق الاوتوستراد, اول الطريق الصاعد للمقطم, المقطم, القاهرة.",111829
فلاتر الزيت والغاز والهواء,الفلتر ملكو,"121 ش رمسيس, وسط البلد, القاهرة.",51083
فلاتر الزيت والغاز والهواء,الدولية للهندسة والتجارة,"برج نوبل - ش البحر الاعظم - جزيرة الدهب شقة 11, المنيب, الجيزة.",22071
فلاتر الزيت والغاز والهواء,دكت ماستر,"بلوك 65 القطعة 314 - - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",232820
فلاتر الزيت والغاز والهواء,صناعات همام وشركاه,"القطعة 315 - ش 36 متفرع من ش 3 - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",44746
فلاتر الزيت والغاز والهواء,احمد صبور,"213 عمارات صقر قريش -, المعادى الجديدة, المعادى, القاهرة.",222114
فلاتر الزيت والغاز والهواء,اربكو - العربية للتجارة والتوريدات,"الطريق الدائرى, نزلة بهتيم - برج المحبة, شبرا الخيمة, القليوبية.",292787
فلاتر الزيت والغاز والهواء,اسكندرية لصناعة الفلاتر والمرشحات,"طريق ام زغيو, الدخيلة, الاسكندرية.",27845
فلاتر الزيت والغاز والهواء,اسلام,"111 ش الصفا والمروة, فيصل, الجيزة.",252864
فلاتر الزيت والغاز والهواء,اسنبرو - اسيك لحماية البيئة,"5 ش 260, المعادى, القاهرة.",11734
فلاتر الزيت والغاز والهواء,افيكو فلترز,"47 ش عباس العقاد, الدور 4, المنطقة الاولى, مدينة نصر, القاهرة.",9512
فلاتر الزيت والغاز والهواء,اكسبرت ميدل ايست,"القطعة 7, التوسعات الشمالية - المنطقة الصناعية الاولى - مجمع بولاريس, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",506217
فلاتر الزيت والغاز والهواء,اكسبريس,"8 عمارات الاتصالات - طريق الاوتوستراد, المعادى الجديدة, المعادى, القاهرة.",101415
فلاتر الزيت والغاز والهواء,اكوا تك لفلاتر المياه,"46 ش اثار سقارة, البدرشين, الجيزة.",606796
فلاتر الزيت والغاز والهواء,الاصلى للفلاتر,"339 ش عمر بن الخطاب تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",225069
فلاتر الزيت والغاز والهواء,الامين للفلاتر,"القطعة 428, المنطقة الصناعية الثالثة - جنوب غرب 6 أ, العاشر من رمضان, الشرقية.",228094
فلاتر الزيت والغاز والهواء,الحارس جروب لجميع انواع الفلاتر,"قطعة 7549 - ش 9 منطقة س - الهضبة العليا, المقطم, القاهرة.",128929
فلاتر الزيت والغاز والهواء,الزعيمة,"121 ش رمسيس, وسط البلد, القاهرة.",281424
فلاتر الزيت والغاز والهواء,الزمزم لقطع الغيار والفلاتر,"40 ش الحجاز, الدور 1, ميدان المحكمة, مصر الجديدة, القاهرة.",1526
فلاتر الزيت والغاز والهواء,الشاذلى للفلاتر,"طريق عبد المنعم رياض, بلبيس, الشرقية.",687873
فلاتر الزيت والغاز والهواء,الشركة العالمية للتجارة,"14 ش المهدى, وسط البلد, القاهرة.",626831
فلاتر الزيت والغاز والهواء,الشركة العربية للمعدات الهندسية - ايه سى اى,"24 ش احمد الزمر, مدينة نصر, القاهرة.",250936
فلاتر الزيت والغاز والهواء,الشركة المتحدة لتجارة قطع غيار المعدات الثقيلة,"ش مدارس الالسن, طريق سقارة, المريوطية, الهرم, الجيزة.",412539
فلاتر الزيت والغاز والهواء,الصاوى جروب لتجارة الفلاتر,"124 عمارات الجيزة -, القطامية, القاهرة.",269682
فلاتر الزيت والغاز والهواء,الطاحونة,"15 ش سليمان الحلبى, وسط البلد, القاهرة.",376139
فلاتر الزيت والغاز والهواء,العادل لتجارة الفلاتر,"17 ش نبيل البشبيش تقسيم التجارين - الحرفيين, جسر السويس, القاهرة.",187695
فلاتر الزيت والغاز والهواء,العالمية للديزل,"1 ش صلاح الدين, العطارين, الاسكندرية.",23366
فلاتر الزيت والغاز والهواء,العالمية للضواغط الهوائية,"وحدة 622, الدور 2, المنطقة الصناعية الثالثة - مجمع جرين لاند للصناعات التكميلية, العاشر من رمضان, الشرقية.",138969
فلاتر الزيت والغاز والهواء,العالمية للفلاتر,"11 ش الكابلات, المطرية, القاهرة.",154406
فلاتر الزيت والغاز والهواء,العربان,"48 ش جسر السويس الجراج, جسر السويس, القاهرة.",68087
فلاتر الزيت والغاز والهواء,الفجر للتجارة والتوريدات,"ش النيل السعيد, البدرشين, الجيزة.",612525
فلاتر الزيت والغاز والهواء,القاهرة للفلاتر,"51 عمارة سعد ابو رحاب - ش فرج عبد العزيز, امبابة, الجيزة.",60959
فلاتر الزيت والغاز والهواء,الكرمة للتوريدات,"4 ش سليمان الحلبى, وسط البلد, القاهرة.",156836
فلاتر الزيت والغاز والهواء,المتحدة,"ش الحرفيين الجديد, العرب, بور سعيد.",113727
فلاتر الزيت والغاز والهواء,المتخصص للفلاتر,"القطعة 27 ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",621850
فلاتر الزيت والغاز والهواء,المجموعة العربية للمعدات وقطع الغيار,"56 ش محيى الدين عبد الحميد, الشقة 5, الدور 2, امتداد ش مكرم عبيد, مدينة نصر, القاهرة.",3568
فلاتر الزيت والغاز والهواء,المصدر للفلاتر,"القطعة الثانية ش محمد حسن, المنطقة الصناعية, بلبيس, الشرقية.",614962
فلاتر الزيت والغاز والهواء,المصرية لتشكيل الواح البلاستيك,"القطعة 90 الحرفية - شمال طريق العين السخنة الجديد - المنطقة الصناعية, التجمع الثالث, القاهرة الجديدة, القاهرة.",371395
فلاتر الزيت والغاز والهواء,المكتب الاستشارى للفلاتر,"1 ش احمد عبد النبى تقاطع ش احمد رشاد - النزهة الجديدة, مصر الجديدة, القاهرة.",62773
فلاتر الزيت والغاز والهواء,المهندس للتجارة والتوريدات,"10 ش نجيب الريحانى, وسط البلد, القاهرة.",13529
فلاتر الزيت والغاز والهواء,النجوم,"ش الرشاح, المعصرة, القاهرة.",384195
فلاتر الزيت والغاز والهواء,النيل,"26 ش المعتصم, طنطا, الغربية.",112725
فلاتر الزيت والغاز والهواء,الهندسية,"60 ش ابو العتاهية, مدينة نصر, القاهرة.",458209
فلاتر الزيت والغاز والهواء,الهندسية للفلاتر ومستلزمات المصانع والاستيراد والتصدير,"الاردنية, العاشر من رمضان, الشرقية.",564333
فلاتر الزيت والغاز والهواء,اولاد الشوبكى,"طريق الاوتوستراد, المعصرة, القاهرة.",379352
فلاتر الزيت والغاز والهواء,اولاد عبد العزيز,"ش احمد عرابى, ههيا, الشرقية.",361693
فلاتر الزيت والغاز والهواء,اى ام اس - شركة الخدمات الهندسية,"6 ش الجزائر, المهندسين, الجيزة.",6488
فلاتر الزيت والغاز والهواء,ايجيبت تكنو لتكنولوجيا الهواء المضغوط,"عمارة 14, الدور 1, المجاورة 56, العاشر من رمضان, الشرقية.",581159
فلاتر الزيت والغاز والهواء,اية كلين,"ش 7 متفرع من ش 45, فيكتوريا, الاسكندرية.",251745
فلاتر الزيت والغاز والهواء,بير فلتر ايجيبت,"طريق القاهرة اسكندرية الزراعى, قليوب, القليوبية.",1227
فلاتر الزيت والغاز والهواء,تراست,"196 عمارات الشرطة - المجاورة الاولى, الحى الثانى, السادس من اكتوبر, الجيزة.",596466
فلاتر الزيت والغاز والهواء,تونالدسون,"130 - حى البشاير, السادس من اكتوبر, الجيزة.",158943
فلاتر الزيت والغاز والهواء,ثرى ام ايجيبت للتجارة المحدودة,"برج هوليداى ان كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",12074
فلاتر الزيت والغاز والهواء,جريل تكنولوجى,"1 ش عبد المنعم عبد السلام, طره, القاهرة.",45304
فلاتر الزيت والغاز والهواء,جلوب انفست,"7 ش المشير احمد اسماعيل, مساكن شيراتون, مصر الجديدة, القاهرة.",457404
فلاتر الزيت والغاز والهواء,دايس للتجارة,"5 عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",147697
فلاتر الزيت والغاز والهواء,دلتا مصر للتوريدات العمومية,"15 ب ش السباق متفرع من ش جسر السويس, المريلاند, مصر الجديدة, القاهرة.",352235
فلاتر الزيت والغاز والهواء,دونالدسون الترا فلتر,"1 ابراج سيتى ستارز - المحور المركزى - الدور 5, السادس من اكتوبر, الجيزة.",255781
فلاتر الزيت والغاز والهواء,رويال لاين للاستيراد والتصدير - فيلمر,"71 ش جسر السويس - تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",553562
فلاتر الزيت والغاز والهواء,ساديكو جروب,"9 ش ذو الفقار, شبرا, القاهرة.",1021
فلاتر الزيت والغاز والهواء,سعيد سعدان شحاتة,"32 ش عماد الدين, وسط البلد, القاهرة.",65353
فلاتر الزيت والغاز والهواء,سيدون,"121 ش شبرا, شبرا, القاهرة.",1326
فلاتر الزيت والغاز والهواء,شبيكة للتجارة والتوزيع,"القطعة 296 - ش على بك الكبير - حوض الدرس, بور توفيق, السويس.",433139
فلاتر الزيت والغاز والهواء,شركة اعمار للتوريدات العمومية,", الاردنية, العاشر من رمضان, الشرقية.",686741
فلاتر الزيت والغاز والهواء,شركة البلطى للتجارة والاستيراد,"12 ش عرابى - التوفيقية, وسط البلد, القاهرة.",58517
فلاتر الزيت والغاز والهواء,شركة الملكة لفلاتر المياه,"20 ش الكنيسة المرقسية, وسط البلد, القاهرة.",627763
فلاتر الزيت والغاز والهواء,شركة بولس لتجارة الديزل,"31 ش عماد الدين, وسط البلد, القاهرة.",12857
فلاتر الزيت والغاز والهواء,شركة عربو الهندسية,"30 ش عماد الدين, وسط البلد, القاهرة.",62699
فلاتر الزيت والغاز والهواء,عالم التكييف,"24 ش بورسعيد, قويسنا, المنوفية.",214026
فلاتر الزيت والغاز والهواء,عامر تريد,"9, 11 ش صلاح الدين, العطارين, الاسكندرية.",396378
فلاتر الزيت والغاز والهواء,عباد الرحمن,"4 أ ش احمد شفيق متفرع من ش مصر والسودان - الدور 4 شقة 14, حدائق القبة, القاهرة.",213267
فلاتر الزيت والغاز والهواء,عفيفى جروب,"11 ميدان 15 مايو, ميامى, الاسكندرية.",164969
فلاتر الزيت والغاز والهواء,فيدكو - الاسلامية للصناعات الهندسية,"المنطقة الصناعية B2, العاشر من رمضان, الشرقية.",619
فلاتر الزيت والغاز والهواء,كابابيليتز داكت اير,", امتداد ش احمد عرابى, شبرا الخيمة, القليوبية.",666457
فلاتر الزيت والغاز والهواء,كراون للهندسة والتجارة,"84 أ طريق المريوطية, المريوطية, فيصل, الجيزة.",588330
فلاتر الزيت والغاز والهواء,مؤسسة عفيفى للفلاتر,"9 ش صلاح الدين, العطارين, الاسكندرية.",264600
فلاتر الزيت والغاز والهواء,ماب سيرفيس,"32 ش دمشق, العجوزة, الجيزة.",670748
فلاتر الزيت والغاز والهواء,مراكز تغيير زيوت شل المعتمدة,"79 مبنى فيو ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",685530
فلاتر الزيت والغاز والهواء,هاوس ووتر لفلاتر المياه,"2 ش مصباح امين عامر, وراق الحضر, الوراق, الجيزة.",597874
فلاتر الزيت والغاز والهواء,ورلد تكنولوجى,"30 ش د. نجيب محفوظ, الحى الثامن, مدينة نصر, القاهرة.",3632
فلاتر الزيت والغاز والهواء,يوسف,"ش الجامع, الزاوية الحمراء, القاهرة.",402863
