Category,Name,Address,ID
خدمات جنازات,اكرم عادل,"ش المنارة, الحضرة قبلى, الاسكندرية.",255230
خدمات جنازات,الادهم لنقل الموتى,"ابراج سما المعادى كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",694477
خدمات جنازات,الانبا كاراس لنقل الموتى,"25 ش فرغلى محمد حسنين, عزبة النخل, القاهرة.",532838
خدمات جنازات,الجابرونى,"51 ش الناصرية, السيدة زينب, القاهرة.",366799
خدمات جنازات,الحاج زكريا معوض,"ش عقبة ابن نافع متفرع من ش محمد نجيب, غبريال, الاسكندرية.",251415
خدمات جنازات,الحاج سيد لنقل الموتى,"2 ش محمد عبد الحى الشعراوى, الزاوية الحمراء, القاهرة.",565824
خدمات جنازات,الصعيدى,"1 ش روض الفرج, روض الفرج, القاهرة.",432652
خدمات جنازات,العريف المعتز بالله,"ش خيرت, السيدة زينب, القاهرة.",415049
خدمات جنازات,الغردقة لخدمات الجنازات,"مجمع البنوك, الكوثر, الغردقة.",611687
خدمات جنازات,ايجيبت للجنازات,"ش الحجاز, مصر الجديدة, القاهرة.",638221
خدمات جنازات,ايميل جوزيف طواف للخدمات الجنائزية,"31 ش الظاهر, الظاهر, القاهرة.",51478
خدمات جنازات,بارانيس ايجبت,"11 ابراج جرين تاورز, سموحة, الاسكندرية.",694612
خدمات جنازات,جورج عزيز لخدمات الجنازات,"81 ش الترعة البولاقية تقاطع ش احمد بدوى , شبرا, القاهرة.",52086
خدمات جنازات,جى بى لخدمات الجنائز,"7 ش بستان الجيش, عباسية, القاهرة.",674786
خدمات جنازات,حانوتى الدقى,"10 ش امام ابراهيم, متفرع من ش سليمان جوهر, الدقى, الجيزة.",387964
خدمات جنازات,حانوتى القومية,"1 ش ورشة البلاط, متفرع من ش القومية العربية, امبابة, الجيزة.",482299
خدمات جنازات,حانوتى المعادى,"14 ش 154, المعادى, القاهرة.",232220
خدمات جنازات,حانوتى المنيرة,"86 ش المنيرة - المنيرة الشرقية, امبابة, الجيزة.",574169
خدمات جنازات,رضا العريف لخدمات الجنازات,"7 أ ش محمد حلمى ابراهيم, متفرع من ش شامبليون, وسط البلد, القاهرة.",659240
خدمات جنازات,محسن الشامى,"11 ش برهام باشا, اللبان, الاسكندرية.",202445
خدمات جنازات,مكتب جنازات محمد العريف,"4 ش المراة الجديدة, الملك الصالح, القاهرة.",403176
خدمات جنازات,مكتب حانوت قسم الساحل,"145 ش شبرا, شبرا, القاهرة.",468432
خدمات جنازات,ميرسى فونيرال هوم,"7 عمارات الشرطة - ش سليمان يسرى, العطارين, الاسكندرية.",598768
خدمات جنازات,ميسكو لخدمات الدفن,"7 عمارات الشرطة، ش طوسون, كوم الدكة, الاسكندرية.",626814
خدمات جنازات,نيو طواف,"127 ش رمسيس, الدور 1, وسط البلد, القاهرة.",14974
خدمات جنازات,وكالة بى,"ش المدارس, بهتيم, القليوبية.",465051
خدمات جنازات,يوسف الرامى,"ش احمد صقر - ارض الجنينة, شبرا الخيمة, القليوبية.",615336
