Category,Name,Address,ID
شركات امن وحراسة,ايجلز انترناشيونال للانظمة الدفاعية,"القطعة السادسة - بلوك ب, المنطقة الحرة, ميناء ادبية, السويس.",450877
شركات امن وحراسة,الفارس لتوريدات الامن الصناعى,", عمارة أ - الاردنية - سنتر المروة, العاشر من رمضان, الشرقية.",474142
شركات امن وحراسة,شركة فور هورس لخدمات رجال الاعمال,"30, المحور المركزى, الحى الرابع, السادس من اكتوبر, الجيزة.",689321
شركات امن وحراسة,سيفتى جيت للامن والخدمات,"1 ش 270, متفرع من ش النصر, المعادى الجديدة, المعادى, القاهرة.",553106
شركات امن وحراسة,سما المعادى للامن وشئون البيئة,"16 عمارات العرائس, المعادى الجديدة, المعادى, القاهرة.",606481
شركات امن وحراسة,اسلام سيرفيس للامن والحراسة,", الاردنية - سنتر المباركية, العاشر من رمضان, الشرقية.",689159
شركات امن وحراسة,بريفينشن لخدمات الامن والحراسة ونقل الاموال,"55 ش رمسيس, متفرع من ش دمشق, روكسى, مصر الجديدة, القاهرة.",625137
شركات امن وحراسة,جى اس اس للخدمات الامنية,"43 شارع اسماعيل سرى, سموحة, الاسكندرية.",540943
شركات امن وحراسة,ايلاند للتوكيلات التجارية والخدمات ش.م.م,"42 ش على باشا ذو الفقار, كفر عبده, الاسكندرية.",271134
شركات امن وحراسة,اليكس سيرفيس للأمن وخدمات الحراسة,"17 برج الشيماء ش دنشواى, سيدى جابر, الاسكندرية.",260069
شركات امن وحراسة,نسور الشرق للامن والحراسة,"8 ش احمد الزمر, مدينة نصر, القاهرة.",689186
شركات امن وحراسة,ايجيبت ليميتد انترناشونال سيرفيس,"المحور المركزى, السادس من اكتوبر, الجيزة.",438324
شركات امن وحراسة,شركة فايف ستارز سيرفيس للامن والحراسة ش . م . م,"242 ش الفتح, جناكليس, الاسكندرية.",113227
شركات امن وحراسة,ادريسو جروب - اى اس ال للامن والحراسه ونقل الاموال,"4 ش ابو المعاطى - الدور 1 شقة 3, العجوزة, الجيزة.",50318
شركات امن وحراسة,ارمى سيفتى جروب,"3 ش فاطمة رشدى, الشقة 8, الدور 2, برج الفردوس, الهرم, الجيزة.",648877
شركات امن وحراسة,اس اس جى - سمارت ايجيبت جروب,"ش المطرية, عمارات السعودية أ - برج الصفا, كوبرى القبة, القاهرة.",608799
شركات امن وحراسة,استرايك فورث للامن والخدمات,"5 ب ش غرناطة, روكسى, مصر الجديدة, القاهرة.",349952
شركات امن وحراسة,استرونجر للامن والحراسة,"6 ش فتح الله علام, الحى الثامن, مدينة نصر, القاهرة.",657831
شركات امن وحراسة,الاسكندرية الدولية للامن والحراسة,"92 ش جمال عبد الناصر, سيدى بشر بحرى, الاسكندرية.",626037
شركات امن وحراسة,الاسكندرية للخدمات الامنية,"13 ش الغرفة التجارية, الدور 10, برج الكونكورد, محطة الرمل, الاسكندرية.",345164
شركات امن وحراسة,الامل المتحدة,"ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",473590
شركات امن وحراسة,الاميرة سيرفيس,"الاردنية, العاشر من رمضان, الشرقية.",618708
شركات امن وحراسة,الاهرامات الثلاثة للامن والحراسة,"ش اولاد رجب, اللبينى, الهرم, الجيزة.",651540
شركات امن وحراسة,البلدوزر للحراسات الخاصة,"ش السينما, دسوق, كفر الشيخ.",679740
شركات امن وحراسة,الثائر للامن والحراسة,"الاردنية - عمارات المشروع الاستثمارى 2 - عمارة 11 - محل 5, العاشر من رمضان, الشرقية.",620015
شركات امن وحراسة,الثريا للخدمات الامنية,"القطعة الثالثة, البنفسج 3 - المنطقة التجارية الاولى, التجمع الاول, القاهرة الجديدة, القاهرة.",553170
شركات امن وحراسة,الحماية المتكاملة,"59 ش 104, حدائق المعادى, المعادى, القاهرة.",567938
شركات امن وحراسة,الرواد للخدمات المتكاملة,"ش رايل, حلوان, القاهرة.",587276
شركات امن وحراسة,الرواد هاى سيرفيس,"9 ش السد العالى, متفرع من ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",63039
شركات امن وحراسة,السيف مصر الوطنية للامن,"354 ش فيصل, برج الخواجة, الطالبية, فيصل, الجيزة.",545359
شركات امن وحراسة,الشركة المصرية العربية للأمن,"7 ش صالح محمد, متفرع من ش سهل حمزة, العمرانية الشرقية, الهرم, الجيزة.",631958
شركات امن وحراسة,الشروق لخدمات النظافة والصيانة,"برج الاء كورنيش النيل, الشقة 4, حدائق حلوان, القاهرة.",689328
شركات امن وحراسة,الشروق للامن والحراسة,"330 ش السودان, المهندسين, الجيزة.",577976
شركات امن وحراسة,الشروق للخدمات الامنية,"81 ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",582898
شركات امن وحراسة,الصقر الذهبى للامن والحراسة,"28 ش المحكمة, طوخ, القليوبية.",665273
شركات امن وحراسة,الصقر للامن والحراسة,"5 مربع 115 ش جمال سالم, الحى السابع, مدينة نصر, القاهرة.",254035
شركات امن وحراسة,العاصمة للامن والحراسة,"67 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",671364
شركات امن وحراسة,العالمية للخدمات والحراسة,"20 عمارات المروة ش احمد تيسير, الدور 2, كلية البنات, مصر الجديدة, القاهرة.",64563
شركات امن وحراسة,العروبة جروب للامن والحراسة,"29 ش المشير احمد اسماعيل, سيدى جابر, الاسكندرية.",624165
شركات امن وحراسة,العروبة للامن والحراسة,"46 ش يوسف عباس, مدينة نصر, القاهرة.",557937
شركات امن وحراسة,العقرب للامن والحراسة,"2 ابراج المهندسين، كورنيش النيل الدور 14, كورنيش المعادى, المعادى, القاهرة.",580107
شركات امن وحراسة,الكرامة,"303 ش ترعة الجبل, الزيتون, القاهرة.",404601
شركات امن وحراسة,اللواء للامن,"9 ش شاهين, منوف, المنوفية.",570667
شركات امن وحراسة,المجموعة العربية المتحدة للأمن والحراسات والنظافة,"21 ش محمد جمعه متفرع من ش عبد الغفار سليم, النزهة, مصر الجديدة, القاهرة.",606314
شركات امن وحراسة,المحبة للامن,"66 ش حسنين دسوقى, حدائق المعادى, المعادى, القاهرة.",674140
شركات امن وحراسة,المروة للامن والحراسة,"10 عمارات اول مايو طريق النصر, مدينة نصر, القاهرة.",593377
شركات امن وحراسة,المستقبل للامن والحراسة,"30 عمارات العبور طريق صلاح سالم, مصر الجديدة, القاهرة.",637599
شركات امن وحراسة,المصرية البريطانية للخدمات الامنية,"13 عمارات مصر للتعمير , المنطقة التاسعة, مساكن شيراتون, مصر الجديدة, القاهرة.",59669
شركات امن وحراسة,المعالم الدولية للتوريدات العمومية وانظمة التحكم - ايه اى سى,"فيلا 33 - - الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",528642
شركات امن وحراسة,النسور للامن والحراسة,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",625673
شركات امن وحراسة,النصر للامن والحراسة,"ش رايل, الدور 1, تقاطع ش لطيف, حلوان, القاهرة.",648672
شركات امن وحراسة,الهداية للامن والحراسة,"16 ب ش حسن القاضى, متفرع من ش فاطمة رشدى, الهرم, الجيزة.",664276
شركات امن وحراسة,ام اس ار للامن والحراسة,"73 عمارات صقر قريش ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",625432
شركات امن وحراسة,ام اس ايه لخدمات الامنية,"173 ش الهرم, الكوم الاخضر, فيصل, الجيزة.",434322
شركات امن وحراسة,امان مصر,"8 ابراج سيتى ستارزالمحور المركزى الدور 5, السادس من اكتوبر, الجيزة.",624133
شركات امن وحراسة,امجاد للامن والحراسة,"23 ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",518051
شركات امن وحراسة,ان اس سى لخدمات الامن,"14 ش عبد الحميد لطفى, المهندسين, الجيزة.",18832
شركات امن وحراسة,انفيل لخدمات الامن والحراسة,"فيلا 8 ش بنى امية, الحى السابع, مدينة نصر, القاهرة.",670088
شركات امن وحراسة,انوبيس لخدمات الامن والحراسة,"2 عمارات النصر - طريق النصر - رابعة العدوية, مدينة نصر, القاهرة.",524494
شركات امن وحراسة,اوديت للحراسات,"10 ش ابو بكر الصديق, مدينة نصر, القاهرة.",687485
شركات امن وحراسة,اى سى للامن والحراسة,"5 ش السلطان حسين, العطارين, الاسكندرية.",671450
شركات امن وحراسة,ايجيبت تريد للامن صناعى,"10 عمارات المشروع الاستثمارى 2 الاردنية, العاشر من رمضان, الشرقية.",620109
شركات امن وحراسة,ايه اس جروب,"47 ش رمسيس, وسط البلد, القاهرة.",641174
شركات امن وحراسة,ايه اى اكتيف تكنولوجيز,"فيلا 90 - - مبارك 2, الكوثر, الغردقة.",531070
شركات امن وحراسة,بلو مارك للامن والحراسة,"29 ش الجاحظ, الحى السابع, مدينة نصر, القاهرة.",687443
شركات امن وحراسة,بلو ووتر للامن,"20 بلوك 14 - ش الخمسين - حى الواحة, مدينة نصر, القاهرة.",578713
شركات امن وحراسة,بودى جارد للحراسات الخاصة,"أ ش شهاب, المهندسين, الجيزة.",639311
شركات امن وحراسة,بيراميدز,"58 الشطر السادس, زهراء المعادى, المعادى, القاهرة.",621722
شركات امن وحراسة,بيلارز لخدمات الحراسة,"112 ش كريم جوهر, الهضبة الوسطى, المقطم, القاهرة.",693285
شركات امن وحراسة,تاتش جروب لخدمات الامن والحراسة,"39 برج سان مينا, ش خالد بن الوليد, سيدى بشر, الاسكندرية.",394033
شركات امن وحراسة,تايفون لخدمات الامن والحراسة,", الحى العاشر - عمارة 2200, زهراء مدينة نصر, مدينة نصر, القاهرة.",648679
شركات امن وحراسة,تريبل اس,"16 بلوك 35 ش عبد العزيز عيسى, متفرع من ش مصطفى النحاس, الحى التاسع, مدينة نصر, القاهرة.",663689
شركات امن وحراسة,تشاك للامن والحراسة,"177 ش ترعة الجبل, حدائق القبة, القاهرة.",156612
