Category,Name,Address,ID
مزارع كلاب,اكاديمية افريكانو كيه 9,"ش ترعة المنصورية, ابو رواش, الجيزة.",551853
مزارع كلاب,ذا دوج فازر,"ش فرع كامل, المريوطية, الهرم, الجيزة.",644676
مزارع كلاب,رياح الشرق,"طريق القاهرة اسكندرية الصحراوى محور 26 يوليو, ابو رواش, الجيزة.",177913
مزارع كلاب,عز كينيل كلوب,"16 ش على عبد الرازق, ميدان الحجاز, مصر الجديدة, القاهرة.",582021
مزارع كلاب,فان جارد كيه ناين,"كم 12 - طريق ترعة المنصورية, المريوطية, الهرم, الجيزة.",310511
مزارع كلاب,فوم هاوس سيمبا,"المنصورية, الهرم, الجيزة.",473064
مزارع كلاب,كابتن دوجز هوستنج,"كم 58 - القطعة 130 طريق 27 بيرن, كمباوند الريف الاوروبى, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",668413
مزارع كلاب,كانين ايجيبت,"فيلا 1710 - ش 40, الحى الثالث, السادس من اكتوبر, الجيزة.",460910
مزارع كلاب,كيه جى بى دوجز,"ش ترعة الجبل, عين شمس الغربية, القاهرة.",557432
مزارع كلاب,كيه ناين اكاديمى,"طريق القاهرة اسكندرية الصحراوى محور 26 يوليو, ابو رواش, الجيزة.",297959
مزارع كلاب,مازنز كانيل لاستضافة وبيع الكلاب,"., طريق مصر الاسماعيلية الصحراوى, القاهرة.",464977
مزارع كلاب,مزرعة الحديدى,"كم 44 - فيلا 14 - ش الطيار, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",551837
مزارع كلاب,نايتس كينل,"محور 26 يوليو, ابو رواش, الجيزة.",503566
مزارع كلاب,هانى ابو محمد,"ش ابو بريك متفرع من ش 77, العرب, المعادى, القاهرة.",374157
