Category,Name,Address,ID
عربات سباق,الجونا جو كارت,"., وسط البلد, الجونة.",208062
عربات سباق,الفراعنة جو كارت كلوب,"طريق المطار - حى مبارك 6, منطقة انتركونتيننتال, الغردقة.",143142
عربات سباق,النادى الدولى للكارتينج,"المنطقة السابعة, مارينا, الساحل الشمالى.",186540
عربات سباق,ام اس ريسينج,"17 أ عمارات الشركة الكويتية - ش رئاسة حى البساتين, المعادى الجديدة, المعادى, القاهرة.",537164
عربات سباق,ترانز مصر للنقل والتجارة,"8 ش جمال الدين ياسين, محطة الرمل, الاسكندرية.",20482
عربات سباق,جبلى رايس واى انترناشيونال,"طريق السلام, جاردن باى, شرم الشيخ.",45310
عربات سباق,جو كارت الهضبة,"ش مجلس المدينة, هضبة ام السيد, شرم الشيخ.",106521
عربات سباق,جو كارت ايجيبت,"كم 110 - طريق مطروح اسكندرية الصحراوى, مارينا, الساحل الشمالى.",464493
عربات سباق,مجموعة كينج سنفرو,"6 مبنى هيديكو - ش الزهور, مساكن شيراتون, مصر الجديدة, القاهرة.",149155
عربات سباق,نوس كارتنج شرم الشيخ,"طريق الفنار, هضبة ام السيد, شرم الشيخ.",146555
