Category,Name,Address,ID
الوزارات,المجلس القومى للرياضة,"ش 26 يوليو, المهندسين, الجيزة.",58815
الوزارات,المنطقة التكنولوجية بالمعادى,"ش اللاسلكى, المعادى, القاهرة.",689494
الوزارات,ديوان عام وزارة الثقافة,"ش محمد رشدى, ميدان الكيت كات, الكيت كات, الجيزة.",99478
الوزارات,رئاسة مجلس الوزراء,"2 ش مجلس الشعب, متفرع من ش قصر العينى, قصر العينى, القاهرة.",20058
الوزارات,هيئة النيابة الادارية,"5 أ ش ذكى - التوفيقية, وسط البلد, القاهرة.",539630
الوزارات,وزارة الاتصالات وتكنولوجيا المعلومات,"كم 28 طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",91225
الوزارات,وزارة الاستثمار,"3 طريق صلاح سالم - الدور 5, مدينة نصر, القاهرة.",67477
الوزارات,وزارة الإسكان والمرافق والمجتمعات العمرانية,"1 ش اسماعيل اباظة, متفرع من ش قصر العينى, قصر العينى, القاهرة.",57681
الوزارات,وزارة الاسكان والمرافق والمجتمعات العمرانية,"1 ش اسماعيل اباظة, الدور 9, متفرع من ش قصر العينى, وسط البلد, القاهرة.",402780
الوزارات,وزارة الاوقاف المصرية,"1 ش محمد صبرى ابو علم, باب اللوق, القاهرة.",57680
الوزارات,وزارة البترول والثروة المعدنية,"1 أ ش احمد الزمر, الحى الثامن, مدينة نصر, القاهرة.",2545
الوزارات,وزارة البيئة,"30 طريق مصر حلوان الزراعى, الدور 6, المعادى, القاهرة.",57686
الوزارات,وزارة التجارة والصناعة,"2 ش امريكا اللاتينية, جاردن سيتى, القاهرة.",125033
الوزارات,وزارة التربية والتعليم,"12 ش الفلكى, متفرع من ش المبتديان, باب اللوق, القاهرة.",14146
الوزارات,وزارة التضامن الاجتماعى,"3 ش الالفى, وسط البلد, القاهرة.",427975
الوزارات,وزارة التعليم العالى والبحث العلمى,"101 ش قصر العينى, قصر العينى, القاهرة.",20021
الوزارات,وزارة التموين والتجارة الداخلية,"99 ش قصر العينى, قصر العينى, القاهرة.",353660
الوزارات,وزارة التنمية المحلية,"4 ش نادى الصيد, الدقى, الجيزة.",18662
الوزارات,وزارة الثقافة,"2 ش شجرة الدر, الزمالك, القاهرة.",17346
الوزارات,وزارة الخارجية,"كورنيش النيل, بولاق, القاهرة.",135154
الوزارات,وزارة الداخلية,"ش طه حسين, تقاطع الطريق الدائرى, جنوب الاكاديمية, القاهرة الجديدة, القاهرة.",581980
الوزارات,وزارة الدفاع والانتاج الحربى,"23 ش الخليفة المأمون, كوبرى القبة, القاهرة.",188548
الوزارات,وزارة الزراعة واستصلاح الاراضى,"1 ش نادى الصيد, الدقى, الجيزة.",5678
الوزارات,وزارة السياحة والاثار,"3 ش العادل ابو بكر, الزمالك, القاهرة.",449353
الوزارات,وزارة الشباب والرياضة,"ش 26 يوليو, المهندسين, الجيزة.",137893
الوزارات,وزارة الصحة - خط المساعدة للاقلاع عن التدخين,"خدمة العملاء, لاظوغلى, القاهرة.",256091
الوزارات,وزارة الصحة والسكان,"3 ش مجلس الشعب, لاظوغلى, القاهرة.",19593
الوزارات,وزارة العدل,"ش مجلس الشعب ميدان لاظوغلى, لاظوغلى, القاهرة.",66454
الوزارات,وزارة القوى العاملة,"3 ش يوسف عباس, مدينة نصر, القاهرة.",2286
الوزارات,وزارة الكهرباء والطاقة المتجددة,", امتداد ش رمسيس, عباسية, القاهرة.",2220
الوزارات,وزارة المالية,"ابراج وزارة المالية, امتداد ش رمسيس 2, مدينة نصر, القاهرة.",19619
الوزارات,وزارة الموارد المائية والرى,"1 ش جمال عبد الناصر, الوراق, الجيزة.",57683
الوزارات,وزارة النقل,"105 ش قصر العينى, قصر العينى, القاهرة.",19994
