Category,Name,Address,ID
كمبيوتر اجهزة وقطع غيار,اي نيتورك سوليوشنز,"196 ش سامح جادو, الحى السادس, السادس من اكتوبر, الجيزة.",484874
كمبيوتر اجهزة وقطع غيار,النور اتش بى ايجيبت للاحبار والطابعات,"21 ش ادريس راغب, متفرع من ش رمسيس, الظاهر, القاهرة.",145210
كمبيوتر اجهزة وقطع غيار,اليكس كوبير لاستيراد ماكينات تصوير ريكو,"ش قنال المحمودية, حجر النواتية, الاسكندرية.",567866
كمبيوتر اجهزة وقطع غيار,تكنولوجيا الشبكات الحديثة,"34 ش احمد يحيى, الدور 15, زيزينيا, الاسكندرية.",39977
كمبيوتر اجهزة وقطع غيار,ايرجنت لمهمات المكاتب,"19 ش تحسين فرغلي, مدينة نصر, القاهرة.",9053
كمبيوتر اجهزة وقطع غيار,بى سى جروب - لخدمات وصيانة وايجار الكمبيوتر,"2 ابراج الملتقى - البرج الادارى 2 ش امتداد رمسيس, الدور 2, عباسية, القاهرة.",61439
كمبيوتر اجهزة وقطع غيار,هاى تكنولوجى اليكس,"20 ش ابراهيم نصير, متفرع من ش شعراوى, لوران, الاسكندرية.",627701
كمبيوتر اجهزة وقطع غيار,الفتح الدولية للهندسة والالكترونيات,"اول ش مسجد حجاج, محرم بك, الاسكندرية.",45987
كمبيوتر اجهزة وقطع غيار,نيو تك زيروكس,"6 ش عوض حجازى, السرايا توب هاوس, سيدى بشر, الاسكندرية.",392488
كمبيوتر اجهزة وقطع غيار,25 يناير,"40 ش المصانع, ابو زعبل, القليوبية.",421860
كمبيوتر اجهزة وقطع غيار,3 ام,"ش الخلفاء الراشدين, المنصورة, الدقهلية.",181482
كمبيوتر اجهزة وقطع غيار,3 ام بيزنس,"12 ابراج عثمان -, كورنيش المعادى, المعادى, القاهرة.",181823
كمبيوتر اجهزة وقطع غيار,3 ستيب,"18 ش البستان, باب اللوق, القاهرة.",616812
كمبيوتر اجهزة وقطع غيار,6 اكتوبر,"ش المنزل متفرع من ش المنصورية, الهرم, الجيزة.",381426
كمبيوتر اجهزة وقطع غيار,اب تو ستور,"ش النزهة ميدان سرور, دمياط, دمياط.",414234
كمبيوتر اجهزة وقطع غيار,اب دات للكمبيوتر,"1 ش محمد عمران - وراق العرب, الوراق, الجيزة.",594409
كمبيوتر اجهزة وقطع غيار,اب لينك لصيانة الكمبيوتر,"1 ش سوريا الدور 5, رشدى, الاسكندرية.",214571
كمبيوتر اجهزة وقطع غيار,ابانوب وستيفن للكمبيوتر,"63 ش قطب شبل, عزبة النخل الغربية, عزبة النخل, القاهرة.",522861
كمبيوتر اجهزة وقطع غيار,ابتكار للكمبيوتر,"9 ش حسن زكى, الخصوص, القليوبية.",494555
كمبيوتر اجهزة وقطع غيار,ابتكارات للانظمة المتعددة,"ش 26 يوليو, العريش, شمال سيناء.",504368
كمبيوتر اجهزة وقطع غيار,ابداع للكمبيوتر,"9 عمارات المشروع الاستثمارى 2 الاردنية, العاشر من رمضان, الشرقية.",620020
كمبيوتر اجهزة وقطع غيار,ابديت,"24 ش الصاغ محمد عبد السلام, سيدى بشر بحرى, الاسكندرية.",152052
كمبيوتر اجهزة وقطع غيار,ابديت,"8 ش السادات, جزيرة الذهب, الجيزة.",412763
كمبيوتر اجهزة وقطع غيار,ابديت,"31 أ ش توت عنخ امون, تقاطع ش السلطان مراد, طنطا, الغربية.",252847
كمبيوتر اجهزة وقطع غيار,ابديت للكمبيوتر,"70 ش احمد عصمت, عين شمس, القاهرة.",482015
كمبيوتر اجهزة وقطع غيار,ابديت للكمبيوتر,"المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",436927
كمبيوتر اجهزة وقطع غيار,ابر ايجيبت,"ش عين شمس ميدان النعام, عين شمس, القاهرة.",421626
كمبيوتر اجهزة وقطع غيار,ابراهيم الابيض,"ش المدينة المنورة, امبابة, الجيزة.",264884
كمبيوتر اجهزة وقطع غيار,ابراهيم حامد,"ش الزهراء, مدينة بدر, البحيرة.",370619
كمبيوتر اجهزة وقطع غيار,ابراهيم خفاجة للكمبيوتر,"215 ش احمد زكى, البساتين, القاهرة.",504681
كمبيوتر اجهزة وقطع غيار,ابل,"ش فرج يوسف, حدائق المعادى, المعادى, القاهرة.",405089
كمبيوتر اجهزة وقطع غيار,ابل,"5 ش امين شوقى متفرع من ش متحف المطرية - النعام, عين شمس, القاهرة.",478526
كمبيوتر اجهزة وقطع غيار,ابل,"عمارة ابو السعود - ش فريد ندى, بنها, القليوبية.",232204
كمبيوتر اجهزة وقطع غيار,ابل,"30 ش الساحة, الحوامدية, الجيزة.",304866
كمبيوتر اجهزة وقطع غيار,ابل,"ش محمد محسن حمد, اشمون, المنوفية.",321837
كمبيوتر اجهزة وقطع غيار,ابل,"ش عبد السلام عارف, الشهداء, المنوفية.",314150
كمبيوتر اجهزة وقطع غيار,ابل,"ش النبوى متفرع من ش الجيش, دمنهور, البحيرة.",361432
كمبيوتر اجهزة وقطع غيار,ابل اوريجينال,"60 ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",486394
كمبيوتر اجهزة وقطع غيار,ابل برو,"29, الدور 1, المجاورة السادسة, الحى 12, السادس من اكتوبر, الجيزة.",434970
كمبيوتر اجهزة وقطع غيار,ابل بى سى,"69 مساكن الاسرة الجديدة, بور فؤاد, بور سعيد.",379902
كمبيوتر اجهزة وقطع غيار,ابل ستور,"23 ش دار السعادة, تقاطع ش سنان, الزيتون, القاهرة.",394796
كمبيوتر اجهزة وقطع غيار,ابل سوفت,"21 ش المشروع, منوف, المنوفية.",570992
كمبيوتر اجهزة وقطع غيار,ابل كير,"7 ميدان سفنكس, المهندسين, الجيزة.",611869
كمبيوتر اجهزة وقطع غيار,ابل لخدمات الكمبيوتر والانترنت,"ش بورسعيد, السنطة, الغربية.",237012
كمبيوتر اجهزة وقطع غيار,ابل للكمبيوتر,"ش فريد ندا, بنها, القليوبية.",173925
كمبيوتر اجهزة وقطع غيار,ابل للكمبيوتر,"15 الشارع الجديد - سرياقوس, الخانكة, القليوبية.",593087
كمبيوتر اجهزة وقطع غيار,ابل وورلد لانظمة وخدمات الحاسب,"12 ش حلمى حسن على, متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",489898
كمبيوتر اجهزة وقطع غيار,ابن حلال للكمبيوتر,"6 ش المعهد الدينى - صفط اللبن, بولاق الدكرور, الجيزة.",588206
كمبيوتر اجهزة وقطع غيار,ابن مرعى لخدمات الكمبيوتر,"13 ش الغريب - ميت عقبة, المهندسين, الجيزة.",574986
كمبيوتر اجهزة وقطع غيار,ابناء المدراوى,"ش المنتزة, الدلنجات, البحيرة.",375241
كمبيوتر اجهزة وقطع غيار,ابو اسماعيل لصيانة الكمبيوتر,"53 ش المعصراوى, العمرانية الغربية, الهرم, الجيزة.",490853
كمبيوتر اجهزة وقطع غيار,ابو اشرف لخدمات الكمبيوتر,"ش جسر الكنيسة, المنيب, الجيزة.",294786
كمبيوتر اجهزة وقطع غيار,ابو الحسن للكمبيوتر,"18 ش البستان, باب اللوق, القاهرة.",556129
كمبيوتر اجهزة وقطع غيار,ابو الحسن للكمبيوتر,"3 ش عطية الصوالحى متفرع من ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",596514
