Category,Name,Address,ID
شحن جوى وبحرى وبرى,كون فريت للاستشارات الملاحية والتخزين الجمركى,"المبنى الاستثمارى, الدور 2, ميناء الاسكندرية, الجمرك, الاسكندرية.",693116
شحن جوى وبحرى وبرى,اكسبيرت للشحن واللوجيستيات مصر,"1 ن ش 20, حدائق الاهرام, الهرم, الجيزة.",693823
شحن جوى وبحرى وبرى,الأكحل للشحن والتفريغ والنقل والأعمال البحرية,"51 برج الطماوى ش قبو الملاح, الدور 6, الجمرك, الاسكندرية.",688451
شحن جوى وبحرى وبرى,ام كى دى لوجستيك للشحن والنقل البرى - احمال,"190 مكتب 1 ش جسر السويس, الدور 1, ميدان هليوبوليس, مصر الجديدة, القاهرة.",635918
شحن جوى وبحرى وبرى,ابو هاشم جروب للتخزين والنقل والاعمال اللوجيستية,"ش الامام, متفرع من ش الامان, القبارى, الاسكندرية.",631938
شحن جوى وبحرى وبرى,ايكو وورلد وايد ايجيبت ليمتد,"31 ش عمر بكير, الدور 9, مصر الجديدة, القاهرة.",42832
شحن جوى وبحرى وبرى,سبيد للتغليف والنقل والتوريدات,"31 ش ادريس, متفرع من ش الوحدة, امبابة, الجيزة.",408113
شحن جوى وبحرى وبرى,ام اي اس للشحن الدولي والبحري والخدمات الجمركیة,"20 ش اللواء محمود حمدى خطاب, متفرع من ش فؤاد, باب شرق, الاسكندرية.",652468
شحن جوى وبحرى وبرى,عصران كونسيليدتيد لوجيستيكس سيرفيس,"10 س برج المتحف, المجاورة التانية, مدينة الفسطاط الجديدة, مصر القديمة, القاهرة.",689486
شحن جوى وبحرى وبرى,باكير للشحن الدولى,", المنطقة الصناعية A4 - ارض التشوينات, العاشر من رمضان, الشرقية.",688472
شحن جوى وبحرى وبرى,لينكرز ايجبت للخدمات الملاحية والجمركية,"عمارة العبور خلف 30 ش باتريس لومومبا, باب شرق, الاسكندرية.",162910
شحن جوى وبحرى وبرى,شركة اسكندرية لبيع وخدمات الحاويات,"طريق مصر اسكندرية الصحراوى, زاوية عبد القادر ش مسجد ال ياسر عبد القادر, مرغم, الاسكندرية.",564372
شحن جوى وبحرى وبرى,شركة اوفرسيز للخدمات الجمركية والاستيراد والتصدير والنقل,"387 ش قناة السويس, الشاطبى, الاسكندرية.",40833
