Category,Name,Address,ID
طاقة شمسية,مصر والشرق الاوسط للتطوير وبرامج السلامة العامة - اى ام دى اس,", طريق العين السخنة, المنطقة الصناعية الثانية, القطامية, القاهرة.",260345
طاقة شمسية,الافريقية للتجارة والمقاولات,"70 ش المريوطية, ابراج النيل للتعمير - برج 6, فيصل, الجيزة.",516923
طاقة شمسية,الفيروز للتجارة والهندسة ش. م. م,"33 ش احمد ابو العلا, الحى الثامن, مدينة نصر, القاهرة.",3436
طاقة شمسية,زين اليكتريك للمقاولات الكهروميكانيكية والطاقة الشمسية,", دمنهور, البحيرة.",685381
طاقة شمسية,اطلانتس لانظمة الطاقة,"10 ش الغردقة, سان استيفانو, الاسكندرية.",406598
طاقة شمسية,طيبة للمقاولات وانظمة التيار الخفيف,"24 ب فيلا 2 ش انور المفتى, الدور 8, مدينة نصر, القاهرة.",118102
طاقة شمسية,المصرية لمعدات الرصف والتجارة,"كم 28.5 طريق اسكندرية القاهرة الصحراوى, العامرية, الاسكندرية.",386984
طاقة شمسية,ايجى ويند,"41, حدائق هليوبوليس, مصر الجديدة, القاهرة.",669386
طاقة شمسية,ابار جروب للمقاولات العامة وحفر الابار,", الشقة 3, الدور 1, المحلية السابعة - عمارة 250, التجمع الثالث, القاهرة الجديدة, القاهرة.",633227
طاقة شمسية,ايفر جرين سولار,", الحى الخامس - مول فايف ستارز, مدينة العبور, القليوبية.",688922
طاقة شمسية,الكتروباور للانشاءات والتركيبات الكهربائية والميكانيكية,"طريق اسكندرية القاهرة الصحراوى, ابو المطامير, البحيرة.",690149
طاقة شمسية,صحارى باور,", الرهاوى - منشأة القناطر, منشية القناطر, الجيزة.",676290
طاقة شمسية,صن باور للطاقة المتجددة وأنظمة الطاقة الشمسية,"633 طريق الحرية, جناكليس, الاسكندرية.",690685
طاقة شمسية,شركة مينار الهندسية,"9 ش عبد العزيز خليل, متفرع من ش جسر السويس, الحى الثانى - النزهة, جسر السويس, القاهرة.",1603
طاقة شمسية,الشركة الدولية للانشاءات والصيانة المتخصصة - انترمنت جروب,"28 ش توت عنخ امون, سموحة, الاسكندرية.",64345
طاقة شمسية,هاى كواليتى للتوريدات الكهروميكانيكية,", ميدان ليلة القدر, السادس من اكتوبر, الجيزة.",422322
طاقة شمسية,365 ايكولوجى,"53 ش المستثمر الصغير, الشيخ زايد, السادس من اكتوبر, الجيزة.",543474
طاقة شمسية,ابو حسين جرين لانظمة الطاقة الشمسية والمعدات الهندسية الزراعية,"كم 80 - طريق اسكندرية القاهرة الصحراوى - مدينة النوبارية الجديدة, النوبارية, البحيرة.",474071
طاقة شمسية,اتش اس اس اس,"5 شارع ميخائيل ابادير متفرع من شارع سوريا, رشدى, الاسكندرية.",616711
طاقة شمسية,اتش اوه لحلول للطاقة الشمسية,"1 ش عبد الرحيم القناوى, الشقة 1, الدور 1, متفرع من ش اللبينى, المريوطية, فيصل, الجيزة.",573622
طاقة شمسية,اتون لانظمة الطاقة الشمسية,"15 عمارات مصر للتعمير, المنطقة السابعة - شيراتون المطار, مساكن شيراتون, مصر الجديدة, القاهرة.",417619
طاقة شمسية,ار جى سوليوشنز,"20 فيلات المنى - بلوك 18035 -قطعة 18 - - الحى التاسع, مدينة العبور, القليوبية.",429910
طاقة شمسية,اراب تك للغلايات,"11, الشقة 4, الشطر الثامن, زهراء المعادى, زهراء المعادى, المعادى, القاهرة.",272478
طاقة شمسية,اس ام لانظمة الطاقة الشمسية وتكنولوجيا الاتصالات,"6 ش ابو بكر الصديق, ميدان التجنيد, مصر الجديدة, القاهرة.",456124
طاقة شمسية,اس جى تى - سولاتل جرين تكنولوجى,"1 ش ابن خالدون, متفرع من ش اللبينى, المريوطية, فيصل, الجيزة.",634714
طاقة شمسية,اكت لأنظمة وحلول الطاقة الخضراء,"ابراج سيتى ستارز - برج 4 - المحور المركزى الموازى, السادس من اكتوبر, الجيزة.",460397
طاقة شمسية,اكت للتجارة والمقاولات - العدلية,"5 ش عبد الله بن الزبير, ميدان الحجاز, مصر الجديدة, القاهرة.",439671
طاقة شمسية,اكروبول لحلول الطاقة المتجددة,"فيلا 20أ - - حى البنفسج 5, التجمع الاول, القاهرة الجديدة, القاهرة.",459193
طاقة شمسية,اكس ايجيبت,", كورنيش النيل, الوراق, الجيزة.",651903
طاقة شمسية,اكو سولر جروب,"9 برج مكة المكرمة - ش محمد حافظ, الملاحة, السويس.",573692
طاقة شمسية,الاحمدى للمقاولات العامة والتوريدات,"40 أ ش بغداد, الكوربة, مصر الجديدة, القاهرة.",131187
طاقة شمسية,الافضل للطاقة الشمسية,", مدينة النوبارية الجديدة, النوبارية, البحيرة.",637105
طاقة شمسية,الالمانية لتكنولوجيا الطاقة الشمسية,"4 ش سيدى جابر - الدور 3 شقة 16, سبورتنج, الاسكندرية.",171617
طاقة شمسية,الامل للاجهزة الطبية والطاقة الشمسية والمتجددة,"1 ش اسماعيل بكر, الشقة 6, الدور 3, متفرع من ش بورسعيد, حدائق القبة, القاهرة.",618904
طاقة شمسية,الانظمة الشمسية المتكاملة - اس اى اس,"8 ش محمد احمد عفيفى متفرع من ش فريد سميكة - الدور 1 شقة 1, ميدان الحجاز, مصر الجديدة, القاهرة.",616502
طاقة شمسية,البركان لحلول الطاقة الشمسية,"1 ش الشريفين, باب اللوق, القاهرة.",471658
طاقة شمسية,الجندى للطاقة الشمسية,"الكيلو 6, امام بوابة كريازى - طريق بلبيس الزوامل- انشاص الرمل, بلبيس, الشرقية.",651917
طاقة شمسية,الحرية طاقة متجددة,"22 ش السلام - عزبة حجازى - المنطقة الصناعية, سموحة, الاسكندرية.",430274
طاقة شمسية,الحياة سيفتى,"الاردنية, العاشر من رمضان, الشرقية.",592355
طاقة شمسية,الرضا للمقاولات والاعمال المتكاملة,"طريق نكلا الرهاوى رقم 1, الرهاوى, امبابة, الجيزة.",468290
طاقة شمسية,الرهاوى بايب,"طريق نكلا الرهاوى, منشية القناطر, الجيزة.",638769
طاقة شمسية,السلام لوحدات الانارة بالطاقة الشمسية,"63 ش كابول متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",557060
طاقة شمسية,السلسبيل للطاقة الشمسية,"47 ش نجيب الريحانى - الدور 3 شقة 18, العتبة, القاهرة.",484574
طاقة شمسية,السويدى اليكتريك,"القطعة 27 ش التسعين الشمالى, قطاع 1, التجمع الخامس, القاهرة الجديدة, القاهرة.",148363
طاقة شمسية,الشرق الاوسط للهندسة والاتصالات,"القطعة 71 - - المنطقة الصناعية السادسة, السادس من اكتوبر, الجيزة.",140332
طاقة شمسية,الشركة الثلاثية للاستيراد والتوكيلات التجارية,"16 ش الباب البحرى, وسط البلد, القاهرة.",627326
طاقة شمسية,الشركة الدولية لانتاج الطاقة الصديقة,"162 ب ش 26 يوليو, المهندسين, الجيزة.",146615
طاقة شمسية,الشركة الدولية لحلول الانظمة - اى سى اس اس,"395 ش رمسيس, عباسية, القاهرة.",475181
طاقة شمسية,الشركة السويسرية للانظمة المتكاملة,"19 د/1 ش يحيى عبد الرازق تقسيم اللاسلكى, المعادى, القاهرة.",467169
طاقة شمسية,الشركة العربية البريطانية للصناعات الديناميكية - ايه بى دى,"كم 4.5 - طريق القاهرة السويس, الماظة, مصر الجديدة, القاهرة.",458693
