Category,Name,Address,ID
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,المصرية للدراسات الاقتصادية والهندسية,"3 ا ش عصام الدالى, الشقة 34, الدور 2, متفرع من ش مراد, الدقى, الجيزة.",485282
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,شركة كامل على كامل لتشكيل الزجاج وصناعة المرايات,"1 ش على عيد, متفرع من ش 100, جسر السويس, القاهرة.",694440
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,مصنع اماس لصناعة زجاج,"القطعة 20 و21 - بلوك 15, امتداد المنطقة الصناعية, دمياط الجديدة, دمياط.",489600
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,احمد فايز للزجاج المعشق,"23 /39 عمارات صقر قريش -, الحى العاشر, مدينة نصر, القاهرة.",130000
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,ارت فالى,"ش الخليج العربى, حدائق القبة, القاهرة.",461348
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,ارتيستيك ارت جلاس,", المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",531434
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,الاسراء لزخرفة الزجاج,"جراح, اجا, الدقهلية.",152731
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,الحفار ارت جلاس,"5 ش الحكمة متفرع من ش ترعة الزمر, ارض اللواء, الجيزة.",49078
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,الشركة الاسلامية للزجاج,"1 ش محمد على, فيصل, الجيزة.",96837
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,القاهرة لتصنيع الزجاج,"القطعة 2 - - المنطقة الصناعية A6, العاشر من رمضان, الشرقية.",170662
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,المصرية لزخرفة الزجاج,"4 ش عبد الله عويس, شبرا الخيمة, القليوبية.",135908
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,المصرية للزجاج,"8 ش زكريا عثمان متفرع من ش نجاتى سراج, الحى الثامن, مدينة نصر, القاهرة.",326935
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,النيل للتنمية الصناعية,"ش الحديد والصلب, التبين, القاهرة.",61364
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,الوفاء للزجاج,"11 ش احمد زكى, المعادى, القاهرة.",42689
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,جداريات,", الشطر الثامن, برج السلام 2, زهراء المعادى, المعادى, القاهرة.",61156
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,جونسون للفيلم الشفاف العازل للحرارة,"المجاورة الاولى - الحى الثامن, الحى الثامن, السادس من اكتوبر, الجيزة.",312214
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,حاتم فوزى زجاج المعشق و زجاج ملون,"63 ش الميرغنى, مصر الجديدة, القاهرة.",3759
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,ديكوريتف جلاس,"القطعة 8 ، 9 - بلوك 12005, الامتداد الشمالى, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",430897
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,سامى توفيق للزجاج,"54 ش عبد الباقى, امبابة, الجيزة.",157214
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,شركة خلفاء العنانى,"9 ش الشيخ قمر ميدان الجيش, عباسية, القاهرة.",16762
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,شركة ميناج للديكورات والاعمال الفنية,"39 ش فخر الدين متفرع من ش روض الفرج, شبرا, القاهرة.",261209
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,شيلد فور تريدنج,"6 ش بنى عامر متفرع من ش مراد - الدور 3 شقة 8, الجيزة, الجيزة.",528871
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,كايرو ارت,"9 ش البدراوى, متفرع من ش الهرم, مشعل, الهرم, الجيزة.",569116
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,كلاسى ديزاين,"35 ش عبد الله ابو السعود, ميدان هليوبوليس, مصر الجديدة, القاهرة.",16360
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,كونجكت الترا مودرن جلاس,"8 ش جمال الفينو, المطبعة, فيصل, الجيزة.",268366
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,مؤسسة كذا لون,"68, 70 ش محمد عبد اللطيف, بولاق الدكرور, الجيزة.",64632
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,مجموعة شركات عبد الله الشريعى,"طريق جراح, اجا, الدقهلية.",152759
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,مصنع المدينة المنورة لزخرفة الزجاج والكريستال,"قرية جراح, اجا, الدقهلية.",568934
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,معرض نشأت العجوز,"19 ش البراديزو, حلوان, القاهرة.",243836
زجاج مزخرف وملون صناعيا ومقوى بالرصاص,موزاييك اورينت,"35 ش عبد المنعم رياض, متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",66587
