Category,Name,Address,ID
مجمع مطاعم,اكل على كيفك,"17 ش ابراهيم راجى, بولكلى, الاسكندرية.",584512
مجمع مطاعم,ال باساج,"52 ش فؤاد, محطة الرمل, الاسكندرية.",452888
مجمع مطاعم,اليكس زون,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",680791
مجمع مطاعم,اواسيس هليوبوليس,"1 طريق المطار, مساكن شيراتون, مصر الجديدة, القاهرة.",196798
مجمع مطاعم,اون ويلز,"الطريق الدائرى, كايرو فيستيفال, القاهرة الجديدة, القاهرة.",594921
مجمع مطاعم,ايت اند تريت,"ش المعسكر الرومانى, رشدى, الاسكندرية.",584349
مجمع مطاعم,باتشو نيو كايرو,"37 أ ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",464363
مجمع مطاعم,بى يارد,"محور مصطفى كامل, التجمع الاول, القاهرة الجديدة, القاهرة.",570163
مجمع مطاعم,ترمينال 9,"67 ش فؤاد, محطة الرمل, الاسكندرية.",586678
مجمع مطاعم,تريستى بلازا,"محور الشهيد, تقاطع ش 9, جولدن جيتس كمباوند, المقطم, القاهرة.",690979
مجمع مطاعم,تيفولى بلازا,"ش عمر بن الخطاب, متفرع من ش الثورة, ارض الجولف, مصر الجديدة, القاهرة.",585434
مجمع مطاعم,تيفولى دوم,"70 ش عمر بن الخطاب, ميدان الماظة, الماظة, مصر الجديدة, القاهرة.",258281
مجمع مطاعم,تيفولى دوم اليكس,"طريق الجيش, سيدى جابر, الاسكندرية.",605742
مجمع مطاعم,تيفولى وايت,"179 ش 26 يوليو, الزمالك, القاهرة.",638104
مجمع مطاعم,جليم باى,"طريق الجيش, جليم, الاسكندرية.",637266
مجمع مطاعم,جليم كورت,"362 طريق الجيش, جليم, الاسكندرية.",565160
مجمع مطاعم,ديفايدد لاونج,"256 طريق الجيش, ستانلى, الاسكندرية.",582144
مجمع مطاعم,ذا بلاتفورم,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",428014
مجمع مطاعم,ذا درايف,"الطريق الدائرى, منطقة A5, التجمع الخامس, القاهرة الجديدة, القاهرة.",670786
مجمع مطاعم,ذا كورت يارد المعادى,"2 ش فلسطين, المعادى الجديدة, المعادى, القاهرة.",462682
مجمع مطاعم,زيتونة فود هال,"40 محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",598167
مجمع مطاعم,سيتى ووك ستريب,"ش المروة, متفرع من طريق وصلة دهشور, الحى 11, الشيخ زايد, السادس من اكتوبر, الجيزة.",675442
مجمع مطاعم,شارع مصر,"ش انقرة, مساكن شيراتون, مصر الجديدة, القاهرة.",582494
مجمع مطاعم,فود كورت 31,"طريق وصلة دهشور, الشيخ زايد, السادس من اكتوبر, الجيزة.",678818
مجمع مطاعم,كونتينر هاب,"ش سليمان الفارسى, متفرع من طريق الجيش, العصافرة, الاسكندرية.",682761
مجمع مطاعم,كونتينرز سكوير,"ش القومية, متفرع من ش طلبة عويضة, الزقازيق, الشرقية.",694751
مجمع مطاعم,كيبيكس هاب,"طريق وصلة دهشور, الشيخ زايد, السادس من اكتوبر, الجيزة.",682674
مجمع مطاعم,لوجستك كورت,"طريق مصر اسماعيلية الصحراوىمدينة المستقبل, مدينة الشروق, القاهرة.",621079
مجمع مطاعم,مطعم هارولد,"ش عمر ابن الخطاب, مدينة نصر, القاهرة.",651708
مجمع مطاعم,منطقة مطاعم رافال,"22 ش احمد تيسير, تقاطع ش الشهيد عبد الوهاب القاضى, ارض الجولف, مصر الجديدة, القاهرة.",665220
مجمع مطاعم,منطقة مطاعم ريد بوينت,"ش عبد الحميد جودة السحار, مركز خدمات البنفسج, البنفسج, القاهرة الجديدة, القاهرة.",655067
مجمع مطاعم,ميدتاون المنيا,"ش طه حسينبرج الحوطى، الدور 2, وسط البلد, المنيا.",628245
مجمع مطاعم,ميدستريت,"ش الدقى, الدقى, الجيزة.",690952
مجمع مطاعم,نايل بوينت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",564257
مجمع مطاعم,ويست فيلد,"ش النقل والهندسة، سور نادى سموحة الرياضى, سموحة, الاسكندرية.",620197
مجمع مطاعم,ويستفيلد,"سور نادى سموحة الرياضى الاجتماعى، ش النقل والهندسة, سموحة, الاسكندرية.",620910
