Category,Name,Address,ID
مدارس ثانوى صناعى,الاهرام الثانوية الصناعية بنين,"13 ش سبيل الخازندار ميدان الجيش, الوايلى, القاهرة.",360889
مدارس ثانوى صناعى,المدرسة الثانوية الفنية,", عين حلوان, حلوان, القاهرة.",362616
مدارس ثانوى صناعى,المدرسة الثانوية المهنية الصناعية الزخرفية بنين,"ش الشهيد عادل الشربينى, حى المناخ, بور سعيد.",369794
مدارس ثانوى صناعى,المدرسة الصناعية الفنية بنات,"طريق مصر حلوان الزراعى, العياط, الجيزة.",495565
مدارس ثانوى صناعى,مدرسة ابراهيم ابو النجا الثانوية الصناعية بنين,", جديلة, المنصورة, الدقهلية.",373051
مدارس ثانوى صناعى,مدرسة ابيس الثانوية الصناعية بنين,"القرية الرابعة, ابيس, الاسكندرية.",364086
مدارس ثانوى صناعى,مدرسة احمد ماهر الثانوية الصناعية,"10 ش بورسعيد, متفرع من حارة الهياتم, السيدة زينب, القاهرة.",317285
مدارس ثانوى صناعى,مدرسة اسنا الثانوية الصناعية بنين,"., اسنا, الاقصر.",365630
مدارس ثانوى صناعى,مدرسة الامل الثانوية الصناعية بنات,"مدينة الامل, فيصل, السويس.",363831
مدارس ثانوى صناعى,مدرسة الاهرام الثانوية الصناعية,"قرية البطراوى, الجناين, السويس.",370438
مدارس ثانوى صناعى,مدرسة الباويطى الثانوية الصناعية,"مركز الباويطى, الواحات البحرية, الواحات البحرية.",331205
مدارس ثانوى صناعى,مدرسة البتول الثانوية الصناعية بنات,"ش النصر, بور فؤاد, بور سعيد.",370375
مدارس ثانوى صناعى,مدرسة البدرشين الثانوية الصناعية بنات,"ش مساكن السوق, البدرشين, الجيزة.",495554
مدارس ثانوى صناعى,مدرسة البدرشين الصناعية,"ش المركز, البدرشين, الجيزة.",495552
مدارس ثانوى صناعى,مدرسة التحرير الثانوية الصناعية بنات,"ش عبد الحليم محمود, حى الزهور, بور سعيد.",369793
مدارس ثانوى صناعى,مدرسة الجيزة الثانوية الفنية الصناعية للبنات,"6 ش اكتوبر - ساقية مكى, المنيب, الجيزة.",495409
مدارس ثانوى صناعى,مدرسة الحرير الصناعى الابتدائية,"عزبة دفشو, كفر الدوار, البحيرة.",338842
مدارس ثانوى صناعى,مدرسة الحرير الصناعى الاعدادية المشتركة,"عزبة دفشو, كفر الدوار, البحيرة.",338841
مدارس ثانوى صناعى,مدرسة الدير الثانوية الصناعية المشتركة,"الدير شرق, اسنا, الاقصر.",365632
مدارس ثانوى صناعى,مدرسة الرأس السوداء الثانوية الصناعية,"مساكن العبور ش مصطفى كامل, الرأس السوداء, الاسكندرية.",365089
