Category,Name,Address,ID
مستشفيات ومراكز طبية,عيادات تشينج مى,"76 ش الثورة, الدور 8, ارض الجولف, مصر الجديدة, القاهرة.",568763
مستشفيات ومراكز طبية,مركز تجميل جلو,"30 ش سوريا, الدور 1, رشدى, الاسكندرية.",457420
مستشفيات ومراكز طبية,تكنو كلينيك,"75 ش محى الدين ابو العز, المهندسين, الجيزة.",688485
مستشفيات ومراكز طبية,مركز لبنان للاسنان - د. سهير الشافعى,"11 ش لبنان, الدور 4, المهندسين, الجيزة.",52094
مستشفيات ومراكز طبية,ديرما ليزر كلينيك - د. بسمة لبيب,"7 /2 ش النصر, الدور 2, المعادى الجديدة, المعادى, القاهرة.",230506
مستشفيات ومراكز طبية,عساف للعيون والليزك,"52 ش ابو العتاهية, امتداد ش عباس العقاد, مدينة نصر, القاهرة.",396846
مستشفيات ومراكز طبية,مركز السلامة الطبى - د. عائشة محمود عبد المنعم,"20 ش محمد فريد, الحى المتميز, السادس من اكتوبر, الجيزة.",120364
مستشفيات ومراكز طبية,المركز المصرى لاطفال الانابيب,"3 ش 161, متفرع من طريق مصر حلوان الزراعى, حدائق المعادى, المعادى, القاهرة.",12046
مستشفيات ومراكز طبية,مركز فيزيو كير,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",394028
مستشفيات ومراكز طبية,مركز د. ماضى للعلاج الطبيعى و السمنة,"ش المنيل, الدور 3, ميدان الباشا, المنيل, القاهرة.",437058
مستشفيات ومراكز طبية,معامل الفنار لاب للتحاليل الطبية,"1 ش مسجد سيدى بشر, الدور 2, برج الراعى الصالح, سيدى بشر بحرى, الاسكندرية.",99635
مستشفيات ومراكز طبية,د. ايمن الغنيمى - استشارى عيون الاطفال والحول,"8 ش 153, ميدان الحرية, المعادى, القاهرة.",435895
مستشفيات ومراكز طبية,المركز العربى لعلاج الثدى والاورام - ايه بى سى,"26 ش جامعة الدول العربية, الدور 1, المهندسين, الجيزة.",382686
مستشفيات ومراكز طبية,عيادات يسر الرحمن التخصصية,"61 ابراج الفراعنة ش اللبينى, الهرم, الجيزة.",689529
مستشفيات ومراكز طبية,مراكز الاسكندرية الجديدة,"شارع المراغى العمومى, متفرع من محور المحمودية, العوايد, الاسكندرية.",651789
مستشفيات ومراكز طبية,مستشفى سيتى,"9 ش اسماعيل سرهانك, لوران, الاسكندرية.",689169
مستشفيات ومراكز طبية,عيادة د. داليا حسن سليمة اخصائية الطب النفسى,"برج سموحة بالاس ش شهيد طيار محمود شكرى - السوبر جيت سابقًا, الدور 2, سموحة, الاسكندرية.",520341
مستشفيات ومراكز طبية,انلايت يور سكاى,"محور السادات, الحى الاول, مدينة العبور, القليوبية.",590103
