Category,Name,Address,ID
محلات حيوانات اليفة,عالم الحيوان للحيوانات الاليفة وطيور واسماك الزينة ومستلزماتها,"3 مساكن الدلتا. طريق النصر, دمنهور, البحيرة.",651387
محلات حيوانات اليفة,بيتس ايلاند فيت سنتر - د. محمود شكرى,", مجمع 5 - بيفرلى هيلز, الشيخ زايد, السادس من اكتوبر, الجيزة.",358152
محلات حيوانات اليفة,ابو حبيبة,"10 ش عبده راجح, عين شمس الشرقية, القاهرة.",479099
محلات حيوانات اليفة,ابو حبيبة و محمد للحيوانات الاليفة,"166 ش خالد ابن الوليد, عرب جسر السويس, جسر السويس, القاهرة.",653346
محلات حيوانات اليفة,ابو زياد لطيور الزينة,"78 ش التل - وراق العرب, الوراق, الجيزة.",595819
محلات حيوانات اليفة,ابو شهد,"قرية دبركى, منوف, المنوفية.",564629
محلات حيوانات اليفة,ابو عامر لطيور الزينة,"6 ش الحسينى, عين شمس الشرقية, القاهرة.",653550
محلات حيوانات اليفة,ابو عبد الوهاب لطيور الزينة,"5 ش الدمياطى متفرع من ش ترعة الجلاد - القصيرين, الزاوية الحمراء, القاهرة.",566762
محلات حيوانات اليفة,ابو عمر لطيور الزينة,"12 ش صادق البحيرى, البساتين, القاهرة.",504860
محلات حيوانات اليفة,ابو مازن لطيور الزينة,"25 ش رسلان الشوربجى - القصيرين, الزاوية الحمراء, القاهرة.",566379
محلات حيوانات اليفة,ابو محمد لطيور الزينة,"53 ش ابو سبحة, السيدة عائشة, القاهرة.",600389
محلات حيوانات اليفة,ابو يوسف لطيور الزينة,"36 ش الثلاجة - صفط اللبن, بولاق الدكرور, الجيزة.",588652
محلات حيوانات اليفة,اتش ام,"مساكن الصعيد أ -, مدينة السلام, القاهرة.",333422
محلات حيوانات اليفة,ادم لمستلزمات الحيوانات الاليفة,"القطعة 18, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",452629
محلات حيوانات اليفة,اس فور بيتس,"5 ش عمر لطفى, متفرع من ش عبد الحكيم رفاعى, مدينة نصر, القاهرة.",682961
محلات حيوانات اليفة,افريكانو,"4 ش ابو زيد, متفرع من ش العشرين, فيصل, الجيزة.",684068
محلات حيوانات اليفة,افريكانو,"2 ش احمد ماهر متفرع من ش المساكن, فيصل, الجيزة.",244905
