Category,Name,Address,ID
أجهزة الصراف الآلي,كيو ان بى الاهلى,"5 ش شامبليون, وسط البلد, القاهرة.",51374
أجهزة الصراف الآلي,البريد المصرى - ماكينة الصراف الالى,"12 ش متحف المنيل, المنيل, القاهرة.",503686
أجهزة الصراف الآلي,البنك الاهلى الكويتى - مصر,"10 ش طلعت حرب, الدور 4, عمارة ايفر جرين, وسط البلد, القاهرة.",14025
أجهزة الصراف الآلي,البنك الاهلى الكويتى - مصر - ماكينة الصراف الالى,"9 ش البطراوى, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",117388
أجهزة الصراف الآلي,البنك الاهلى المتحد,"القطعة 81 ش التسعين, مجمع البنوك, التجمع الخامس, القاهرة الجديدة, القاهرة.",139245
أجهزة الصراف الآلي,البنك الاهلى المتحد - ماكينة الصراف الالى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",169104
أجهزة الصراف الآلي,البنك الاهلى المصرى,"1187 كورنيش النيل, بولاق, القاهرة.",34675
أجهزة الصراف الآلي,البنك الاهلى المصرى - ماكينة الصراف الالى,"1 ش احمد الزمر, متفرع من ش عباس العقاد, حى الزهور, الحى الثامن, مدينة نصر, القاهرة.",170792
أجهزة الصراف الآلي,البنك الاهلى المصرى - ماكينة الصراف الالى التفاعلى,"1187 كورنيش النيل - برج البنك الاهلى, بولاق, القاهرة.",469469
أجهزة الصراف الآلي,البنك الزراعى المصرى,"1, ميدان نادى الصيد, الدقى, الجيزة.",363877
أجهزة الصراف الآلي,البنك العربى,"50 ش جزيرة العرب, امتداد ش البطل احمد عبد العزيز, المهندسين, الجيزة.",4507
أجهزة الصراف الآلي,البنك العربى - ماكينة الصراف الالى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",169767
أجهزة الصراف الآلي,البنك العربى الافريقى الدولى - ايه ايه اى بى,"5, ميدان السرايا الكبرى, جاردن سيتى, القاهرة.",19737
أجهزة الصراف الآلي,البنك العربى الافريقى الدولى - ايه ايه اى بى - ماكينة الصراف الالى,"ش حسن الاكبر, تقاطع ش الجمهورية, عابدين, القاهرة.",169254
أجهزة الصراف الآلي,البنك العقارى المصرى العربى,"78 ش جامعة الدول العربية, المهندسين, الجيزة.",81023
أجهزة الصراف الآلي,البنك المصرى لتنمية الصادرات - اى بى اى - ماكينة الصراف الالى,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",580059
أجهزة الصراف الآلي,التجارى وفا بنك,"12, ميدان الشيخ يوسف - متفرع من ش قصر العينى, جاردن سيتى, القاهرة.",7185
أجهزة الصراف الآلي,التجارى وفا بنك - ماكينة الصراف الالى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",170493
أجهزة الصراف الآلي,المصرف العربى الدولى - ايه اى بى,"35 ش عبد الخالق ثروت، ميدان مصطفى كامل, وسط البلد, القاهرة.",7924
أجهزة الصراف الآلي,المصرف العربى الدولى - ايه اى بى - ماكينة الصراف الالى,"ش عبد العزيز ال سعود, المنيل, القاهرة.",623323
أجهزة الصراف الآلي,المصرف المتحد,"106 ش قصر العينى, وسط البلد, القاهرة.",19523
أجهزة الصراف الآلي,المصرف المتحد - ماكينة الصراف الالى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",170166
أجهزة الصراف الآلي,المكتب المصرى للهندسة,"16 ابراج الريادة - ش قناة السويس, العطارين, الاسكندرية.",483287
أجهزة الصراف الآلي,الهيئة القومية للتأمين الاجتماعى - ماكينة الصراف الالى,"سور حديقة حيوان الجيزة - ش مراد, الجيزة, الجيزة.",476878
أجهزة الصراف الآلي,ان بى جى - البنك الاهلى اليونانى,"32 ش هارون, ميدان المساحة, الدقى, الجيزة.",161048
أجهزة الصراف الآلي,اى بنك - البنك المصرى لتنمية الصادرات,"71 ش مصدق, متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",19423
أجهزة الصراف الآلي,اى بنك - البنك المصرى لتنمية الصادرات - ماكينة الصراف الالى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",387197
أجهزة الصراف الآلي,اى جى بنك,"8 ش احمد نسيم, مبنى الاورمان بلازا, الجيزة, الجيزة.",108160
أجهزة الصراف الآلي,اى جى بنك - ماكينة الصراف الالى,"طريق الواحات, السادس من اكتوبر, الجيزة.",543663
أجهزة الصراف الآلي,بنك ابو ظبى الاول,"القطعة 143، 144, قطاع 1, مركز المدينة - منطقة البنوك, التجمع الخامس, القاهرة الجديدة, القاهرة.",12726
